context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
built,6,0.04,0.03,0.01,0.12
many,6,0.02,0.01,0.01,0.04
girl,6,0.02,0.01,0.01,0.03
band,6,0.03,0.02,0.02,0.05
skin,6,0.03,0.02,0.01,0.13
body,6,0.03,0.02,0.02,0.06
industry,6,0.02,0.01,0.01,0.03
bird,5,0.11,0.1,0.02,0.35
flies,5,0.02,0.02,0.01,0.05
genus,5,0.04,0.02,0.03,0.06
mountain,5,0.06,0.04,0.02,0.1
named,5,0.03,0.01,0.02,0.05
bee,5,0.04,0.04,0.02,0.08
records,5,0.05,0.04,0.01,0.13
show,5,0.02,0.01,0.01,0.05
iron,5,0.02,0.02,0.01,0.07
flute,5,0.06,0.05,0.01,0.14
varieties,5,0.05,0.03,0.02,0.08
sweet,5,0.08,0.07,0.02,0.24
tree,5,0.11,0.08,0.03,0.22
fields,5,0.04,0.03,0.01,0.07
drink,5,0.03,0.03,0.01,0.07
stone,5,0.05,0.04,0.02,0.09
valley,5,0.02,0.01,0.01,0.03
spotted,5,0.08,0.06,0.03,0.13
cut,5,0.02,0.01,0.01,0.03
hair,5,0.03,0.02,0.01,0.05
don,5,0.03,0.02,0.01,0.05
oak,5,0.09,0.08,0.01,0.33
century,5,0.03,0.02,0.01,0.06
mill,5,0.03,0.02,0.01,0.07
stop,5,0.04,0.03,0.01,0.09
fuel,5,0.01,0.01,0.01,0.03
cricket,5,0.01,0.01,0.01,0.03
company,5,0.05,0.04,0.01,0.17
polar,5,0.02,0.01,0.01,0.02
mother,5,0.03,0.02,0.02,0.05
bass,5,0.09,0.09,0.02,0.31
left,5,0.04,0.03,0.01,0.08
my,5,0.04,0.03,0.01,0.1
drinking,5,0.1,0.09,0.01,0.4
production,5,0.02,0.01,0.01,0.05
creek,4,0.07,0.04,0.03,0.18
crow,4,0.02,0.01,0.01,0.02
giant,4,0.08,0.05,0.03,0.12
tailed,4,0.07,0.06,0.02,0.14
tank,4,0.06,0.05,0.03,0.08
short,4,0.04,0.02,0.02,0.05
subfamily,4,0.05,0.04,0.01,0.12
turtle,4,0.05,0.03,0.03,0.07
african,4,0.03,0.02,0.02,0.04
endemic,4,0.08,0.05,0.03,0.14
type,4,0.02,0.01,0.02,0.04
batman,4,0.03,0.02,0.01,0.07
failure,4,0.02,0.01,0.01,0.03
saxophone,4,0.03,0.03,0.01,0.09
cherry,4,0.14,0.12,0.03,0.29
flowering,4,0.13,0.09,0.07,0.26
