,context,n_concepts,mean_tfidf,mean_diff,evidence
0,window,5,0.03,0.03,-
1,eight,5,0.0,0.0,-
2,effect,5,0.01,0.01,-
3,reflected,5,0.0,0.0,-
4,specially,5,0.0,0.0,-
5,continued,5,0.0,0.0,-
6,nearby,5,0.0,0.0,-
7,damaging,5,0.0,0.0,-
8,knocks,5,0.01,0.01,-
9,600,5,0.0,0.0,-
10,improved,5,0.0,0.0,-
11,oil,5,0.01,0.01,-
12,charlie,5,0.0,0.0,-
13,mall,5,0.0,0.0,-
14,smoking,5,0.0,0.0,-
15,concentration,5,0.0,0.0,-
16,excellent,5,0.0,0.0,-
17,jason,5,0.0,0.0,-
18,ed,5,0.0,0.0,-
19,contributions,5,0.0,0.0,-
20,warm,3,0.01,0.01,-
