,animal,reptile,plant,mammal,no-cat,measure,relation,fish,object,bird,communication,vehicle,food,all,mean
goldeneye,0.0038633122197192426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038633122197192426,0.003908147714709747,0.0,0.0,0.0,0.0038821242528406393,0.001108349743356348
perch,0.008261242066545342,0.0,0.0,0.0,0.0,0.00893034990501401,0.0,0.009598174426446658,0.008261242066545342,0.0,0.0,0.0,0.006875853776207634,0.008278939422087187,0.0035861286902032982
hake,0.03509796849556215,0.0,0.0,0.0,0.0,0.0,0.0,0.03908173790744331,0.03509796849556215,0.0,0.0,0.0,0.03260684488026167,0.03514966558286104,0.01264529895440645
vervet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coho,0.002549431380321393,0.0,0.0,0.0,0.0,0.0,0.0,0.003012024777057538,0.002549431380321393,0.0,0.0,0.0,0.0029192211361964027,0.0025548296332743425,0.0009703527362265048
puppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seal,0.002665975834941764,0.0,0.0,0.003005386876297263,0.0,0.0,0.0033689891529114493,0.0,0.002665975834941764,0.0,0.002818404305431835,0.0,0.0,0.002669352417839038,0.0012281488873116509
sturgeon,0.02290823160921984,0.0,0.0,0.0,0.0,0.0,0.0,0.025741459135073922,0.02290823160921984,0.0,0.0,0.0,0.0,0.022964816614048523,0.006751624211968723
herring,0.04561809374835261,0.0,0.0,0.0,0.0,0.0,0.0,0.0511617751521941,0.04561809374835261,0.0,0.0,0.0,0.04068900698578883,0.04570804253295875,0.01634250086911764
basset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cyprinid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rodent,0.001210288266910478,0.0,0.0,0.001429567572223085,0.0,0.0,0.0,0.0,0.001210288266910478,0.0,0.0,0.0,0.0,0.0012159186358075148,0.00036186162441796823
fish,0.012520214649705546,0.0,0.0,0.0,0.0,0.0,0.0,0.013770090054692541,0.012520214649705546,0.0,0.0,0.0,0.010479693874633328,0.012576062910686496,0.004419019724244533
goat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bulldog,0.0016342442854114189,0.0,0.0,0.0016884683578462332,0.0,0.0,0.0,0.0,0.0016342442854114189,0.0,0.0,0.0,0.0,0.0016374122957108208,0.00047102637316999223
