,animal,reptile,plant,mammal,no-cat,measure,relation,fish,object,bird,communication,vehicle,food,all,mean
goldeneye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perch,0.003721033981790418,0.0,0.0,0.0,0.0,0.004465174952507005,0.0,0.004207741752069821,0.003721033981790418,0.0,0.0,0.0,0.003437926888103817,0.0037333513211720696,0.0016633044912452535
hake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vervet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
puppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seal,0.010567132889893542,0.0,0.0,0.01148092175987148,0.0,0.0,0.012470039490341383,0.0,0.010567132889893542,0.0,0.012400978943900073,0.0,0.0,0.010592848049254982,0.004862789573082499
sturgeon,0.18186075064066157,0.0,0.0,0.0,0.0,0.0,0.0,0.19889447806006794,0.18186075064066157,0.0,0.0,0.0,0.0,0.18252243878469812,0.053224172723292086
herring,0.011741332125175913,0.0,0.0,0.0,0.0,0.0,0.0,0.012816457312056495,0.011741332125175913,0.0,0.0,0.0,0.011625430567368238,0.011778194716470437,0.004264481917589071
basset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cyprinid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rodent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fish,0.010318834719393469,0.0,0.0,0.0,0.0,0.0,0.0,0.011045816218964919,0.010318834719393469,0.0,0.0,0.0,0.009587805034239002,0.010376943453328335,0.0036891595818085133
goat,0.00184676025724672,0.0,0.0,0.0020482193231296485,0.0,0.0,0.0,0.0,0.00184676025724672,0.0,0.0,0.0,0.0,0.0018496537115582558,0.000542242396370096
bulldog,0.0014721947309082185,0.0,0.0,0.001465941438758858,0.0,0.0,0.0,0.0,0.0014721947309082185,0.0,0.0,0.0,0.0,0.0014767677466479732,0.00042050704623023343
bloodhound,0.005036112838565905,0.0,0.0,0.004975996598082185,0.0,0.0,0.0,0.0,0.005036112838565905,0.0,0.0,0.0,0.0,0.0050440057438172255,0.0014351591442165158
croaker,0.03158277030094293,0.0,0.0,0.0,0.0,0.0,0.0,0.03153069077041996,0.03158277030094293,0.0,0.0,0.0,0.027228204895446643,0.03171140897547294,0.010973988945944672
snake,0.0010624960883957786,0.001654911136631908,0.0,0.0,0.0,0.0,0.0,0.0,0.0010624960883957786,0.0,0.0,0.0,0.0,0.0010656910283953572,0.0003461138815584873
runner,0.0008862295724339917,0.0,0.0,0.0,0.0008696077219407075,0.0,0.0,0.0008286019732742459,0.0008862295724339917,0.0,0.0,0.0,0.0,0.0008872236063485829,0.0003112780318879657
bear,0.002639126082999014,0.0,0.0,0.0029073314682063027,0.0,0.0,0.0,0.0,0.002639126082999014,0.0,0.0,0.0,0.0,0.002648167029248214,0.0007738393331037533
burbot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sardine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glutton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serpent,0.0010887568102975627,0.0016802010623733553,0.0,0.0,0.0,0.0,0.0010627077116554906,0.0,0.0010887568102975627,0.0,0.0,0.0,0.0,0.0010931009398817812,0.0004295373810361252
catfish,0.0013112262131661583,0.0,0.0,0.0,0.0,0.0,0.0,0.0016295679051911247,0.0013112262131661583,0.0,0.0,0.0,0.0012844341746178595,0.0013172449578231942,0.0004895499617117497
otter,0.012991736796822669,0.0,0.0,0.013689135862549495,0.0,0.0,0.015736453068010237,0.0,0.012991736796822669,0.0,0.0,0.0,0.0,0.013040364917857362,0.004889244817290173
sunfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat,0.009630815929633848,0.0,0.0,0.009585696513268594,0.00838417541803971,0.0,0.0,0.0,0.009630815929633848,0.0,0.0,0.007946958513004379,0.0,0.009644958132294485,0.00391595860256249
haddock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouse,0.001297888588075326,0.0,0.0,0.0013737462464218186,0.0,0.0,0.0,0.0,0.001297888588075326,0.0,0.0,0.0,0.0,0.0013009537887109853,0.0003764626579488183
halfbeak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wolf,0.005437570709328139,0.0,0.0,0.005762641292774645,0.006041696195907699,0.0,0.0,0.0,0.005437570709328139,0.0,0.0,0.0,0.0,0.005451389725802435,0.0020093477595100754
barbet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lynx,0.0007832933616246724,0.0,0.0,0.0008440894307893013,0.0,0.0,0.0,0.0,0.0007832933616246724,0.0,0.0,0.0,0.0,0.0007860643591911955,0.0002283386080878458
blenny,0.0006097014004764934,0.0,0.0,0.0,0.0,0.0,0.0,0.0009173922570139432,0.0006097014004764934,0.0,0.0,0.0,0.0,0.0006138538796024171,0.0001964749241120962
trout,0.0020113563033341037,0.0,0.0,0.0,0.0,0.0,0.0,0.002069457979428877,0.0020113563033341037,0.0,0.0,0.0,0.0019289531982456904,0.00201628798392659,0.0007169579834478116
crab,0.005585923573119409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005585923573119409,0.0,0.0,0.0,0.005396766499067224,0.005605725561708592,0.0015838813719296165
albacore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duckling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shad,0.014172422568367492,0.0,0.0,0.0,0.0,0.0,0.0,0.018257379080728674,0.014172422568367492,0.0,0.0,0.0,0.014224383594271736,0.014361345888989454,0.005370568121480346
painter,0.0010255657886811785,0.0,0.0,0.001027404350943098,0.0,0.0,0.0,0.0,0.0010255657886811785,0.0,0.0,0.0,0.0,0.0010290040486962177,0.0002933957126429766
stickleback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bass,0.0039222584497896115,0.0,0.0,0.0,0.0,0.0,0.0,0.004244229563091062,0.0039222584497896115,0.0,0.0042681097678888705,0.0,0.003721414231413533,0.0039300906972466725,0.0017148829399442399
frog,0.0002045464635828008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002045464635828008,0.0,0.0,0.0,0.0,0.00020536149176613453,4.388960135226687e-05
pug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sawfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shark,0.05623196831497765,0.0,0.0,0.0,0.0,0.0,0.0,0.06246091122530987,0.05623196831497765,0.0,0.0,0.0,0.0,0.0563955293425567,0.016522884085558704
grindle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
armadillo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anglerfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
