,context,n_concepts,mean_tfidf,mean_diff,evidence
0,recipes,28,0.02,0.02,-
1,sprinkle,28,0.02,0.02,-
2,cooked,28,0.03,0.03,-
3,baked,27,0.04,0.03,-
4,flour,27,0.05,0.05,-
5,serves,27,0.01,0.01,-
6,noodles,27,0.01,0.01,-
7,smoked,27,0.01,0.01,-
8,steamed,27,0.01,0.01,-
9,prepared,26,0.01,0.01,-
10,tender,26,0.01,0.01,-
11,mix,26,0.04,0.03,-
12,sweet,26,0.02,0.02,-
13,cooks,26,0.01,0.01,-
14,pour,26,0.04,0.04,-
15,evenly,26,0.02,0.01,-
16,crisp,26,0.01,0.01,-
17,salmon,26,0.01,0.01,-
18,menu,26,0.02,0.02,-
19,sausage,26,0.01,0.01,-
20,hot,23,0.03,0.02,-
