,context,n_concepts,mean_tfidf,mean_diff,evidence
0,recipes,28,0.02,0.02,u
1,sprinkle,28,0.02,0.02,u
2,cooked,28,0.03,0.03,r
3,baked,27,0.04,0.03,r
4,flour,27,0.05,0.05,u
5,serves,27,0.01,0.01,u
6,noodles,27,0.01,0.01,i
7,smoked,27,0.01,0.01,r
8,steamed,27,0.01,0.01,r
9,prepared,26,0.01,0.01,u
10,tender,26,0.01,0.01,u
11,mix,26,0.04,0.03,u
12,sweet,26,0.02,0.02,u
13,cooks,26,0.01,0.01,r
14,pour,26,0.04,0.04,u
15,evenly,26,0.02,0.01,u
16,crisp,26,0.01,0.01,r
17,salmon,26,0.01,0.01,u
18,menu,26,0.02,0.02,u
19,sausage,26,0.01,0.01,i
20,hot,23,0.03,0.02,p
