,animal,no-cat,all,object,communication,measure,vehicle,mean
scooter,0.03552393953759628,0.03552393953759628,0.025817347336433677,0.025821247009441602,0.0,0.0,0.027147683474457184,0.021404879556503574
racer,0.012759274503122219,0.012759274503122219,0.011375954733964494,0.011376003733052937,0.0,0.0,0.011381273991287267,0.008521683066364161
cat,0.0013746733927143735,0.001061563516119291,0.0010516988643369213,0.0010608745870880204,0.0,0.0,0.0010784715990050432,0.0008038974227519499
hack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
packhorse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rig,0.0,0.0034562275588306884,0.0024088148383067847,0.0024092733204005463,0.0,0.0,0.002703448702471818,0.0015682520600014053
sidecar,0.0,0.03898237646681812,0.030451943674396985,0.030466509098101058,0.0,0.0,0.0,0.014271547034188023
carrier,0.0,0.005858279284064405,0.005627760506422387,0.005628399431778095,0.0,0.0,0.006060760268730363,0.003310742784427893
suv,0.0,0.05405605047912929,0.039481531806320594,0.0,0.0,0.0,0.0,0.01336251175506427
wheelbase,0.0,0.09280303581956129,0.08249787973121601,0.0,0.0,0.0,0.0,0.02504298793582533
bus,0.0,0.0,0.002167286638694976,0.0021673601273483134,0.0024748611321771742,0.0,0.0021802937239902708,0.0012842573746015332
truck,0.0,0.0,0.043451996473638343,0.043453302306555204,0.0,0.0,0.042605629827557674,0.018501561229678744
undercarriage,0.0,0.0,0.05643943300630793,0.05644020345356217,0.0,0.0,0.0,0.016125662351410015
bicycle,0.0,0.0,0.048710511400096086,0.04871001336713141,0.0,0.0,0.04978151499822884,0.02102886282363662
hearse,0.0,0.0,0.006692457189901448,0.0066640318520305485,0.0,0.0,0.007244909466506065,0.0029430569297768656
tram,0.0,0.0,0.004335163994806285,0.00433508550112467,0.0,0.0,0.0043102421017756475,0.0018543559425295145
tank,0.0,0.0,0.011937461425264521,0.011936506945244485,0.0,0.013444031554456556,0.012610319614464032,0.007132617077061371
wagon,0.0,0.0,0.15893353458774778,0.15897142828405228,0.0,0.0,0.15611813603796812,0.06771758555853831
coupe,0.0,0.0,0.016544714393273124,0.016544725451827367,0.0,0.0,0.016905666612522866,0.007142158065374765
garage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caravan,0.0,0.0,0.008462822627338506,0.008463507382430164,0.0,0.0,0.008801731321734355,0.0036754373330718606
minivan,0.0,0.0,0.09393520501986113,0.09392060325734912,0.0,0.0,0.08666407670938898,0.039217126426657034
vehicle,0.0,0.0,0.11024304853226756,0.11024119424447908,0.0,0.0,0.11395428819030062,0.04777693299529246
trailer,0.0,0.0,0.011487604061032448,0.011485882483658805,0.013135183589909592,0.0,0.012566398184679181,0.006953581188468574
motorbus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coach,0.0,0.0,0.0006018940716720853,0.0006019141748931932,0.0,0.0,0.0006261384700427925,0.0002614209595154387
unicycle,0.0,0.0,0.049774010890619,0.049778017646165115,0.0,0.0,0.05513323423307922,0.022097894681409047
chassis,0.0,0.0,0.08254472324097374,0.08247329615952294,0.0,0.0,0.0,0.023574002771499524
cabriolet,0.0,0.0,0.010739057748171774,0.010738817843385276,0.0,0.0,0.010847669332441374,0.004617934989142632
motorcycle,0.0,0.0,0.014630526867479664,0.014630550555077308,0.0,0.0,0.014921472876769684,0.006311792899903808
cab,0.0,0.0,0.01689937961907087,0.016899384397579008,0.0,0.0,0.017947830269853974,0.007392370612357694
snowplow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airplane,0.0,0.0,0.004315518824541823,0.004314990111423035,0.0,0.0,0.004574440360599112,0.0018864213280805672
snowmobile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pram,0.0,0.0,0.014647679694145897,0.014644886481217857,0.0,0.0,0.012515439383521022,0.005972572222697825
roadster,0.0,0.0,0.029311854211118777,0.02931189931515977,0.0,0.0,0.027966984341645178,0.01237010540970339
van,0.0,0.0,0.00255013017174201,0.0025502263972473523,0.0,0.0,0.002749883024815654,0.0011214627991150024
dray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motorcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tractor,0.0,0.0,0.06869267033608717,0.0686928846142433,0.0,0.0,0.07184805755657254,0.02989051607241472
charabanc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
car,0.0,0.0,0.072382343803867,0.07238525132237507,0.0,0.0,0.07490555764027869,0.03138187896664583
stagecoach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
limousine,0.0,0.0,0.011692296396392894,0.011698331921192249,0.0,0.0,0.011402312753263444,0.004970420152978369
dumper,0.0,0.0,0.03561998948472125,0.035694051258524574,0.0,0.0,0.03680679964301961,0.015445834340895062
tramcar,0.0,0.0,0.008342018157228993,0.008342873690656765,0.0,0.0,0.00845380873485318,0.003591242940391277
underframe,0.0,0.0,0.08330310105718391,0.0831302466250802,0.0,0.0,0.0,0.023776192526037732
streamliner,0.0,0.0,0.030060909619507633,0.030082813198354996,0.0,0.0,0.0,0.008591960402551804
automobile,0.0,0.0,0.03719456695135211,0.037217151035115005,0.0,0.0,0.03798861457750581,0.016057190366281848
axle,0.0,0.0,0.16678378977596472,0.166784498305713,0.0,0.0,0.0,0.04765261258309682
runabout,0.0,0.0,0.005948782262500756,0.005948218490763028,0.0,0.0,0.006285630460389255,0.0025975187448075768
footrest,0.0,0.0,0.10305501345957133,0.10357654286386242,0.0,0.0,0.0,0.029518793760490537
bike,0.0,0.0,0.022919746782639076,0.022917074479402923,0.0,0.0,0.02360390308492796,0.009920103478138566
bogie,0.0,0.0,0.1363048653970992,0.13631433288187164,0.0,0.0,0.12459469074550819,0.0567448412892113
motorbike,0.0,0.0,0.018423606871051545,0.018428841597552478,0.0,0.0,0.019446569406748684,0.008042716839336102
taxicab,0.0,0.0,0.013212617718515684,0.013212678859397625,0.0,0.0,0.013472102106996349,0.005699628383558523
backhoe,0.0,0.0,0.017351376660339923,0.017350100615282183,0.0,0.0,0.0,0.004957353896517443
trolley,0.0,0.0,0.013328246582642337,0.01332503673566534,0.0,0.0,0.012810856166122136,0.005637734212061402
wheel,0.0,0.0,0.24996115940162283,0.24996179699422405,0.0,0.0,0.25919285844624756,0.1084451164060135
locomotive,0.0,0.0,0.04138636420478664,0.04138136550508239,0.0,0.0,0.042807558655765465,0.017939326909376357
equipage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
railcar,0.0,0.0,0.01961795131187625,0.01961721933051314,0.0,0.0,0.020010468698856265,0.008463662763035094
buggy,0.0,0.0,0.019414615817463378,0.01940912209073955,0.0,0.0,0.02022849785583229,0.00843603368057646
rickshaw,0.0,0.0,0.006556999854540027,0.006556817302194139,0.0,0.0,0.006591189025312356,0.0028150008831495034
phaeton,0.0,0.0,0.03329380840828706,0.03329193511277559,0.0,0.0,0.03541479475744095,0.014571505468357655
handcart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxcart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
luggage,0.0,0.0,0.012518523125472823,0.01255114888476313,0.0,0.0,0.0,0.0035813817157479932
flatcar,0.0,0.0,0.04092203869644411,0.04092203869644411,0.0,0.0,0.045402167290118985,0.018178034954715316
train,0.0,0.0,0.012107497553451599,0.012107551671938058,0.0,0.0,0.0,0.003459292746484237
jeep,0.0,0.0,0.04191450272185476,0.04191537846459932,0.0,0.0,0.041162083472207345,0.017855994951237346
machine,0.0,0.0,0.008389690175341,0.008388784835959654,0.0,0.0,0.0088976328330751,0.0036680154063393933
stanhope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auto,0.0,0.0,0.012751838793804704,0.01275355498333799,0.0,0.0,0.013455599962609333,0.0055658562485360035
carriage,0.0,0.0,0.04832743660101027,0.048321154097346906,0.0,0.0,0.050363531862126415,0.0210017317943548
streetcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saloon,0.0,0.0,0.036308752899822896,0.03630930912228224,0.0,0.0,0.03727743190850971,0.015699356275802122
cart,0.0,0.0,0.08041077353915194,0.0804115990317526,0.0,0.0,0.08175243848871554,0.03465354443708858
ambulance,0.0,0.0,0.0033035978887992275,0.0033036335415618165,0.0,0.0,0.003372023353123192,0.0014256078262120336
pedicab,0.0,0.0,0.04122384931714514,0.0413757369132321,0.0,0.0,0.04934981118899381,0.01884991391705301
lorry,0.0,0.0,0.028117807599443462,0.028107145672322927,0.0,0.0,0.028515661214442063,0.012105802069458351
stage,0.0,0.0,0.0023151523067229474,0.002330295175544763,0.0,0.0030986519752662046,0.002383061032104794,0.00144673721280553
yacht,0.0,0.0,0.0003160889182169071,0.0003195098078721764,0.0,0.0,0.0003295027755911339,0.0001378716430971739
warship,0.0,0.0,0.0047443960167683355,0.004787486388668872,0.0,0.0,0.0049079649063849635,0.0020628353302603103
battleship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
piton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
passenger,0.0,0.0,0.011322427760074454,0.011417043150755646,0.0,0.0,0.0,0.0032484958444043
vessel,0.0,0.0,0.0030316436062393934,0.0030619827033612434,0.0,0.0,0.0031261414062775947,0.0013171096736968903
sleigh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trawler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
windshield,0.0,0.0,0.011282152110998771,0.01139860700196438,0.0,0.0,0.0,0.0032401084447090216
heap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frigate,0.0,0.0,0.0009109873913950658,0.0009090192040508712,0.0,0.0,0.000925365004202801,0.00039219594280696257
gondola,0.0,0.0,0.008449936763597263,0.00849566872734845,0.0,0.0,0.008384608416431984,0.0036186019867682426
diesel,0.0,0.0,0.007318771227588583,0.007316816141692737,0.0,0.0,0.0,0.0020907981956116172
driver,0.0,0.0,0.017936132758480074,0.017936503852128412,0.022129670126362015,0.0,0.0,0.008286043819567214
toboggan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tugboat,0.0,0.0,0.01257446825289607,0.012724877498524008,0.0,0.0,0.013133445237846304,0.005490398712752341
freighter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chaise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boat,0.0,0.0,0.005673551136537823,0.005724695159003958,0.0,0.0,0.005795367599359193,0.002456230556414425
winch,0.0,0.0,0.0132604682735164,0.013385090240037006,0.0,0.0,0.0,0.0038065083590790583
diner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ship,0.0,0.0,0.0015560670014067477,0.0015705126956683227,0.0,0.0,0.0016002512711448405,0.0006752615668885587
trap,0.0,0.0,0.0010014591804511843,0.001011300972006235,0.0,0.0,0.0010311813917761997,0.0004348487920333741
