,context,n_concepts,mean_tfidf,mean_diff,evidence
0,add,72,0.03,0.03,r
1,recipe,72,0.03,0.03,r
2,chicken,71,0.05,0.05,i
3,potato,69,0.03,0.03,i
4,fresh,68,0.02,0.02,r
5,rice,68,0.02,0.02,i
6,taste,67,0.01,0.01,r
7,sweet,67,0.02,0.02,r
8,egg,67,0.02,0.02,i
9,hot,67,0.01,0.01,r
10,mix,66,0.02,0.02,r
11,bean,65,0.02,0.02,i
12,olive,65,0.02,0.02,i
13,cream,65,0.03,0.03,i
14,topped,65,0.01,0.01,r
15,cheese,65,0.06,0.05,i
16,serving,65,0.01,0.01,r
17,combine,65,0.03,0.03,r
18,bowl,65,0.02,0.01,r
19,cook,64,0.02,0.02,p
20,cook,64,0.02,0.02,p
21,cooking,60,0.02,0.02,p
22,cooked,57,0.04,0.04,p
23,cooks,14,0.02,0.02,p
