,all,relation,weapon,mammal,bird,no-cat,animal,food,cutlery,object,communication,vehicle,measure,tool,mean,median
lettuce,0.0008798940763056819,0.0,0.0,0.0,0.0,0.0010455271195980102,0.0,0.0015263724820135094,0.0,0.0008799124982980255,0.0,0.0,0.0011591068684445739,0.0,0.00039220093176141433,0.0
almond,0.002055777122666482,0.0,0.0,0.0,0.0,0.0020695633274283214,0.0,0.0,0.0,0.0020550819549202447,0.0,0.0,0.0,0.0,0.00044145874321536055,0.0
cream,0.0012192324446301923,0.0,0.0,0.0,0.0,0.0,0.0,0.001852379401118948,0.0,0.0012192324446301923,0.0,0.0,0.0,0.0,0.000306488877884238,0.0
blender,0.000827338923276893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008271995753568557,0.0,0.0,0.0,0.0,0.00011818132133098206,0.0
mussel,0.004102887455750911,0.0,0.0,0.0,0.0,0.0,0.0043604375196120045,0.008011370121409562,0.0,0.004102887455750911,0.0,0.0,0.0,0.0,0.001469827325180242,0.0
spinach,0.001699756031302728,0.0,0.0,0.0,0.0,0.001996671112985007,0.0,0.0028479760316195775,0.0,0.001699756031302728,0.0,0.0,0.0,0.0,0.0005888685148007171,0.0
scallop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pea,0.0011241620207946641,0.0,0.0,0.0,0.0,0.001197158928157848,0.0,0.001740256831397353,0.0,0.0011241610073320864,0.0,0.0,0.0,0.0,0.00037040991340585365,0.0
cabbage,0.0012878438555878453,0.0,0.0,0.0,0.0,0.0013619115660259008,0.0,0.001964528124146791,0.0,0.001287489627556509,0.0,0.0,0.0015729442898698217,0.0,0.0005339083902276333,0.0
mustard,0.01319957074267448,0.0,0.0,0.0,0.0,0.01520608974780694,0.0,0.022525847945261877,0.0,0.01319957074267448,0.0,0.0,0.0,0.0,0.004580791369886984,0.0
cucumber,0.0010034887434254725,0.0,0.0,0.0,0.0,0.0011384373153772722,0.0,0.0016166740239875112,0.0,0.0010034887434254725,0.0,0.0,0.0,0.0,0.000340149201872552,0.0
bacon,0.0020886028829732923,0.0,0.0,0.0,0.0,0.0,0.0,0.0030211743492005692,0.0,0.0,0.0,0.0,0.0,0.0,0.00036498408801241864,0.0
pastry,0.005858016610216404,0.0,0.0,0.0,0.0,0.0,0.0,0.00952586542651712,0.0,0.0,0.0,0.0,0.0,0.0,0.0010988487169095375,0.0
oregano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
knife,0.0021043611272298654,0.0,0.0018027924732107409,0.0,0.0,0.0,0.0,0.0,0.0023122512557834035,0.0021043611272298654,0.0,0.0,0.0,0.0022443406500866664,0.00075486475953861,0.0
turnip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
casserole,0.00867131732432034,0.0,0.0,0.0,0.0,0.0,0.0,0.012829576469345395,0.0,0.008671308817241957,0.0,0.0,0.0,0.0,0.0021551573293505494,0.0
soup,0.00361999206507322,0.004895508316524463,0.0,0.0,0.0,0.0,0.0,0.0054776844890462245,0.0,0.0,0.0,0.0,0.0,0.0,0.0009995132050459933,0.0
broccoli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gravy,0.004842701505622839,0.0,0.0,0.0,0.0,0.0,0.0,0.007485556624507771,0.0,0.0,0.0,0.0,0.0,0.0,0.0008805898664379007,0.0
vinaigrette,0.004248377132907364,0.0,0.0,0.0,0.0,0.0,0.0,0.0074386647716079436,0.0,0.0,0.0,0.0,0.0,0.0,0.0008347887074653792,0.0
fork,0.0035385301027638805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033967239692734613,0.0035385323258891794,0.0,0.0,0.0,0.0037045573894623086,0.001012738841956345,0.0
ham,0.00112318310426823,0.0,0.0,0.0,0.0,0.0,0.0,0.001480250123346893,0.0,0.00112318310426823,0.0,0.0,0.0,0.0,0.0002661868808488109,0.0
pounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pasta,0.006069213037829139,0.0,0.0,0.0,0.0,0.0,0.0,0.009812940285040374,0.0,0.0,0.0,0.0,0.0,0.0,0.001134439523062108,0.0
oven,0.001191547101504466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001191547101504466,0.0,0.0,0.0,0.0,0.000170221014500638,0.0
blade,0.0005435057773451497,0.0,0.0005139297390469774,0.0,0.0,0.0,0.0,0.0,0.0,0.0005434914451968605,0.0,0.0,0.0,0.0005752890885209277,0.00015544400357927967,0.0
taco,0.0017832476050464684,0.0,0.0,0.0,0.0,0.0,0.0,0.0021003910161793904,0.0,0.0017832476050464684,0.0,0.0,0.0,0.0,0.00040477758759088056,0.0
radish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tablespoon,0.003081908155439616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033354304921056773,0.003081908155439616,0.0,0.0,0.0037508448792826937,0.0,0.0009464351201619715,0.0
rhubarb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheese,0.0009765327364824525,0.0,0.0,0.0,0.0,0.0011783052200900843,0.0,0.00170637702935263,0.0,0.0009765416252364598,0.0,0.0,0.0,0.0,0.0003455540436544019,0.0
chutney,0.00875054087105978,0.0,0.0,0.0,0.0,0.0,0.0,0.013905495858326783,0.0,0.0,0.0,0.0,0.0,0.0,0.001618288337813326,0.0
