,context,n_concepts,mean_tfidf,mean_diff,evidence
0,mint,32,0.04,0.03,i
1,flavored,32,0.02,0.01,u
2,flavor,32,0.02,0.01,u
3,citrus,32,0.02,0.02,u
4,fruit,30,0.06,0.06,u
5,toss,29,0.02,0.02,u
6,herbs,29,0.02,0.01,i
7,garnish,29,0.03,0.03,i
8,green,29,0.03,0.02,p
9,garnished,29,0.01,0.01,r
10,pineapple,28,0.05,0.05,i
11,flavors,28,0.04,0.03,u
12,leaves,28,0.05,0.04,i
13,mix,28,0.01,0.01,u
14,dried,28,0.04,0.03,u
15,gently,27,0.01,0.01,u
16,scented,27,0.01,0,u
17,lemon,27,0.06,0.05,i
18,spices,27,0.01,0.01,u
19,sprinkled,27,0.01,0,u
20,green,29,0.03,0.02,p
