,criminal,food,female,fish,communication,no-cat,all,mammal,relation,bird,object,measure,animal,mean
murderess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
henchman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
murderer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hijacker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pirate,0.0027828510600288745,0.0,0.0,0.0,0.0,0.0021025469164672158,0.0014082787841309798,0.0,0.0,0.0,0.001420481609667887,0.0,0.0,0.0005933967977149966
kidnapper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hen,0.0,0.0063578378404051325,0.0,0.0,0.0,0.0,0.00869549630133205,0.0,0.0,0.007997369529125586,0.008701293512090957,0.0,0.006608529233260276,0.002950809724324154
emperor,0.0,0.00018782793084353049,0.0,0.0,0.0,0.00018969640568408284,0.00010657356268265714,0.0,0.0,0.0,0.0001056219738039406,0.0,0.00010936048646215633,5.377541226741288e-05
hero,0.0,0.0020936919778517635,0.0,0.0,0.0,0.0,0.0017272780172646817,0.0,0.0,0.0,0.0017335161491873843,0.0,0.0,0.0004272681649464485
girlfriend,0.0,0.0,0.0019159625220472709,0.0,0.0,0.0,0.00203287741351827,0.0,0.0,0.0,0.002039154320471783,0.0,0.0,0.0004606149427721018
madam,0.0,0.0,0.016629975490970856,0.0,0.0,0.0,0.019273655759452543,0.0,0.0,0.0,0.019175533720088307,0.0,0.0,0.004236858843885515
enchantress,0.0,0.0,0.0308046982052869,0.0,0.0,0.0,0.029104590447599346,0.0,0.0,0.0,0.029227780644236027,0.0,0.0,0.006856697638240176
