,criminal,food,female,fish,communication,no-cat,all,mammal,relation,bird,object,measure,animal,mean
murderess,0.03451116914498682,0.0,0.0,0.0,0.0,0.0,0.04263287245848781,0.0,0.0,0.0,0.042365467605876894,0.0,0.0,0.009193039169950117
henchman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
murderer,0.0032000506659644345,0.0,0.0,0.0,0.0,0.0,0.0022439755799908466,0.0,0.0,0.0,0.0022847944531222105,0.0,0.0,0.0005945246691598071
hijacker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pirate,0.0013200142994061943,0.0,0.0,0.0,0.0,0.0014016979443114772,0.0008642681053056485,0.0,0.0,0.0,0.0008767002338391718,0.0,0.0,0.0003432831217586532
kidnapper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hen,0.0,0.0031789189202025663,0.0,0.0,0.0,0.0,0.0039614132412786095,0.0,0.0,0.003998684764562793,0.0039302110607515525,0.0,0.002966261507723054,0.001387345345732198
emperor,0.0,0.0009391396542176525,0.0,0.0,0.0,0.0009484820284204142,0.0004905356744700814,0.0,0.0,0.0,0.0004889123968707319,0.0,0.0005783736936468798,0.00026503411135582765
hero,0.0,0.0034894866297529394,0.0,0.0,0.0,0.0,0.002650099036034686,0.0,0.0,0.0,0.0026747513009194963,0.0,0.0,0.0006780259205159325
girlfriend,0.0,0.0,0.01484870954586635,0.0,0.0,0.0,0.014354850141204094,0.0,0.0,0.0,0.014276240220295763,0.0,0.0,0.0033445999928743237
madam,0.0,0.0,0.009502843137697631,0.0,0.0,0.0,0.010034871581792448,0.0,0.0,0.0,0.009898547299601622,0.0,0.0,0.0022643278476224384
enchantress,0.0,0.0,0.0308046982052869,0.0,0.0,0.0,0.026518396647112384,0.0,0.0,0.0,0.02640328052595309,0.0,0.0,0.006440490413719413
vamp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miss,0.0,0.0,0.01244201633472375,0.0,0.0,0.0,0.00976324899731492,0.0,0.0,0.0,0.009681911013618266,0.0,0.0,0.0024528597188966873
courtesan,0.0,0.0,0.03031065950918241,0.0,0.0,0.0,0.040020528491946226,0.0,0.0,0.0,0.03983699557534839,0.0,0.0,0.008474475659729003
woman,0.0,0.0,0.08225070719860973,0.0,0.0,0.0,0.07807101757721754,0.0,0.0,0.0,0.07767956490311317,0.0,0.0,0.018307791513764653
skirt,0.0,0.0,0.00621946124208497,0.0,0.0,0.0,0.004972207334834783,0.0,0.0,0.0,0.004935949606116888,0.0,0.0,0.0012405860140797416
siren,0.0,0.0,0.003740806991611378,0.0,0.0038428117773904595,0.0,0.003560522780400204,0.0,0.0,0.0,0.0035426301131182888,0.0,0.003315110234335417,0.0013847601459119805
bachelorette,0.0,0.0,0.01731415622394475,0.0,0.0,0.0,0.01479396656556365,0.0,0.0,0.0,0.01463945538293972,0.0,0.0,0.0035959675517267787
wife,0.0,0.0,0.012554317551970428,0.0,0.0,0.0,0.01195993213264449,0.0,0.0,0.0,0.011904878503170268,0.0,0.0,0.0028014713990603987
amazon,0.0,0.0,0.0004039173276108415,0.0,0.0,0.0,0.0002588931117263094,0.0,0.0,0.00036819220606071834,0.00025498925520502243,0.0,0.00028082419994700995,0.00012052431542691552
maid,0.0,0.0,0.011335514262596706,0.0,0.0,0.0,0.008516633399596006,0.0,0.0,0.0,0.008509344811285752,0.0,0.0,0.002181653267190651
tomboy,0.0,0.0,0.14236182053342278,0.0,0.0,0.0,0.12889561820142176,0.0,0.0,0.0,0.12804386899431236,0.0,0.0,0.030715485209935146
doll,0.0,0.0,0.009836296062161791,0.0,0.0,0.0,0.0066883660350681925,0.0,0.0,0.0,0.00663587601400073,0.0,0.0,0.0017815798547100548
lass,0.0,0.0,0.01625818793944624,0.0,0.0,0.0,0.022512078860208326,0.0,0.0,0.0,0.023406084653448168,0.0,0.0,0.004782796265623287
minx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lady,0.0,0.0,0.02147009630898447,0.0,0.0,0.0,0.017722164362694276,0.0,0.0,0.0,0.017579126580865745,0.0,0.0,0.0043670297886572685
dame,0.0,0.0,0.000324372919620643,0.0,0.0,0.0,0.00025597754912918863,0.0,0.0,0.0,0.000254562232633568,0.0,0.0,6.42240539525692e-05
missus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nymph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daughter,0.0,0.0,0.029657613206142897,0.0,0.0,0.0,0.0281677113770184,0.0,0.0,0.0,0.02802573265371099,0.0,0.0,0.006603927479759407
flapper,0.0,0.0,0.025065928770244272,0.0,0.0,0.0,0.02404435305253311,0.0,0.0,0.0,0.02402191129207858,0.0,0.0,0.005625553316527381
sister,0.0,0.0,0.019511016093989274,0.0,0.0,0.0,0.017978930534841012,0.0,0.0,0.0,0.017902252258682985,0.0,0.0,0.004260938375962559
gal,0.0,0.0,0.01060961258647103,0.0,0.0,0.0,0.01048498702654148,0.0,0.0,0.0,0.010421501081501902,0.010855925899226392,0.0,0.0032593866610569847
granny,0.0,0.0,0.014781155134043466,0.0,0.0,0.0,0.010619171361002669,0.0,0.0,0.0,0.010515278171508807,0.0,0.0,0.002762738820504226
goddess,0.0,0.0,0.023270594786908447,0.0,0.0,0.0,0.025834458180996823,0.0,0.0,0.0,0.0,0.0,0.0,0.0037773117667619436
coquette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cinderella,0.0,0.0,0.013443514796177523,0.0,0.0,0.0,0.013281540893696228,0.0,0.0,0.0,0.0,0.0,0.0,0.0020557735146056735
concubine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superwoman,0.0,0.0,0.03661909607592251,0.0,0.0,0.0,0.031947741039337556,0.0,0.0,0.0,0.0,0.0,0.0,0.005274372085789236
chit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matriarch,0.0,0.0,0.015412334415457607,0.0,0.0,0.0,0.0140317144189031,0.0,0.0,0.0,0.014015836107407182,0.0,0.0,0.0033430680724436837
witch,0.0,0.0,0.0044298631357992425,0.0,0.0,0.0,0.003794846855400387,0.0,0.0,0.0,0.0037865218018506685,0.0,0.0,0.0009239409071577152
mother,0.0,0.0,0.03947666622994316,0.0,0.0,0.0,0.03650393074208013,0.0,0.0,0.0,0.0361700208101276,0.0,0.0,0.008626970598626991
housewife,0.0,0.0,0.06672330610143964,0.0,0.0,0.0,0.06304525962360756,0.0,0.0,0.0,0.0626748150743513,0.0,0.0,0.014803336984569114
girl,0.0,0.0,0.03649779072862511,0.0,0.0,0.0,0.03394916208930429,0.0,0.0,0.0,0.033780666952014406,0.0,0.0,0.0080175092130726
begum,0.0,0.0,0.0006123082191877634,0.0,0.0,0.0,0.00047396250408468087,0.0,0.0,0.0,0.0004743360409843479,0.0,0.0,0.00012004667417359942
temptress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
damsel,0.0,0.0,0.003532642703975964,0.0,0.0,0.0,0.0027005924559693082,0.0,0.0,0.0,0.0026841772415092647,0.0,0.0,0.0006859548001118875
peri,0.0,0.0,0.013474703702356917,0.0,0.0,0.0,0.02736017358163081,0.0,0.0,0.0,0.027289605313952286,0.0,0.0,0.005240344815226155
mistress,0.0,0.0,0.015709726722515742,0.0,0.0,0.0,0.015103006026518043,0.0,0.0,0.0,0.015025789745771524,0.0,0.0,0.0035260401919081008
mrs,0.0,0.0,0.02490587858459213,0.0,0.0,0.0,0.02123703725815343,0.0,0.0,0.0,0.0,0.0,0.0,0.0035494550648265816
cyprian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
widow,0.0,0.0,0.029623764170808507,0.0,0.0,0.0,0.025123629705129723,0.0,0.0,0.0,0.024942824272925757,0.0,0.0,0.006130016780681845
maiden,0.0,0.0,0.004493858316527212,0.0,0.0,0.0,0.003240078889501871,0.0,0.0,0.0,0.0032224198108012606,0.0,0.0,0.0008427966936023341
wench,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dowager,0.0,0.0,0.007176867867255316,0.0,0.0,0.0,0.006343671427497164,0.0,0.0,0.0,0.006350812640076784,0.0,0.0,0.001528565533448405
lassie,0.0,0.0,0.013644973459542006,0.0,0.0,0.0,0.018131834971318494,0.0,0.0,0.0,0.018012585863450316,0.0,0.0,0.0038299534072546784
heroine,0.0,0.0,0.07981796741012727,0.0,0.0,0.0,0.0786268673788691,0.0,0.0,0.0,0.0782175244044661,0.0,0.0,0.018204796861035575
baby,0.0,0.0,0.003687637185871979,0.0,0.0,0.0,0.00333168940707595,0.0,0.0,0.0,0.003403467815188015,0.0,0.0035652609080187333,0.0010760042550888214
rover,0.0,0.0,0.0004368711666996952,0.0,0.0,0.0006632893486090801,0.00036577061648160656,0.0,0.0,0.0,0.00036869734068115936,0.0,0.0,0.0001411252671131955
mister,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robert,0.0,0.0,0.0004414665387931737,0.0,0.0,0.0,0.0003867447420028907,0.0,0.0,0.0,0.0,0.0,0.0,6.370856006123573e-05
mademoiselle,0.0,0.0,0.0,0.014390466213878775,0.0,0.0,0.024725165307691106,0.0,0.0,0.0,0.024651648289532282,0.0,0.015921202903922613,0.006129883285771137
molly,0.0,0.0,0.0,0.016108565964300114,0.0,0.0,0.010855699943297482,0.0,0.0,0.0,0.010779165309254761,0.0,0.011752117612391283,0.0038073499099418183
angler,0.0,0.0,0.0,0.0043509531703061115,0.0,0.0,0.004479370048058766,0.0,0.0,0.0,0.004554780804967998,0.0,0.004025474802261734,0.0013392752942765083
nun,0.0,0.0,0.0,0.0,0.02639808038525321,0.0,0.024474455369157766,0.0,0.0,0.0,0.02437698060215654,0.0,0.0,0.005788424335120578
soprano,0.0,0.0,0.0,0.0,0.004992856898103197,0.0,0.0020717628662315674,0.0,0.0,0.0,0.0020713815873726607,0.0,0.0,0.000702769334746725
ms,0.0,0.0,0.0,0.0,0.004156112019484637,0.0,0.003804104261243027,0.0,0.0,0.0,0.0,0.0,0.0,0.0006123243292867434
bull,0.0,0.0,0.0,0.0,0.0014439728399234608,0.001521449995950984,0.001067010603736138,0.0013198979214247147,0.0,0.0,0.00108717082332431,0.0,0.0012320974599334337,0.0005901230495610032
baritone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tenor,0.0,0.0,0.0,0.0,0.0007185725194110206,0.0,0.00042228636526337897,0.0,0.0,0.0,0.0004302074979377625,0.0,0.0,0.00012085126020093554
