,food,communication,warm,no-cat,all,relation,object,measure,mean
casserole,0.0013821977999452504,0.0,0.0,0.0,0.0012219763552526759,0.0,0.0012527415462449815,0.0,0.0004821144626803635
soup,0.012183056877604344,0.0,0.0,0.0,0.010568881944704383,0.013088508908795588,0.0,0.0,0.004480055966388039
juice,0.0006733523792828723,0.0,0.0,0.0,0.0005667525520680447,0.0007339706966888057,0.0,0.0,0.00024675945350496534
tea,0.0019970438058944683,0.0,0.0,0.0022603390814830643,0.0017909111245887266,0.0022185600236753235,0.0018281914126202696,0.0,0.0012618806810327317
water,0.008722712244414097,0.0,0.0,0.0,0.008378294835693407,0.009510849952773561,0.008585170723509299,0.0,0.004399628469548796
quesadilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drink,0.00344431998143995,0.0,0.0,0.0,0.003286647039108937,0.0037294290045702806,0.0,0.0029434029202691854,0.001675474868173544
coffee,0.0028388099079456296,0.0,0.0,0.0031670631153583183,0.0025504948571007414,0.003089838806855604,0.0026178413893206518,0.0,0.001783006009572618
tortilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cake,0.0006137458882845213,0.0,0.0,0.0,0.000548817194681427,0.0,0.0005516341618248741,0.0,0.0002142746555988528
lemonade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ice,0.016941580904454676,0.0,0.0,0.0,0.014994890692402722,0.0,0.014766358182665121,0.0,0.005837853722440315
beer,0.004229896180931259,0.0,0.0,0.0,0.003385245613479904,0.0033608231749480597,0.0,0.0,0.0013719956211699028
candy,0.0008368170801699714,0.0,0.0,0.0,0.0007782739835646899,0.0,0.0,0.0,0.00020188638296683264
sock,0.0,0.003966734213840221,0.0,0.0,0.003848189815278716,0.0,0.004072594078487801,0.0,0.0014859397634508424
wig,0.0,0.0017866539242374928,0.0,0.0,0.0018747309259830706,0.0,0.001999905642899953,0.0,0.0007076613116400645
smoke,0.0,0.0005660254585804905,0.0,0.0,0.0005425577594501044,0.0006256095875850642,0.0,0.0,0.0002167741007019574
sheepskin,0.0,0.014364396171739412,0.0,0.0,0.016245470908002223,0.013244080528918145,0.0,0.0,0.0054817434510824724
head,0.0,0.003461608521959905,0.0,0.004545530889725113,0.003716182137340539,0.003710299656105715,0.003880667339854988,0.0033871344342087523,0.0028376778723993765
nose,0.0,0.0012015386766157294,0.0,0.0,0.0012351864984094937,0.0,0.0013256058851898733,0.0011760104918735136,0.0006172926940110762
space,0.0,0.0014275814508657538,0.0,0.0,0.0012723019278863383,0.0,0.0013309258762517005,0.0013888797690093171,0.0006774611280016388
problem,0.0,0.0022321339405403625,0.0,0.0,0.0022184836711233807,0.0,0.0,0.0,0.0005563272014579678
idea,0.0,0.0031872180582434777,0.0,0.0,0.003612492598919373,0.0,0.0,0.0,0.0008499638321453563
can,0.0,0.004529320358111491,0.0,0.0,0.005065974507682238,0.0,0.005021755359656978,0.00535127252208236,0.0024960403434416334
vinyl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
people,0.0,0.0,0.001938050385830006,0.0,0.002791128346458272,0.0,0.0,0.0,0.0005911473415360348
flame,0.0,0.0,0.012112167549893575,0.0,0.012651691111075593,0.0,0.0,0.0,0.003095482332621146
river,0.0,0.0,0.0030388622544276077,0.0,0.0031111552003901498,0.0,0.0,0.0,0.0007687521818522196
icicle,0.0,0.0,0.018960251135859203,0.0,0.014715897462285616,0.0,0.0,0.0,0.004209518574768103
feeling,0.0,0.0,0.004156280686545067,0.0,0.003506442434729915,0.0,0.0,0.0,0.0009578403901593729
skirt,0.0,0.0,0.0,0.001936920648805683,0.0017472767451404531,0.0,0.0019184808764178996,0.0,0.0007003347837955045
dragon,0.0,0.0,0.0,0.0015571191077530446,0.001097748197997096,0.0,0.0011482715731070815,0.0,0.00047539235985715275
sword,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,0.0,0.0,0.0,0.0,0.001902854055569296,0.0,0.002005711598007126,0.0019005023414810193,0.00072613349938218
boot,0.0,0.0,0.0,0.0,0.0026061458626056144,0.0,0.002723450183828976,0.0,0.0006661995058043238
corset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shawl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sun,0.0,0.0,0.0,0.0,0.008168723418708853,0.0,0.00921643868982095,0.0,0.0021731452635662257
feather,0.0,0.0,0.0,0.0,0.0014654507589726465,0.0016927790432147043,0.0016296248152055696,0.0,0.000598481827174115
toilet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clothing,0.0,0.0,0.0,0.0,0.036327993625772055,0.0,0.0381278446273441,0.0,0.00930697978163952
bodice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dad,0.0,0.0,0.0,0.0,0.0006458858455324021,0.0,0.0006780752724621064,0.0,0.00016549513974931356
