,context,n_concepts,mean_tfidf,mean_diff,evidence
0,green,53,0.03,0.03,p
1,leaves,46,0.04,0.03,i
2,plant,45,0.01,0.01,i
3,small,44,0.01,0.01,u
4,mint,43,0.03,0.03,i
5,large,42,0.01,0.01,u
6,bright,42,0.01,0.01,u
7,leaf,42,0.02,0.02,i
8,inch,41,0.01,0.01,u
9,plants,41,0.01,0.01,i
10,contains,40,0.01,0,u
11,variety,40,0.01,0.01,u
12,herbs,40,0.01,0.01,i
13,branches,40,0.02,0.02,r
14,wrap,40,0.01,0.01,u
15,garden,40,0.02,0.02,i
16,flowers,40,0.01,0.01,r
17,cool,40,0.01,0.01,u
18,orange,40,0.02,0.02,u
19,cut,40,0.01,0.01,u
20,green,53,0.03,0.03,p
