,all,relation,weapon,mammal,bird,no-cat,animal,food,cutlery,object,communication,vehicle,measure,tool,mean,median
lettuce,0.006145060809521392,0.0,0.0,0.0,0.0,0.009551437260142927,0.0,0.009921421133087811,0.0,0.006145189466215683,0.0,0.0,0.007534194644889729,0.0,0.00280695023670411,0.0
almond,0.0011044052626327972,0.0,0.0,0.0,0.0,0.0014543495228603691,0.0,0.0,0.0,0.0011040318043873036,0.0,0.0,0.0,0.0,0.00026162761356289066,0.0
cream,0.003929978731767475,0.0,0.0,0.0,0.0,0.0,0.0,0.005557138203356844,0.0,0.003929978731767475,0.0,0.0,0.0,0.0,0.0009583639762065567,0.0
blender,0.0013333898662070906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013331652846006567,0.0,0.0,0.0,0.0,0.00019046822505769625,0.0
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spinach,0.04748346172557844,0.0,0.0,0.0,0.0,0.07296254112336596,0.0,0.074047376822109,0.0,0.04748346172557844,0.0,0.0,0.0,0.0,0.017284060099759416,0.0
scallop,0.007414907513005357,0.0,0.0,0.0,0.0,0.0,0.006492695068831215,0.008707449168291357,0.0,0.007410773493649161,0.0,0.0,0.006878509841496948,0.0,0.0026360239346624316,0.0
pea,0.0060392269090298965,0.0,0.0,0.0,0.0,0.00841282551193012,0.0,0.008701284156986766,0.0,0.0060392214645029,0.0,0.0,0.0,0.0,0.0020851827173178346,0.0
cabbage,0.03390093910378263,0.0,0.0,0.0,0.0,0.04689592006626963,0.0,0.048130939041596384,0.0,0.03389161447730165,0.0,0.0,0.03853713510181063,0.0,0.014382610556482925,0.0
mustard,0.007837506975661546,0.0,0.0,0.0,0.0,0.011810636842036383,0.0,0.012448494917118408,0.0,0.007837506975661546,0.0,0.0,0.0,0.0,0.002852438979319849,0.0
cucumber,0.002156378212428745,0.0,0.0,0.0,0.0,0.003200067849062172,0.0,0.0032333480479750224,0.0,0.002156378212428745,0.0,0.0,0.0,0.0,0.0007675837372781918,0.0
bacon,0.06096416944260888,0.0,0.0,0.0,0.0,0.0,0.0,0.08207523648661547,0.0,0.0,0.0,0.0,0.0,0.0,0.010217100423516024,0.0
pastry,0.009047756134186454,0.0,0.0,0.0,0.0,0.0,0.0,0.013693431550618359,0.0,0.0,0.0,0.0,0.0,0.0,0.0016243705489146294,0.0
oregano,0.008913890969421027,0.0,0.0,0.0,0.0,0.013765721743412939,0.0,0.013807997682917208,0.0,0.008913890969421027,0.0,0.0,0.0,0.0,0.0032429643832265855,0.0
knife,0.007159868657873354,0.0,0.005708842831834013,0.0,0.0,0.0,0.0,0.0,0.007940032518136618,0.007159868657873354,0.0,0.0,0.0,0.007304194002070802,0.0025194861905562956,0.0
turnip,0.011522007748296984,0.0,0.0,0.0,0.0,0.014205795566904083,0.0,0.014314897176267046,0.0,0.011522007748296984,0.0,0.0,0.0,0.0,0.003683193445697507,0.0
casserole,0.03416165828316527,0.0,0.0,0.0,0.0,0.0,0.0,0.04704178038759978,0.0,0.0341616247685453,0.0,0.0,0.0,0.0,0.008240361674236453,0.0
soup,0.016701827413391237,0.017450066567155937,0.0,0.0,0.0,0.0,0.0,0.023521821629433785,0.0,0.0,0.0,0.0,0.0,0.0,0.00411955111499864,0.0
broccoli,0.03831292302527186,0.0,0.0,0.0,0.0,0.06959361353283065,0.0,0.07028596501403027,0.0,0.03831292302527186,0.0,0.0,0.0,0.0,0.015464673185528905,0.0
gravy,0.010406390788574436,0.0,0.0,0.0,0.0,0.0,0.0,0.014971113249015542,0.0,0.0,0.0,0.0,0.0,0.0,0.0018126788598278557,0.0
