,food,communication,plant,fruit,no-cat,all,mammal,relation,bird,tool,object,vegetable,measure,animal,mean
flavoring,0.048517050069882675,0.0,0.0,0.0,0.0,0.048965203190179545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006963018090004444
lemonade,0.08498576852833048,0.0,0.0,0.0,0.0,0.08545903955708278,0.0,0.08460774997414505,0.0,0.0,0.0,0.0,0.0,0.0,0.01821803986139702
pea,0.003706281727179609,0.0,0.0034049157613045477,0.003819528012924547,0.0,0.003759583820516272,0.0,0.0,0.0,0.0,0.0037484206406467693,0.0036433626773844817,0.0,0.0,0.001577292331425445
ketchup,0.0013524994270348023,0.0,0.0,0.0,0.0,0.0014120410618805577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019746717777966856
strawberry,0.0391250655676435,0.0,0.034825830618958095,0.05921130147747288,0.0,0.044934056097784815,0.0,0.0,0.0,0.0,0.04689341616723225,0.0,0.0,0.0,0.016070690709220823
beetroot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breadfruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plum,0.013479116393050708,0.0,0.012178955375226855,0.01359154703715104,0.0,0.013706258297857231,0.0,0.0,0.0,0.0,0.013514441372726347,0.0,0.0,0.0,0.004747879891143727
banana,0.06340515085307236,0.0,0.05905619319313007,0.07241259712977166,0.0,0.06514707642126844,0.0,0.0,0.0,0.0,0.06622516953044993,0.0,0.0,0.0,0.02330329908054946
tamarind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pie,0.030429102768342008,0.0,0.0,0.0,0.0,0.030978000939857243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004386221693442804
berry,0.005965213779404735,0.0,0.0,0.00799403123459244,0.0,0.0064550707941101165,0.0,0.0,0.0,0.0,0.00646492842110685,0.0,0.0,0.0,0.0019199460163724386
tater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
currant,0.10565199869137486,0.0,0.0994335941763531,0.101226132305211,0.0,0.10510820022781057,0.0,0.0,0.0,0.0,0.10407011949677643,0.0,0.0,0.0,0.036820717492680434
juice,0.006495522365724023,0.0,0.0,0.0,0.0,0.006580610650829153,0.0,0.006850134061068306,0.0,0.0,0.0,0.0,0.0,0.0,0.0014233047912586773
raisin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pumpkin,0.002741015803352533,0.0,0.002515056923699469,0.0,0.0,0.002802081491319306,0.0,0.0,0.0,0.0,0.002766923154326842,0.002475285841402807,0.0,0.0,0.0009500259438643541
donut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jam,0.041277562380376165,0.0,0.0,0.0,0.0,0.04340458665600719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006048724931170239
tea,0.0018701245905877115,0.0,0.0016853366064058695,0.0,0.0,0.001932337839944511,0.0,0.0023543666866807176,0.0,0.0,0.0019259592259143231,0.0,0.0,0.0,0.000697723210680938
dewberry,0.027863701150586936,0.0,0.024168590156215454,0.03204830343988505,0.0,0.02944182490208047,0.0,0.0,0.0,0.0,0.02935530266355455,0.0,0.0,0.0,0.010205551593737318
chocolate,0.05960730578200527,0.0,0.0,0.0,0.0,0.060727187404980364,0.0,0.07045504373437504,0.0,0.0,0.0,0.0,0.0,0.0,0.013627824065811478
fennel,0.001475970493151338,0.0,0.0014306630715165164,0.0,0.0,0.0015054123038981302,0.0,0.0,0.0,0.0,0.0015161273097730472,0.001587122150147782,0.0,0.0,0.0005368068091776295
rhubarb,0.5664956866606463,0.0,0.5464509424436479,0.0,0.0,0.5683044638682324,0.0,0.0,0.0,0.0,0.5637751695007239,0.5514184579748395,0.0,0.0,0.19974605146057783
date,0.0004134854640683737,0.0,0.0,0.0004854884917735164,0.0,0.000432799402025884,0.0,0.0,0.0,0.0,0.0004310464380922978,0.0,0.0,0.0,0.0001259156997114337
lychee,0.051541386053612324,0.0,0.0,0.054755034976657825,0.0,0.05283490022793771,0.0,0.0,0.0,0.0,0.052486942194694935,0.0,0.0,0.0,0.015115590246635915
pomegranate,0.0054082549415993796,0.0,0.005103729952630735,0.005408332012571459,0.0,0.005467297135450471,0.0,0.0,0.0,0.0,0.005321461039639483,0.0,0.0,0.0,0.0019077910772779662
litchi,0.04132520989849962,0.0,0.026777140216080544,0.03146784006030489,0.0,0.042233908863399255,0.0,0.0,0.0,0.0,0.04237337115685675,0.0,0.0,0.0,0.013155533585367219
allspice,0.0026992887828954063,0.0,0.002530735524622137,0.0,0.0,0.0027467069691925086,0.0,0.0,0.0,0.0,0.0026518363975975134,0.0,0.0,0.0,0.0007591834053076832
apple,0.003972849217231425,0.0,0.0034301249714878534,0.0048418403159174875,0.0,0.004222239858475449,0.0,0.0,0.0,0.0,0.00418285454921488,0.0,0.0,0.0,0.00147499349373765
pepper,0.0016519576823211097,0.0,0.001507398233529559,0.0,0.0,0.0016588851627178716,0.0,0.0,0.0,0.0,0.0016207871504756994,0.0016031534574536986,0.0,0.0,0.000574441549035567
watermelon,0.0722463894776887,0.0,0.06814450769294401,0.07106492418638226,0.0,0.07244092102435698,0.0,0.0,0.0,0.0,0.07163940500342708,0.0,0.0,0.0,0.02539543909891422
cherry,0.04933639391439716,0.0,0.04580829566293242,0.05059547370725257,0.0,0.05025290465527639,0.0,0.05764241011358158,0.0,0.0,0.05022190457019102,0.0,0.0,0.0,0.0217040987588308
parsnip,0.018482996594315067,0.0,0.017552946194684383,0.0,0.0,0.01841525259489301,0.0,0.0,0.0,0.0,0.018234697283596266,0.01908185914167074,0.0,0.0,0.006554839414939962
orange,0.006712730705137422,0.0,0.006088854910649896,0.007089987533767252,0.0,0.0068198693871928786,0.0,0.008038230214413395,0.0,0.0,0.00675989483442682,0.0,0.0,0.0,0.002964969113256262
yoghurt,0.013553339395904954,0.0,0.0,0.0,0.0,0.0140164796397265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019692727882593894
mangosteen,0.04265093538321743,0.0,0.019633158631236554,0.02442763687158376,0.0,0.04267856312377112,0.0,0.0,0.0,0.0,0.04188102320806144,0.0,0.0,0.0,0.012233665515562165
chilli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
melon,0.0241289518926528,0.0,0.021865772530059568,0.02759953827979972,0.0,0.02556411714565069,0.0,0.0,0.0,0.0,0.025399253775994023,0.0,0.0,0.0,0.008896973830296915
plantain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pear,0.014232144261711854,0.0,0.013003315500699155,0.013614749063385102,0.0,0.014731499876738318,0.0,0.0,0.0,0.0,0.014111508062944554,0.0,0.0,0.0,0.004978086911819927
doughnut,0.008151863083315215,0.0,0.0,0.0,0.0,0.008480986591926143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011880606910886684
nectarine,0.059447640742834686,0.0,0.05487225028776101,0.06503686096413842,0.0,0.06176113961028338,0.0,0.0,0.0,0.0,0.06080619098366869,0.0,0.0,0.0,0.02156600589919187
mango,0.07572441560261173,0.0,0.07023722072846775,0.07381545547808896,0.0,0.07612766239310247,0.0,0.0,0.0,0.0,0.0754680529210858,0.0,0.0,0.0,0.026526629080239766
huckleberry,0.0007448478726667516,0.0,0.0006242453727081211,0.0010879629406066959,0.0,0.000798881551297941,0.0,0.0,0.0,0.0,0.0008387072495016697,0.0,0.0,0.0,0.00029247464191294135
cookie,0.001398587657699899,0.0019053791127151942,0.0,0.0,0.0,0.0014475061002410877,0.0,0.0,0.0,0.0,0.0014686000501075492,0.0,0.0,0.0,0.00044429092291169495
blueberry,0.17025813489673128,0.0,0.1591637374458491,0.17337897223545054,0.0,0.1703918310061516,0.0,0.0,0.0,0.0,0.16856614235284295,0.0,0.0,0.0,0.06012562985264468
pineapple,0.07363320299262706,0.0,0.06691983775354315,0.06992944285024619,0.0,0.07372039051097518,0.0,0.0,0.0,0.0,0.07220855285357598,0.0,0.0,0.0,0.025457959068640536
honey,0.011149561383257914,0.0,0.0,0.0,0.0,0.011309824379855433,0.0,0.0,0.0,0.0,0.011237147580747092,0.0,0.0,0.0,0.0024068952388471743
beet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coconut,0.007477551438159669,0.0,0.007072339870244887,0.007924408406190384,0.0,0.007659148751369272,0.0,0.0,0.0,0.0,0.007562250368467582,0.0,0.0,0.0,0.002692549916745128
yogurt,0.04413951934165334,0.0,0.0,0.0,0.0,0.0444128116122303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006325166496705974
carrot,0.005258523093251581,0.0,0.00472882004407617,0.0,0.0,0.005418892453532231,0.0,0.0,0.0,0.0,0.0053704554654503255,0.004876824146073511,0.0,0.0,0.0018323939430274158
dessert,0.04635886086011333,0.0,0.0,0.0,0.0,0.04680638511962316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066546604271240355
saskatoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wine,0.009335596674587679,0.0,0.0,0.0,0.0,0.009489270087110285,0.0,0.01138845728849244,0.0,0.0,0.0,0.0,0.0,0.0,0.0021580945750136003
cider,0.0011570725865542634,0.0,0.0,0.0,0.0,0.0011574636900874976,0.0,0.0013110109666707513,0.0,0.0,0.0,0.0,0.0,0.0,0.00025896766023660804
taro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grape,0.03166301045941516,0.0,0.029286387742921326,0.03302286945462263,0.04264980149104939,0.03230159953768452,0.0,0.0,0.0,0.0,0.03212715800378531,0.0,0.0,0.0,0.014360773334962737
tomato,0.012359963173367353,0.0,0.01171820215009852,0.0,0.0,0.012324690309662269,0.0,0.0,0.0,0.0,0.012099454320830596,0.012848780447669314,0.0,0.0,0.004382220742973432
vegetable,0.004279037201363743,0.0,0.003990852684025801,0.0,0.0,0.0043944968599605744,0.0,0.0,0.0,0.0,0.00437566525967469,0.004142341139310208,0.0,0.0,0.0015130280817382154
condiment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tangerine,0.08222727291286436,0.0,0.07421013032673497,0.08334177551955627,0.0,0.09041409839956228,0.0,0.0,0.0,0.0,0.08311881000343077,0.0,0.0,0.0,0.02952229194015347
onion,0.0008939848779780233,0.0,0.0008352289434649435,0.0,0.0,0.000889801891926495,0.0,0.0,0.0,0.0,0.0008666963170782165,0.0009180642115630053,0.0,0.0,0.000314555445857906
puree,0.04199168841383364,0.0,0.0,0.0,0.0,0.041050245412830505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005931566701904581
raspberry,0.26002272392535725,0.2562470213781566,0.240821263297986,0.2567204501988945,0.0,0.2620138134773379,0.0,0.0,0.0,0.0,0.2550283983975628,0.0,0.0,0.0,0.10934669076252106
cake,0.016949988675390895,0.0,0.0,0.0,0.0,0.017233842134150714,0.0,0.0,0.0,0.0,0.01726721527031596,0.0,0.0,0.0,0.0036750747199898264
peach,0.08142597092403493,0.0,0.07355943802775242,0.0873517020357507,0.10975870574762595,0.08312837284199168,0.0,0.0,0.0,0.0,0.08197910870573874,0.0,0.0,0.0,0.036943092734492464
grapefruit,0.006574232642966835,0.0,0.006054730493979744,0.006153079160515158,0.0,0.006535956209278637,0.0,0.0,0.0,0.0,0.006375459024952749,0.0,0.0,0.0,0.002263818395120937
sugar,0.002860009214833911,0.0,0.0,0.0,0.0,0.0029265240725559576,0.0,0.0033682787413797837,0.0,0.0,0.0,0.0,0.004141078219013026,0.0,0.0009497064462701913
corn,0.0004499075683677166,0.0,0.000429476903662342,0.0005088354523340597,0.0,0.00046172614098661955,0.0,0.0005276473592162767,0.0,0.0,0.00046587604992660565,0.0,0.0,0.0,0.00020310496246383
apricot,0.04974783599941502,0.0,0.04622921527596091,0.052040315407675855,0.0,0.05065455650327862,0.0,0.0,0.0,0.0,0.04974582048794086,0.0,0.0,0.0,0.01774412454816223
biscuit,0.024376984601751073,0.0,0.0,0.0,0.0,0.024981682834596022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003525619102596221
hackberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
squash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candy,0.003967173017744481,0.0,0.0,0.0,0.0,0.004117486288953969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005774756647641751
sultana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muscat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tabasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
veg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spinach,0.016622671969403154,0.0,0.01615091376186149,0.0,0.0,0.016766876868801094,0.0,0.0,0.0,0.0,0.016632701075184303,0.02239873206805419,0.0,0.0,0.006326563981664588
scallop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,0.0029172630757080165,0.0,0.002889310463114481,0.0,0.0,0.002939825214410616,0.0,0.0,0.0,0.0,0.002974347644606942,0.004012912165793687,0.0033251673914588926,0.0,0.0013613447110780456
