,food,communication,plant,fruit,no-cat,all,mammal,relation,bird,tool,object,vegetable,measure,animal,mean
acorn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cottonseed,0.0,0.0,0.0,0.010406447420546245,0.0,0.011470414155361078,0.0,0.0,0.0,0.0,0.011212820862428748,0.0,0.0,0.0,0.0023635487455954335
spike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linseed,0.0,0.0,0.0,0.009274690598716965,0.0,0.010565992439985744,0.0,0.0,0.0,0.0,0.010229708045373662,0.0,0.0,0.0,0.0021478850774340266
flavor,0.0,0.0,0.0,0.0,0.027123552555013957,0.020394056307841916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033941149187754196
gift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
desert,0.0,0.0,0.0,0.0,0.0,0.0005444494811512177,0.0,0.0,0.0,0.0,0.0005562960590517396,0.0,0.0,0.0,7.862468144306837e-05
fry,0.0,0.0,0.0,0.0,0.0,0.000537677266287999,0.0,0.0,0.0,0.0,0.0005221446771396606,0.0,0.0,0.0,7.570156738768997e-05
peeler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
