,food,communication,plant,fruit,no-cat,all,mammal,relation,bird,tool,object,vegetable,measure,animal,mean
flavoring,0.02535274125018081,0.0,0.0,0.0,0.0,0.02493820222832143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003592210248464446
lemonade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pea,0.00522916962251637,0.0,0.004632436635108236,0.0052866214377877176,0.0,0.005169887794905402,0.0,0.0,0.0,0.0,0.00507113032867877,0.004980232013891504,0.0,0.0,0.0021692484166348567
ketchup,0.010177242406524626,0.0,0.0,0.0,0.0,0.010355889304391639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014666522650654476
strawberry,0.020666500070903093,0.0,0.017738714892264227,0.030682495177657004,0.0,0.023133136637726166,0.0,0.0,0.0,0.0,0.023751217566058552,0.0,0.0,0.0,0.008283718881757789
beetroot,0.009950868631383917,0.0,0.00891139385309203,0.0,0.0,0.009958479930152232,0.0,0.0,0.0,0.0,0.00958423987503242,0.008851570623280978,0.0,0.0,0.0033754680652101124
spud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breadfruit,0.18947554499299726,0.0,0.1698520348338649,0.1999352364469067,0.0,0.188600590871387,0.0,0.0,0.0,0.0,0.1866276080439878,0.0,0.0,0.0,0.06674935822779597
plum,0.004226133489590103,0.0,0.003682142918105451,0.004180467888886614,0.0,0.0041883960725904905,0.0,0.0,0.0,0.0,0.004062955224823472,0.0,0.0,0.0,0.0014528639709997235
banana,0.1468413069341682,0.0,0.1318857775767963,0.16451747566836628,0.0,0.1470502192094683,0.0,0.0,0.0,0.0,0.14706486550077552,0.0,0.0,0.0,0.05266854606354105
tamarind,0.006393793196466206,0.0,0.005656848637217425,0.006411643685406519,0.0,0.006279392637262267,0.0,0.0,0.0,0.0,0.006094998288955249,0.0,0.0,0.0,0.0022026197460934044
pie,0.038053567567098934,0.0,0.0,0.0,0.0,0.03775779851752918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005415097577473437
berry,0.0017412998636785813,0.0,0.0,0.0022892203952481426,0.0,0.0018365197690384443,0.0,0.0,0.0,0.0,0.0018095618210326938,0.0,0.0,0.0,0.0005483287034998473
tater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
currant,0.007644294447085675,0.0,0.006937478373485709,0.007184996241155094,0.0,0.007412135224838371,0.0,0.0,0.0,0.0,0.007220177815643715,0.0,0.0,0.0,0.0025999344358720406
juice,0.005459697200759779,0.0,0.0,0.0,0.0,0.005390979929523274,0.0,0.005061884689172215,0.0,0.0,0.0,0.0,0.0,0.0,0.001136611558532519
raisin,0.004680195883896631,0.0,0.0,0.005286563627581943,0.0,0.004604558808226298,0.0,0.0,0.0,0.0,0.004518538896226399,0.0,0.0,0.0,0.0013635612297093764
pumpkin,0.00837911097853243,0.0,0.007413837054196523,0.0,0.0,0.008348610676099832,0.0,0.0,0.0,0.0,0.008110463068428081,0.007331023812895687,0.0,0.0,0.0028273603992966106
donut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
