relation,l,n_pairs
pos,0.0028867659324495146,1598
neg,0.0005385525728506559,1077
all,0.003658746511656666,886
some,0.001762101646661598,712
few,0.0005385525728506559,1077
evidence,0.002811811388904167,956
no_evidence_pos,0.0023765117919808893,312
no_evidence_neg,0.0005213244189443097,982
implied_category,0.0010854546139006348,14
typical_of_concept,0.007843462862338918,3
affording_activity,0.00513725902977255,4
afforded_usual,,2
afforded_unusual,0.002115067473497034,19
variability_limited,0.0011466749307090056,104
variability_open,0.0022080213495417954,76
variability_open_scalar,0.002167616063132611,95
rare,0.002413724857176649,18
unusual,0.0004921249527436597,75
impossible,0.00031820409711664485,265
creative,0.0010733738399843526,21
