,rel,strength,label,pairs,rel_names
0,1.3,0.001835490170977896,function-action,"('swim', 'seal')",implied_category
1,1.3,0.0028197820388643573,function-action,"('roll', 'hubcap')",implied_category
2,0.85,0.0,part,"('wings', 'pochard')",implied_category
3,0.8,0.040022040990968434,taste,"('juicy', 'fruit')",implied_category
4,1.35,0.000201496115594259,temperature,"('warm', 'vest')",implied_category
5,1.35,0.0,temperature,"('warm', 'pyjama')",implied_category
6,0.85,0.003899023429738888,part,"('wheels', 'stagecoach')",implied_category
7,1.3,0.009153992112029094,function-action,"('used_in_cooking', 'shrimp')",implied_category
8,0.8,0.0,taste,"('sweet', 'litchi')",implied_category
9,0.85,0.002235617644391026,part,"('wings', 'rooster')",implied_category
10,0.8,0.008901569796718065,taste,"('juicy', 'cantaloupe')",implied_category
11,0.85,0.009216940758939633,part,"('wheels', 'cab')",implied_category
12,0.95,0.0,shape,"('round', 'hubcap')",implied_category
13,1.0,0.0006605115525030022,color,"('green', 'oregano')",implied_category
14,1.3,0.008218875031693966,function-action,"('roll', 'wheelbarrow')",implied_category
15,1.35,0.008315336732898228,temperature,"('hot', 'campfire')",implied_category
16,1.3,0.0,function-action,"('swim', 'sturgeon')",implied_category
17,0.8,0.005176737457652023,taste,"('juicy', 'mulberry')",implied_category
18,0.85,0.0015566897937923767,part,"('wheels', 'tank')",implied_category
19,1.4,0.0,taxonomic,"('lay_eggs', 'linnet')",implied_category
20,0.85,0.0017169572660864333,part,"('wheels', 'caravan')",implied_category
21,1.35,0.0,temperature,"('hot', 'percolator')",implied_category
22,1.3,0.0009466464170791708,function-action,"('roll', 'sprocket')",implied_category
23,1.3,0.000537864778178022,function-action,"('roll', 'bottle')",implied_category
24,1.45,0.0018453449093542276,encyclopedic,"('dangerous', 'morphine')",implied_category
25,0.95,0.0,shape,"('round', 'bracelet')",implied_category
26,0.85,0.0,part,"('wheels', 'flatcar')",implied_category
27,0.85,0.00262205077410859,part,"('wheels', 'motorbike')",implied_category
28,0.85,0.0039516233182632695,part,"('wheels', 'jeep')",implied_category
29,0.85,0.0010918979826422175,part,"('wheels', 'taxicab')",implied_category
30,0.95,0.0003628778704536113,shape,"('round', 'beet')",implied_category
31,0.85,0.0036421160972779933,part,"('wheels', 'airplane')",implied_category
32,1.35,0.0012974930713999194,temperature,"('hot', 'enchiladas')",implied_category
33,1.4,0.0,taxonomic,"('lay_eggs', 'laridae')",implied_category
34,1.3,0.0,function-action,"('swim', 'barbet')",implied_category
35,1.3,0.0,function-action,"('swim', 'stickleback')",implied_category
36,1.4,0.0,taxonomic,"('lay_eggs', 'typhlopidae')",implied_category
37,0.95,0.0017228993353258794,shape,"('round', 'blueberry')",implied_category
38,1.4,0.0,taxonomic,"('lay_eggs', 'merganser')",implied_category
39,1.4,0.0,taxonomic,"('lay_eggs', 'tropicbird')",implied_category
40,0.95,0.0,shape,"('round', 'gourd')",implied_category
41,0.8,0.017068388183646175,taste,"('sweet', 'lychee')",implied_category
42,0.95,0.001621731472350292,shape,"('round', 'tart')",implied_category
43,1.4,0.0,taxonomic,"('lay_eggs', 'curlew')",implied_category
44,1.35,0.001984482686870418,temperature,"('warm', 'sun')",implied_category
45,1.35,0.008388771338624664,temperature,"('warm', 'flame')",implied_category
46,1.0,0.0267568187325472,color,"('green', 'asparagus')",implied_category
47,0.95,0.0002767017192780857,shape,"('round', 'basketball')",implied_category
48,0.95,0.0013530618333723494,shape,"('round', 'cookie')",implied_category
49,0.8,0.011779826034429087,taste,"('juicy', 'raspberry')",implied_category
50,1.3,0.0015893733147463792,function-action,"('fly', 'seagull')",implied_category
51,1.45,0.003081682840892077,encyclopedic,"('dangerous', 'pentobarbital')",implied_category
52,0.85,0.0007745877984591208,part,"('wings', 'cock')",implied_category
53,1.3,0.0,function-action,"('swim', 'hake')",implied_category
54,1.35,0.0017481162598384085,temperature,"('warm', 'sweater')",implied_category
55,1.0,0.004624503515537886,color,"('green', 'chive')",implied_category
56,1.3,0.0005238344066146126,function-action,"('fly', 'quail')",implied_category
57,0.95,0.002250006591332588,shape,"('round', 'pepperoni')",implied_category
58,1.3,0.0013849285710003357,function-action,"('used_in_cooking', 'tablespoon')",implied_category
59,1.3,0.01989048333274744,function-action,"('fly', 'plane')",implied_category
60,0.8,0.001111818307247109,taste,"('juicy', 'squash')",implied_category
61,1.45,0.0005826041309039383,encyclopedic,"('dangerous', 'malaria')",implied_category
62,0.8,0.00330339304727089,taste,"('sweet', 'nectarine')",implied_category
63,1.3,0.0,function-action,"('roll', 'wiffle')",implied_category
64,0.85,0.009327724952698513,part,"('wings', 'crow')",implied_category
65,1.3,0.0028660203812642133,function-action,"('used_in_cooking', 'celery')",implied_category
66,1.4,0.0,taxonomic,"('lay_eggs', 'creeper')",implied_category
67,1.45,0.00025013794971496254,encyclopedic,"('dangerous', 'hijacker')",implied_category
68,1.3,0.0027573557449500417,function-action,"('used_in_cooking', 'gravy')",implied_category
69,1.3,0.000206662882151864,function-action,"('swim', 'bear')",implied_category
70,1.4,0.0,taxonomic,"('lay_eggs', 'currawong')",implied_category
71,1.3,0.0,function-action,"('swim', 'haddock')",implied_category
72,1.45,0.0010896308507082051,encyclopedic,"('dangerous', 'mafioso')",implied_category
