relation,l,n_pairs
pos,0.0049275023896977865,1598
neg,0.0011672158180607926,1077
all,0.007728014607600567,886
some,0.0019954052601428946,712
few,0.0011672158180607926,1077
evidence,0.004967970235572232,956
no_evidence_pos,0.0041013919177653405,312
no_evidence_neg,0.0011861894210591641,982
implied_category,0.001825776895019439,14
typical_of_concept,0.01226068694043284,3
affording_activity,0.008771810997271711,4
afforded_usual,,2
afforded_unusual,0.010368720910279235,19
variability_limited,0.0013888577788702422,104
variability_open,0.0022080213495417954,76
variability_open_scalar,0.003880980554178363,95
rare,0.002525036352535871,18
unusual,0.0011013380759415494,75
impossible,0.0005856577822823041,265
creative,0.002146747679968705,21
