relation,p,n_pairs
pos,0.002755961127695207,1598
neg,0.0,1077
all,0.005081080134038147,886
some,0.0014621362492023087,712
few,0.0,1077
evidence,0.0035486837888706883,956
no_evidence_pos,0.001028314729570471,312
no_evidence_neg,0.0,982
implied_category,0.0004960102428131441,14
typical_of_concept,0.006041285496353435,3
affording_activity,0.009646594007147924,4
afforded_usual,0.07142857142857142,2
afforded_unusual,0.001262633407653044,19
variability_limited,0.0022920687859697446,104
variability_open,0.0003466776895728581,76
variability_open_scalar,0.0012710940513756806,95
rare,0.0,18
unusual,0.0,75
impossible,0.0,265
creative,0.0,21
