,context,n_concepts,mean_tfidf,mean_diff,evidence
0,species,8,0.07,0.06,u
1,keep,8,0.01,0.01,u
2,extinct,8,0.04,0.04,u
3,tested,8,0.01,0.01,u
4,birds,8,0.03,0.03,i
5,flies,8,0.01,0.01,u
6,recently,8,0.01,0,u
7,hit,8,0.01,0,u
8,bird,8,0.04,0.04,i
9,lives,8,0.01,0.01,u
10,blue,8,0.04,0.03,p
11,rare,8,0.01,0.01,u
12,by,8,0.01,0.01,u
13,fish,8,0.06,0.05,i
14,scale,8,0.01,0.01,u
15,spent,7,0.01,0.01,u
16,kills,7,0.01,0.01,u
17,feeding,7,0.03,0.03,u
18,number,7,0,0,u
19,act,7,0.01,0.01,u
20,blue,8,0.04,0.03,p
