,weapon,mammal,animal,no-cat,tool,medication,criminal,reptile,all,communication,relation,cutlery,fish,object,food,dangerous,measure,vehicle,mean
bayonet,0.02439445929795053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021865123502866343,0.0,0.0,0.0,0.0,0.02199640524812761,0.0,0.0,0.0,0.0,0.003791999336052471
revolver,0.00720056764166765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006413147071646041,0.0,0.0,0.0,0.0,0.006363257639562583,0.0,0.0,0.0,0.0,0.0011098317973820154
doodlebug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fusil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
handgun,0.020846066739028547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01733828384534624,0.0,0.0,0.0,0.0,0.016950571753489643,0.0,0.0,0.0,0.0,0.0030630512409924684
knife,0.01755383747266305,0.0,0.0,0.0,0.01879943119934664,0.0,0.0,0.0,0.01796431172710714,0.0,0.0,0.015447809662165796,0.0,0.018268784248948018,0.0,0.0,0.0,0.0,0.00489078746167948
buckshot,0.019161075031489734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021801524019153615,0.0,0.0,0.0,0.0,0.02226456506474883,0.0,0.0,0.0,0.0,0.0035126202286328992
blade,0.007250285042688197,0.0,0.0,0.0,0.007401833588396464,0.0,0.0,0.0,0.007012807571962222,0.0,0.0,0.0,0.0,0.007258599390197094,0.0065730981038418105,0.0,0.0,0.0,0.0019720346498380992
shotgun,0.031161327447553074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027721640796111273,0.0,0.0,0.0,0.0,0.027860772439442124,0.0,0.0,0.0,0.0,0.004819096704617026
sword,0.01616188816707003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015521175995221887,0.0,0.0,0.0,0.0,0.015296832241129127,0.0,0.0,0.0,0.0,0.002609994244634503
weapon,0.016239280169759177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016314140007655627,0.0,0.0,0.0,0.0,0.01584422528799094,0.0,0.0,0.0,0.0,0.0026887580814114304
grapeshot,0.04080038584691614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039082224266012336,0.0,0.0,0.0,0.0,0.038264124977617636,0.0,0.0,0.0,0.0,0.00656370750503034
shaft,0.0003783083865682593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000339533807818839,0.00029270807575295987,0.0,0.0,0.0,0.000349572095614696,0.0,0.0,0.0,0.0,7.55623536530419e-05
pistol,0.010241384807949734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00902678082517053,0.0,0.0,0.0,0.0,0.00920766307817479,0.0,0.0,0.0,0.0,0.0015819904839608362
firearm,0.004275112262175977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038846162467587207,0.0,0.0,0.0,0.0,0.003864042509666248,0.0,0.0,0.0,0.0,0.0006679872788111637
scimitar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blunderbuss,0.06416415962596853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07620056179567483,0.0,0.0,0.0,0.0,0.07869579832658005,0.0,0.0,0.0,0.0,0.0121700288749013
arrow,0.012481617251433324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01289172094222811,0.01108485476767669,0.0,0.0,0.0,0.013305703733185523,0.0,0.0,0.0,0.0,0.002764660927473536
gun,0.011437895475887236,0.0,0.0,0.0,0.0,0.0,0.01741115434588382,0.0,0.010976994209002491,0.0,0.0,0.0,0.0,0.010976145178991663,0.0,0.0,0.0,0.0,0.002822343844986956
bow,0.0015926499295778735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014464603622207266,0.0013258430114174605,0.0,0.0,0.0,0.001428507747082951,0.0,0.0,0.0,0.0,0.000321858947238834
missile,0.003350120362828563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029578004422515015,0.0,0.0,0.0,0.0,0.002791637132341794,0.0,0.0,0.0,0.003591023176199741,0.0007050322840900889
rod,0.0012189396627183082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011964026444275446,0.0,0.0,0.0,0.0,0.0011566728599125202,0.0,0.0,0.0019026798977622654,0.0,0.0003041497258233688
flack,0.002535155371286676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002963458358731833,0.0035773977178926893,0.0,0.0,0.0,0.002740458400282096,0.0,0.0,0.0,0.0,0.0006564705471218496
tuck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arm,0.0032508685187497533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033362917390404555,0.0,0.0,0.0,0.0,0.0032307640616295406,0.0,0.0,0.0,0.0,0.0005454402399677639
coyote,0.0,0.002422251053511438,0.0024131240860059376,0.0,0.0,0.0,0.0037666960083215595,0.0,0.0022445693160605415,0.0,0.0,0.0,0.0,0.0022754862718682273,0.0,0.0,0.0,0.0,0.0007290070408759835
killer,0.0,0.012079075852772883,0.01118867235374684,0.0,0.0,0.0,0.0,0.0,0.013885127269988414,0.0,0.0,0.0,0.0,0.014036807447625303,0.0,0.0,0.0,0.0,0.002843871273562969
hack,0.0,0.0028407896448558964,0.003234039738638434,0.0,0.0037485589536325643,0.0,0.0,0.0,0.003349817926972203,0.0,0.0,0.0,0.0,0.003458507125122701,0.0,0.0,0.0,0.003210055787299119,0.0011023205098067176
hippopotamus,0.0,0.00711479064799474,0.007891272839295128,0.0,0.0,0.0,0.0,0.0,0.006076794399362801,0.0,0.0,0.0,0.0,0.005870684977985468,0.0,0.0,0.0,0.0,0.001497419048035452
tiger,0.0,0.010697946853554236,0.011738495565043484,0.0,0.0,0.0,0.0,0.0,0.011467492391070463,0.0,0.0,0.0,0.0,0.011718564775188121,0.0,0.0,0.0,0.0,0.0025345833102697946
langur,0.0,0.0037502583393758493,0.003394428796383874,0.0,0.0,0.0,0.0,0.0,0.003276325301025433,0.0,0.0,0.0,0.0,0.0028225057347283926,0.0,0.0,0.0,0.0,0.0007357510095285305
goat,0.0,0.00618995081497522,0.005719192003431929,0.0,0.0,0.0,0.0,0.0,0.005186989683940613,0.0,0.0,0.0,0.0,0.004999895464115046,0.0,0.0,0.0,0.0,0.0012275571092479336
jack,0.0,0.004246096936176997,0.0039049485232590013,0.005257127835827108,0.004262673513116568,0.0,0.0,0.0,0.003972042242346417,0.0,0.004392653557576223,0.0,0.005154016954362318,0.003786141186484968,0.004920584505279539,0.0,0.005084945520148204,0.0,0.002498957265254297
rabbit,0.0,0.003108269548601101,0.002927777797499216,0.0,0.0,0.0,0.0,0.0,0.002887796128858487,0.0,0.002862423460877097,0.0,0.0,0.002761837789117193,0.0028226153695051176,0.0,0.0,0.0,0.0009650400052476784
scorpion,0.0,0.0,0.011241731064384758,0.0,0.0,0.0,0.0,0.0,0.01122249440424238,0.0,0.0,0.0,0.0,0.010585187278107403,0.0,0.0,0.0,0.0,0.0018360784859296968
snake,0.0,0.0,0.009920409002606987,0.0,0.0,0.0,0.0,0.010913652964171256,0.009087728929828691,0.0,0.0,0.0,0.0,0.008902701525205064,0.0,0.0,0.0,0.0,0.002156916245656222
alligator,0.0,0.0,0.0042239100243951465,0.0,0.0,0.0,0.0,0.005165390331473508,0.0038541239742614164,0.0,0.003562677916835673,0.0,0.0,0.0038673352816908004,0.0,0.0,0.0,0.0,0.0011485243071475857
torpedo,0.0,0.0,0.000730335026983787,0.0,0.0,0.0,0.0015559726240257997,0.0,0.0009463925998498953,0.0008912759893275952,0.00089019377215699,0.0,0.0011796461932960785,0.0009163775074741017,0.0009929981146527996,0.0,0.0,0.0,0.0004501773237648359
beetle,0.0,0.0,0.00015942035713409296,0.0,0.00015228739079815648,0.0,0.0,0.0,0.00010771969945342965,0.0,0.0,0.0,0.0,0.00010796825020300227,0.0,0.0,0.0,0.0,2.9299760977148962e-05
hornbill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turtle,0.0,0.0,0.0012116846109865057,0.0,0.0,0.0,0.0,0.0016150586536783514,0.0009550556262299432,0.0,0.0,0.0,0.0,0.0009486722561388227,0.0,0.0,0.0,0.0,0.00026280395261297904
neurotoxin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saxitoxin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison,0.0,0.0,0.0,0.012587996091577446,0.0,0.0,0.0,0.0,0.011175725564286046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013202067586590828
venom,0.0,0.0,0.0,0.006544551928079026,0.0,0.0,0.0,0.0,0.006239566292749543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007102287900460316
