,animal,fruit,plant,round,measure,relation,object,bird,food,all,mean
world,0.0005019400051811362,0.0,0.0,0.0,0.0,0.0,0.000484688572009311,0.0,0.0,0.0005068747385321869,0.0001493503315722634
pen,0.0005169416002276003,0.0,0.0,0.0,0.0,0.0,0.0005547030621871557,0.0005169416002276003,0.0,0.0005683459243371599,0.0002156932186979516
chicken,0.0020899066418315496,0.0,0.0,0.0,0.0,0.0,0.0025248356936335044,0.0020102153064771597,0.0026370647063379314,0.002792055737917007,0.0012054078086197154
lemon,0.0,0.06869655854044317,0.09186398300627857,0.0,0.0,0.0,0.06910319608092907,0.0,0.09332786491047455,0.07853881441530756,0.0401530416953433
fruit,0.0,0.110836255662298,0.0,0.0,0.0,0.0,0.10757422728095309,0.0,0.0,0.11687887617913156,0.03352893591223827
berry,0.0,0.0046817558300653195,0.0,0.0,0.0,0.0,0.0047307762373293505,0.0,0.005700000933319856,0.004942654304828543,0.0020055187305543067
gourd,0.0,0.003479642018090951,0.0042180302852031495,0.0,0.0,0.0,0.00336468494330669,0.0,0.0,0.0037809070278012097,0.0014843264274402
pecan,0.0,0.039998553562556376,0.04701768500292459,0.0,0.0,0.03620286639757641,0.03961890399490111,0.0,0.0,0.041405601191959754,0.020424361014991826
peanut,0.0,0.0018703742122380225,0.0027866991899468184,0.0,0.0,0.0,0.0021797234966733484,0.0,0.0,0.002559842568817185,0.0009396639467675373
apple,0.0,0.003897515745712522,0.005190784681371787,0.0,0.0,0.0,0.003928671329556256,0.0,0.0047312779168792295,0.004155650855047231,0.002190390052856703
watermelon,0.0,0.015400749398006402,0.01889870799191059,0.0,0.0,0.0,0.014888517451264264,0.0,0.01925653536345041,0.016457055767265954,0.008490156597189763
cherry,0.0,0.006593842208895323,0.008210387880494064,0.0,0.0,0.005678007538749238,0.0063190769781302164,0.0,0.006948938108195745,0.006542713803685023,0.00402929665181496
orange,0.0,0.027887925774058336,0.035812445446538395,0.0,0.0,0.028223047901006063,0.028751400935921795,0.0,0.03437208064541648,0.030652814935800653,0.018569971563874174
melon,0.0,0.017774464303347903,0.022363923783290704,0.0,0.0,0.0,0.018070473255456458,0.0,0.021891654768706078,0.01930295697806001,0.009940347308886117
cantaloupe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blueberry,0.0,0.007023093723271893,0.008524356760782252,0.0,0.0,0.0,0.005903780060721535,0.0,0.00805403020711426,0.006467705366523008,0.003597296611841295
pineapple,0.0,0.03968374825803986,0.04725358121822684,0.0,0.0,0.0,0.037089558113699655,0.0,0.0504844419318919,0.04151808265667934,0.02160294121785376
coconut,0.0,0.014355487160104395,0.016531512026984087,0.0,0.0,0.0,0.013254072388709811,0.0,0.017162092706981984,0.015047381558104582,0.0076350545840884855
nutlet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sapodilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nut,0.0,0.006700527945109815,0.0,0.0,0.005530390366296782,0.0,0.005671120460662257,0.0,0.0,0.005960862203302567,0.0023862900975371417
bean,0.0,0.0015113713162950462,0.0019607452685323347,0.0,0.0,0.0,0.0015266597597906862,0.0,0.001995040355222067,0.0016612329022102656,0.0008655049602050398
almond,0.0,0.017381631413459036,0.017747475485137776,0.0,0.0,0.0,0.023368873770850365,0.0,0.0,0.023282839360518094,0.008178082002996528
cabbage,0.0,0.0,0.003237453138971706,0.0,0.002798551276322783,0.0,0.0027546948388612615,0.0,0.003814164059515769,0.003197768486630614,0.0015802631800302135
box,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pumpkin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheese,0.0,0.0,0.0016085191225275444,0.0,0.0,0.0,0.0012902054334354696,0.0,0.001990044802138492,0.0015688422245786094,0.0006457611582680116
beet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato,0.0,0.0,0.01680257157168622,0.0,0.0,0.0,0.012852922562288446,0.0,0.021153793130224974,0.01634283424948015,0.006715212151367979
vegetable,0.0,0.0,0.014771870631187057,0.0,0.0,0.0,0.011920987383276684,0.0,0.015107937802778807,0.012940833302056889,0.005474162911929944
onion,0.0,0.0,0.003619195855815992,0.0,0.0,0.0,0.002957114994866365,0.0,0.0045993849317828754,0.0036044487272064566,0.0014780144509671687
potato,0.0,0.0,0.0040233012989479644,0.0,0.0,0.0,0.0034391588529755477,0.0,0.00527080177995155,0.004144220853728606,0.0016877482785603668
cube,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
popcorn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frisbee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enchiladas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bucket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dough,0.0,0.0,0.0,0.0,0.0011829788549020837,0.0,0.0,0.0,0.0020474706912373066,0.001660401569742626,0.0004890851115882017
can,0.0,0.0,0.0,0.0,0.0014544526866527672,0.0,0.0015071002538543487,0.0,0.0,0.0015923173245458069,0.0004553870265052923
bowl,0.0,0.0,0.0,0.0,0.042889784323069086,0.0,0.04386604265653518,0.0,0.0,0.04455793825882273,0.0131313765238427
spoon,0.0,0.0,0.0,0.0,0.0019463808621629493,0.0,0.0018607128993774961,0.0,0.0,0.0020128439013248566,0.0005819937662865302
lolly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bread,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottle,0.0,0.0,0.0,0.0,0.0032720423991981153,0.0,0.00292061380715931,0.0,0.0,0.0029686515301235693,0.0009161307736480995
drumstick,0.0,0.0,0.0,0.0,0.03436817799163429,0.0,0.029351803745639504,0.0,0.0,0.029449892268759305,0.00931698740060331
marble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate,0.0,0.0,0.0,0.0,0.0,0.0031001430692591753,0.0,0.0,0.00444085950559994,0.003691087308621999,0.0011232089883481114
circle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soup,0.0,0.0,0.0,0.0,0.0,0.0006022574440426972,0.0,0.0,0.0006482023849647792,0.0006818836900902733,0.00019323435190977495
room,0.0,0.0,0.0,0.0,0.0,0.0005005636548874385,0.0004582782299185485,0.0,0.0,0.00046313554017953244,0.00014219774249855195
egg,0.0,0.0,0.0,0.0,0.0,0.0,0.0004103367676455546,0.0,0.0005516383242028848,0.00045508699593482246,0.00014170620877832619
disk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
banjo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
button,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
table,0.0,0.0,0.0,0.0,0.0,0.0,0.0009038528757509671,0.0,0.0010123965535094853,0.000934073984542358,0.00028503234138028104
tart,0.0,0.0,0.0,0.0,0.0,0.0,0.010456069282708992,0.0,0.014886164937012608,0.011466227066564492,0.0036808461286286093
basketball,0.0,0.0,0.0,0.0,0.0,0.0,0.00012797777253981205,0.0,0.0,0.0001323304363939303,2.6030820893374238e-05
baseball,0.0,0.0,0.0,0.0,0.0,0.0,0.00012799715225024055,0.0,0.0,0.0001352792978757486,2.6327645012598912e-05
globe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cookie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bracelet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shape,0.0,0.0,0.0,0.0,0.0,0.0,0.0008396331202502563,0.0,0.0,0.0008687172341957594,0.00017083503544460156
butter,0.0,0.0,0.0,0.0,0.0,0.0,0.0004154535957708138,0.0,0.0006939844856076449,0.0005134363391602639,0.00016228744205387227
sphere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cake,0.0,0.0,0.0,0.0,0.0,0.0,0.002109064264362273,0.0,0.002831869959513758,0.00239006710442437,0.0007331001328300401
plunger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hubcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0008217794313253989,0.0,0.0,0.0008416637108115466,0.00016634431421369455
ball,0.0,0.0,0.0,0.0,0.0,0.0,0.0003009235278667924,0.0,0.0,0.000313360495264451,6.142840231312434e-05
ashtray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
planet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dresser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
casserole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0015540196349021745,0.0,0.0,0.0015826693572582498,0.00031366889921604247
fondant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pizza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pastry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002072264279871886,0.0017431169071298574,0.00038153811870017437
vinaigrette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pasta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pilaf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pancake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marzipan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
