,vegetable,black,mammal,animal,fruit,bird,reptile,all,communication,relation,fish,object,food,plant,measure,mean
pea,0.02797416658191007,0.0,0.0,0.0,0.02266515000934437,0.0,0.0,0.01800999216156528,0.0,0.0,0.0,0.018180640323676115,0.01999100728294106,0.021602756519479144,0.0,0.008561580858594403
aubergine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truffle,0.11627307891278546,0.0,0.0,0.0,0.0,0.0,0.0,0.09558939087874425,0.0,0.0,0.0,0.09226054915988015,0.11033695619253982,0.0,0.0,0.027630665009596645
cucumber,0.012887732411104604,0.0,0.0,0.0,0.0,0.0,0.0,0.010368737239563861,0.0,0.0,0.0,0.009105614294131365,0.0112170107600652,0.013845518409480426,0.0,0.0038283075409563634
gherkin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beet,0.000991620889545148,0.0,0.0,0.0,0.0,0.0,0.0,0.0008747507293856842,0.0,0.0,0.0,0.0008768642765023245,0.0009631784043123082,0.0012021765691778963,0.0,0.0003272393912615574
tomato,0.001986470917167984,0.0,0.0,0.0,0.0,0.0,0.0,0.0011002523234948632,0.0,0.0,0.0,0.0010859354588491825,0.0016427157483290347,0.0020477101980011345,0.0,0.0005242056430561466
onion,0.006191287553719109,0.0,0.0,0.0,0.0,0.0,0.0,0.0034437464564085374,0.0,0.0,0.0,0.0033748522338051456,0.004676029576813714,0.005844525256446595,0.0,0.0015686960718128732
paridae,0.0,0.003212411040965441,0.0,0.0,0.0,0.0,0.0,0.0013703691623888797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003055186802236214
acaridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sky,0.0,0.014904366227801127,0.0,0.0,0.0,0.0,0.0,0.014169588727872148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019382636637115516
cloud,0.0,0.01831156225143854,0.0,0.0,0.0,0.0,0.0,0.013171190074272723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002098850155047418
coatis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rhagoletis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nightmare,0.0,0.010911534685613797,0.0,0.0,0.0,0.0,0.0,0.008929646746716965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013227454288220507
coal,0.0,0.009617301787092511,0.0,0.0,0.0,0.0,0.0,0.00784445732523887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011641172741554255
crassula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
echinocereus,0.0,0.018086762257904575,0.0,0.0,0.0,0.0,0.0,0.01997313945471069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025373267808410176
civet,0.0,0.0,0.003282943573982101,0.002892674730479849,0.0,0.0,0.0,0.002693069930137472,0.0,0.0,0.0,0.002742587427286587,0.0,0.0,0.0,0.0007740850441257339
monkey,0.0,0.0,0.03535609789211069,0.028192147960205718,0.0,0.0,0.0,0.027282023007878645,0.0,0.0,0.0,0.027010998787502172,0.0,0.0,0.0,0.00785608450984648
bat,0.0,0.0,0.01173383920327372,0.009607275554324819,0.0,0.0,0.0,0.009170087568033785,0.0,0.0,0.0,0.008984014265178131,0.0,0.0,0.0,0.0026330144393873637
skunk,0.0,0.0,0.018134415555431622,0.014137066826461932,0.0,0.0,0.0,0.01243319366555967,0.0,0.0,0.0,0.01271157668809182,0.0,0.0,0.0,0.00382775018236967
bear,0.0,0.0,0.07052281122666955,0.05322394989502409,0.0,0.0,0.0,0.05220780098198055,0.0,0.0,0.0,0.050688007805869115,0.0,0.0,0.0,0.015109504660636219
pig,0.0,0.0,0.011260785631884103,0.009432489934711595,0.0,0.0,0.0,0.009590878544891499,0.0,0.0,0.0,0.009502255341187388,0.0,0.0,0.0,0.0026524272968449724
cat,0.0,0.0,0.1603682057676068,0.13209649453917177,0.0,0.0,0.0,0.13271520743440027,0.0,0.0,0.0,0.1299104170665476,0.0,0.0,0.0,0.037006021653848434
weasel,0.0,0.0,0.0027311528132441865,0.0023030219202252056,0.0,0.0,0.0,0.0018275705094610234,0.0,0.0,0.0,0.0018660986091765725,0.0,0.0,0.0,0.0005818562568071326
human,0.0,0.0,0.0029083486384625158,0.0023111069462787848,0.0,0.0,0.0,0.0023755246501643425,0.0,0.0,0.0,0.0023124470535030297,0.0,0.0,0.0,0.0006604951525605781
cow,0.0,0.0,0.014192197656427093,0.012018937174203789,0.0,0.0,0.0,0.013260377276279206,0.0,0.0,0.0,0.012851139943722098,0.0,0.0,0.0,0.003488176803375479
sheep,0.0,0.0,0.050320914199727285,0.0396096126076367,0.0,0.0,0.0,0.041574943301410844,0.0,0.0,0.0,0.04020367648253205,0.0,0.0,0.0,0.011447276439420458
rat,0.0,0.0,0.03817540021410953,0.029782140395153034,0.0,0.0,0.0,0.027691699891541473,0.0,0.0,0.0,0.027173377690310974,0.0,0.0,0.0,0.008188174546074335
zebra,0.0,0.0,0.012463918798964971,0.00988374559316736,0.0,0.0,0.0,0.008999502364561355,0.0,0.0,0.0,0.00897528083105239,0.0,0.0,0.0,0.0026881631725164047
opossum,0.0,0.0,0.010824407158979891,0.009157063116336227,0.0,0.0,0.0,0.007809005317119733,0.0,0.0,0.0,0.0076532553532901,0.0,0.0,0.0,0.00236291539638173
gorilla,0.0,0.0,0.0034745451240211543,0.0028585719715675095,0.0,0.0,0.0,0.002509130774769182,0.0,0.0,0.0,0.0024950313349365707,0.0,0.0,0.0,0.0007558186136862944
raccoon,0.0,0.0,0.0159338207802127,0.01292726524872086,0.0,0.0,0.0,0.011644333600021999,0.0,0.012794134729557387,0.0,0.011512852631024688,0.0,0.0,0.0,0.004320827132635843
potoroo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leopard,0.0,0.0,0.021620448294940503,0.018223076220627316,0.0,0.0,0.0,0.016591517836976006,0.0,0.018337377804368553,0.0,0.016403171116350403,0.0,0.0,0.0,0.006078372751550851
rabbit,0.0,0.0,0.015881627481873647,0.012957186198089351,0.0,0.0,0.0,0.012348524826804803,0.0,0.01306521693703046,0.0,0.012226900684023526,0.011664194556288738,0.0,0.0,0.005209576712274035
dog,0.0,0.0,0.053988601904410266,0.04596498239161238,0.0,0.0,0.0,0.045250851377260155,0.0,0.0,0.0,0.04428329045717747,0.04424812697023795,0.0,0.0,0.015582390206713214
rhino,0.0,0.0,0.039533180066045476,0.032469250181490064,0.0,0.0,0.0,0.030723329223979936,0.0,0.0,0.0,0.029825575717805513,0.0,0.0,0.0,0.008836755679288067
fox,0.0,0.0,0.008034801602772522,0.007281276151029268,0.0,0.0,0.0,0.007924028174225632,0.0,0.008301689380161986,0.0,0.007711759196505263,0.0,0.0,0.0,0.0026169036336463115
