context,evidence_type,categories
tom, ,communication no-cat measure
surfing, ,communication no-cat
string, ,communication no-cat mammal
fly, ,communication no-cat mammal all measure bird food animal vehicle fish relation object
shaped, ,communication no-cat mammal measure
flew, ,communication no-cat mammal all measure bird food animal vehicle fish relation object
novel, ,communication no-cat
dragon, ,communication no-cat measure
tournament, ,communication no-cat measure food relation
like, ,communication no-cat mammal measure
played, ,communication no-cat mammal measure
flown, ,communication no-cat mammal all measure food vehicle fish relation object
craft, ,communication no-cat mammal measure vehicle fish relation
shape, ,communication no-cat mammal measure
international, ,communication no-cat mammal measure
nine, ,communication no-cat fish relation
oldest, ,communication measure mammal
sky, ,communication no-cat food fish relation
meter, ,communication no-cat
senior, ,communication no-cat measure relation
sport, ,communication no-cat mammal measure relation
attached, ,communication no-cat mammal measure vehicle
course, ,communication no-cat food relation
flies, ,communication no-cat mammal all measure bird food animal vehicle fish relation object
got, ,communication no-cat mammal measure
book, ,communication no-cat mammal
select, ,communication no-cat mammal
nick, ,communication no-cat mammal measure
watch, ,communication no-cat mammal measure bird fish
included, ,communication no-cat mammal measure vehicle relation
include, ,communication no-cat mammal measure
skiing, ,communication no-cat measure relation
popular, ,communication no-cat mammal measure
bob, ,communication no-cat mammal measure
started, ,communication no-cat mammal measure food fish
life, ,communication no-cat mammal measure
handle, ,communication no-cat mammal food relation
wings, ,communication no-cat all measure bird food animal vehicle relation object
considered, ,communication no-cat mammal measure
perfectly, ,communication no-cat mammal measure
store, ,communication no-cat mammal measure
thought, ,communication no-cat mammal measure
style, ,communication no-cat mammal
fan, ,communication no-cat mammal measure relation
ann, ,communication no-cat mammal measure
luck, ,communication no-cat mammal measure
release, ,communication no-cat mammal measure food fish
bicycle, ,communication no-cat mammal food
leaving, ,communication no-cat mammal measure fish relation
purple, ,communication no-cat mammal measure
field, ,communication no-cat mammal measure fish relation
feel, ,communication no-cat mammal fish
uses, ,communication no-cat mammal relation
factory, ,communication no-cat mammal measure
dog, ,communication no-cat mammal measure
iii, ,communication relation
wonderful, ,communication no-cat mammal measure
type, ,communication no-cat mammal measure relation
scale, ,communication no-cat mammal measure fish
test, ,communication no-cat mammal measure relation
dance, ,communication no-cat
bright, ,communication no-cat mammal all animal relation
lined, ,communication no-cat mammal measure relation
man, ,communication no-cat measure
reinforced, ,communication no-cat measure
son, ,communication no-cat mammal measure
rough, ,communication no-cat mammal relation
focus, ,communication no-cat mammal measure relation
suggestion, ,communication no-cat measure
trump, ,communication no-cat
confirmed, ,communication no-cat mammal measure food fish
starts, ,communication no-cat mammal measure
stream, ,communication no-cat mammal relation
gathered, ,communication no-cat mammal measure
drawn, ,communication no-cat mammal measure fish
steering, ,communication no-cat mammal relation
stressed, ,communication no-cat mammal
cart, ,communication no-cat mammal measure
look, ,communication no-cat mammal measure
mind, ,communication no-cat mammal measure
longest, ,communication no-cat mammal measure fish relation
partner, ,communication no-cat mammal measure food
choosing, ,communication no-cat mammal measure
ideal, ,communication no-cat mammal measure relation
chosen, ,communication no-cat mammal measure vehicle
lift, ,communication no-cat measure fish relation
stuff, ,communication no-cat mammal measure relation
makes, ,communication no-cat mammal relation
anyone, ,communication no-cat mammal
holding, ,communication no-cat mammal measure fish
problem, ,communication no-cat mammal measure
plane, ,communication no-cat mammal all measure food vehicle fish relation
writes, ,communication no-cat mammal measure
modified, ,communication no-cat mammal measure food fish relation
model, ,communication no-cat mammal fish relation
newspaper, ,communication no-cat mammal measure relation
camera, ,communication no-cat mammal
represented, ,communication no-cat measure
walking, ,communication no-cat mammal measure
correctly, ,communication no-cat
bump, ,communication no-cat
successfully, ,communication no-cat mammal relation
flight, ,communication no-cat mammal all measure animal vehicle fish relation object
hovering, ,communication no-cat mammal all food vehicle fish object
theme, ,communication no-cat mammal
competitor, ,communication no-cat mammal relation
float, ,communication vehicle no-cat measure
holds, ,communication no-cat mammal measure fish
fixing, ,communication no-cat
displays, ,communication no-cat mammal
grandchildren, ,communication no-cat
design, ,communication no-cat mammal measure relation
connecting, ,communication no-cat measure
developed, ,communication no-cat mammal measure vehicle relation
automatically, ,communication no-cat mammal
thomas, ,communication no-cat mammal measure
phrase, ,communication no-cat mammal measure food fish
thing, ,communication no-cat mammal measure
tested, ,communication no-cat mammal measure
telling, ,communication no-cat mammal measure
touched, ,communication no-cat measure vehicle relation
age, ,communication no-cat mammal measure vehicle relation
surpassed, ,communication no-cat mammal fish
ranch, ,communication no-cat food relation
addition, ,communication no-cat mammal measure fish
approached, ,communication no-cat mammal measure food fish relation
steered, ,communication no-cat mammal relation
waved, ,communication no-cat mammal measure vehicle
marking, ,communication no-cat mammal measure fish
limited, ,communication no-cat mammal measure
word, ,communication no-cat mammal measure vehicle fish
traveled, ,communication no-cat measure relation
lands, ,communication no-cat vehicle relation
launch, ,communication no-cat mammal
bringing, ,communication no-cat mammal relation
completing, ,communication no-cat mammal vehicle
wrong, ,communication no-cat measure relation
smiling, ,communication no-cat mammal relation
sophisticated, ,communication no-cat mammal measure vehicle fish relation
square, ,communication no-cat mammal food
tourist, ,communication no-cat mammal measure relation
typical, ,communication no-cat mammal
opens, ,communication no-cat mammal measure
ken, ,communication no-cat mammal measure fish
knew, ,communication no-cat mammal
happened, ,communication no-cat mammal measure relation
blasted, ,communication no-cat measure food fish
guide, ,communication no-cat mammal food
fake, ,communication no-cat mammal measure
resembles, ,communication no-cat mammal measure fish
alongside, ,communication no-cat mammal measure food
remember, ,communication no-cat measure
photograph, ,communication no-cat measure relation
initiate, ,communication no-cat
function, ,communication no-cat mammal
ascent, ,communication no-cat measure
concentration, ,communication no-cat mammal
successful, ,communication no-cat mammal relation
transportation, ,communication no-cat mammal measure relation
marketplace, ,communication no-cat mammal food
represent, ,communication no-cat mammal measure
dedicated, ,communication no-cat mammal measure
updates, ,communication no-cat mammal
210, ,communication no-cat measure relation
performs, ,communication no-cat mammal relation
consists, ,communication no-cat mammal measure
instrument, ,communication no-cat mammal measure relation
participated, ,communication no-cat mammal measure relation
incoming, ,communication no-cat measure relation
161, ,communication no-cat
rows, ,communication no-cat
introduction, ,communication no-cat mammal relation
message, ,communication no-cat mammal measure vehicle
unlike, ,communication no-cat mammal measure vehicle fish
dick, ,communication no-cat mammal measure food relation
notoriously, ,communication no-cat measure food
lodged, ,communication no-cat mammal measure
erratic, ,communication no-cat food
preparation, ,communication no-cat
cameras, ,communication no-cat mammal measure vehicle relation
firing, ,communication no-cat mammal measure food relation
modern, ,communication no-cat measure relation
aboard, ,communication no-cat mammal measure fish relation
eyes, ,communication no-cat mammal measure bird
arrival, ,communication no-cat mammal measure relation
mystery, ,communication no-cat mammal measure fish relation
student, ,communication measure mammal
drawing, ,communication no-cat mammal measure vehicle
exciting, ,communication no-cat mammal measure relation
describe, ,communication no-cat measure
rounded, ,communication no-cat mammal measure
height, ,communication no-cat mammal measure
larger, ,communication no-cat mammal measure relation
heads, ,communication no-cat mammal measure
waits, ,communication no-cat measure
click, ,communication no-cat
shield, ,communication no-cat mammal measure fish
secured, ,communication no-cat measure
satellite, ,communication no-cat mammal
involve, ,communication no-cat mammal relation
physical, ,communication no-cat mammal measure
speed, ,communication no-cat mammal relation
danger, ,communication no-cat measure food
gut, ,communication no-cat
smooth, ,communication no-cat
spirits, ,communication no-cat
pole, ,communication no-cat mammal measure
spokesman, ,communication no-cat mammal measure
jump, ,communication no-cat mammal measure relation
safety, ,communication no-cat mammal measure relation
alexander, ,communication no-cat measure
remind, ,communication no-cat mammal measure
hero, ,communication no-cat mammal measure relation
stretching, ,communication no-cat
heading, ,communication no-cat mammal measure fish relation
somewhat, ,communication no-cat mammal food fish
hundred, ,communication no-cat fish measure
knocking, ,communication no-cat mammal measure
anywhere, ,communication no-cat mammal
manufactured, ,communication no-cat mammal measure vehicle relation
project, ,communication no-cat relation
progress, ,communication no-cat mammal measure
1956, ,communication no-cat relation
neck, ,communication no-cat relation
pointed, ,communication no-cat mammal measure
cockpit, ,communication no-cat measure food vehicle fish relation
equally, ,communication no-cat mammal relation
possibility, ,communication no-cat mammal measure
oct, ,communication no-cat mammal
quoted, ,communication no-cat measure relation
version, ,communication no-cat mammal fish relation
notable, ,communication no-cat mammal measure
visible, ,communication no-cat mammal measure relation
hole, ,communication no-cat measure
was, ,communication no-cat mammal measure relation
that, ,communication no-cat mammal measure fish
two, ,communication no-cat mammal measure food fish
behind, ,communication no-cat mammal measure
coated, ,communication no-cat mammal measure
event, ,communication no-cat mammal measure food
three, ,communication no-cat mammal measure fish
air, ,communication no-cat mammal all measure food vehicle fish relation object
box, ,communication no-cat mammal
each, ,communication no-cat mammal
little, ,communication no-cat mammal bird relation
song, ,communication no-cat mammal measure bird
13th, ,communication no-cat
become, ,communication no-cat mammal measure
see, ,communication no-cat mammal measure fish
possible, ,communication no-cat mammal measure fish
trying, ,communication no-cat mammal measure
read, ,communication no-cat mammal
six, ,communication no-cat mammal measure fish relation
hung, ,communication no-cat mammal measure food fish
part, ,communication no-cat mammal measure fish
avoid, ,communication no-cat mammal measure food
riding, ,communication no-cat mammal measure food fish relation
believed, ,communication no-cat measure fish relation
books, ,communication no-cat mammal
race, ,communication measure mammal
every, ,communication no-cat mammal food relation
list, ,communication no-cat mammal measure fish
child, ,communication no-cat mammal
died, ,communication no-cat measure bird food fish relation
peter, ,communication no-cat measure
break, ,communication no-cat mammal measure
betting, ,communication no-cat mammal fish
ten, ,communication no-cat mammal measure
member, ,communication no-cat measure
alex, ,communication no-cat mammal measure
electrical, ,communication no-cat mammal measure relation
colors, ,communication no-cat mammal food relation
combined, ,communication no-cat mammal measure
museum, ,communication no-cat mammal measure
350, ,communication no-cat mammal relation
sometimes, ,communication no-cat mammal measure
stand, ,communication no-cat measure
longtime, ,communication no-cat mammal
tremendous, ,communication no-cat
hand, ,communication no-cat mammal measure
patch, ,communication no-cat mammal measure
recently, ,communication no-cat mammal measure
seems, ,communication no-cat mammal
brilliant, ,communication no-cat measure
motor, ,communication no-cat mammal
specialty, ,communication no-cat mammal measure
gently, ,communication no-cat measure
speeds, ,communication no-cat relation
crazy, ,communication no-cat mammal measure
singles, ,communication
plunges, ,communication no-cat relation
sunk, ,communication no-cat
drew, ,communication no-cat mammal measure
cuts, ,communication no-cat mammal measure fish
demonstration, ,communication no-cat mammal measure vehicle relation
depending, ,communication no-cat
center, ,communication no-cat mammal measure vehicle relation
00, ,communication no-cat mammal fish
hook, ,communication no-cat mammal measure relation
presented, ,communication no-cat measure
needing, ,communication no-cat mammal
tourists, ,communication no-cat measure relation
sells, ,communication no-cat mammal
settled, ,communication no-cat mammal
shipped, ,communication no-cat mammal relation
moments, ,communication no-cat mammal measure food vehicle fish relation
instructions, ,communication no-cat mammal measure relation
worthy, ,communication no-cat mammal
20th, ,communication no-cat mammal measure vehicle
bit, ,communication no-cat mammal measure relation
michael, ,communication no-cat mammal measure
watches, ,communication no-cat mammal
1972, ,communication no-cat measure
stepping, ,communication no-cat mammal measure food relation
weekend, ,communication no-cat mammal food
streak, ,communication no-cat mammal relation
designs, ,communication no-cat mammal measure vehicle
19th, ,communication no-cat mammal measure
cool, ,communication no-cat mammal measure
offers, ,communication no-cat fish food
object, ,communication no-cat mammal measure relation
gary, ,communication no-cat mammal measure fish
magic, ,communication no-cat mammal measure
lets, ,communication no-cat mammal measure food
launching, ,communication no-cat mammal measure
equipped, ,communication no-cat mammal measure vehicle fish relation
phone, ,communication no-cat mammal food
films, ,communication no-cat mammal
fiberglass, ,communication no-cat
135, ,communication no-cat fish relation
styles, ,communication no-cat mammal
wear, ,communication no-cat mammal measure relation
counterparts, ,communication no-cat mammal relation
representing, ,communication no-cat mammal measure
slight, ,communication no-cat mammal
approximately, ,communication no-cat measure food relation
throughout, ,communication no-cat mammal measure fish
explain, ,communication no-cat mammal
text, ,communication no-cat mammal measure
ample, ,communication no-cat mammal measure
fairly, ,communication no-cat mammal
associated, ,communication no-cat mammal measure vehicle relation
locate, ,communication no-cat food relation
ranging, ,communication measure mammal
resembled, ,communication no-cat mammal
celebration, ,communication no-cat mammal measure
executive, ,communication no-cat mammal measure relation
repeated, ,communication no-cat mammal measure
stanley, ,communication no-cat fish
feeding, ,communication measure food
sponsored, ,communication no-cat mammal measure
fat, ,communication no-cat measure
drug, ,communication no-cat mammal measure
provides, ,communication no-cat mammal measure food
feed, ,communication measure relation
loved, ,communication no-cat mammal measure
promoted, ,communication no-cat mammal measure
shown, ,communication no-cat mammal measure relation
rode, ,communication no-cat mammal fish relation
17th, ,communication measure
closest, ,communication no-cat measure relation
visitors, ,communication no-cat mammal measure food
covers, ,communication no-cat measure
1990s, ,communication no-cat mammal measure fish
lake, ,communication no-cat mammal measure bird relation
1999, ,communication no-cat mammal fish
permit, ,communication no-cat food
brand, ,communication no-cat mammal measure relation
brass, ,communication measure
born, ,communication no-cat fish measure
impression, ,communication no-cat mammal measure food
wore, ,communication no-cat
inch, ,communication no-cat mammal
greatest, ,communication no-cat measure
handling, ,communication no-cat mammal measure relation
cigarette, ,communication measure mammal relation
cited, ,communication no-cat mammal measure
decides, ,communication no-cat mammal fish
positioned, ,communication no-cat mammal measure
assured, ,communication no-cat mammal
smuggled, ,communication no-cat food
amazing, ,communication no-cat mammal
sorts, ,communication no-cat mammal measure
fail, ,communication no-cat mammal food
letters, ,communication no-cat
subsequent, ,communication no-cat mammal measure relation
alive, ,communication no-cat mammal vehicle
struggles, ,communication no-cat
someday, ,communication no-cat mammal
kinds, ,communication no-cat mammal measure
different, ,communication no-cat mammal measure
passed, ,communication no-cat fish measure
train, ,communication no-cat mammal relation
pages, ,communication no-cat mammal
tucked, ,communication no-cat
1980s, ,communication no-cat mammal measure fish
traces, ,communication no-cat mammal measure
avenue, ,communication no-cat mammal measure
accept, ,communication no-cat mammal measure
designer, ,communication no-cat mammal
flying, ,communication no-cat mammal all measure bird food animal vehicle fish relation object
ryder, ,communication no-cat mammal
watson, ,communication no-cat measure
pga, ,communication food relation
par, ,communication no-cat measure food
tail, ,communication no-cat measure food vehicle relation
austin, ,communication no-cat relation
won, ,communication no-cat measure
leonard, ,communication mammal
who, ,communication no-cat mammal measure
shots, ,communication no-cat measure
tied, ,communication no-cat mammal
picks, ,communication no-cat mammal measure
shot, ,communication no-cat mammal measure food vehicle fish relation
tee, ,communication no-cat mammal measure
open, ,communication no-cat mammal bird food
masters, ,communication mammal measure food vehicle
bruce, ,communication no-cat mammal
banned, ,communication no-cat mammal measure
fred, ,communication no-cat
woods, ,communication no-cat food
contests, ,communication measure mammal
competition, ,communication no-cat mammal
love, ,communication no-cat mammal
golf, ,communication no-cat food
72, ,communication no-cat
ball, ,communication no-cat mammal measure food
curtis, ,communication relation
colonial, ,communication no-cat mammal measure
making, ,communication no-cat mammal measure fish
sail, ,communication no-cat measure
go, ,communication no-cat mammal
seller, ,communication no-cat mammal
benefit, ,communication no-cat mammal fish
record, ,communication no-cat mammal vehicle
music, ,communication no-cat mammal
tiger, ,communication no-cat mammal measure
ben, ,communication no-cat mammal measure food
tube, ,communication no-cat mammal relation
fighting, ,communication no-cat measure food
lovers, ,communication no-cat mammal
experiment, ,communication no-cat mammal measure
1983, ,communication no-cat mammal measure relation
experience, ,communication no-cat mammal relation
activities, ,communication no-cat mammal measure
lee, ,communication no-cat measure
shop, ,communication no-cat mammal measure
tubes, ,communication
classic, ,communication no-cat mammal measure bird
know, ,communication no-cat mammal
really, ,communication no-cat mammal
trailing, ,communication no-cat mammal measure food relation
photography, ,communication no-cat mammal
giant, ,communication mammal relation
boys, ,communication no-cat mammal measure food
makers, ,communication no-cat mammal relation
swing, ,communication no-cat mammal
injured, ,communication no-cat measure food fish relation
obviously, ,communication no-cat measure
balloon, ,communication no-cat mammal vehicle relation
master, ,communication no-cat mammal measure
augusta, ,communication mammal
ray, ,communication no-cat mammal measure
often, ,communication no-cat mammal measure
phil, ,communication no-cat measure
schwab, ,communication no-cat
penalized, ,communication no-cat
steve, ,communication no-cat mammal measure
culture, ,communication no-cat mammal measure
learn, ,communication mammal
songs, ,communication no-cat mammal
stewart, ,communication no-cat measure
knowledge, ,communication no-cat mammal measure
mentioned, ,communication mammal measure fish relation
winners, ,communication no-cat measure
participants, ,communication no-cat
competed, ,communication no-cat mammal relation
felt, ,communication no-cat mammal
dan, ,communication no-cat measure
everybody, ,communication no-cat mammal measure
spectacular, ,communication no-cat measure food
staged, ,communication no-cat mammal measure relation
glasses, ,communication mammal
