,context,n_concepts,mean_tfidf,mean_diff
0,the,25,0.15,0.06
1,use,25,0.04,0.02
2,be,24,0.04,0.03
3,point,23,0.04,0.03
4,right,21,0.04,0.02
5,with,20,0.08,0.05
6,long,20,0.04,0.02
7,third,20,0.02,0.01
8,an,19,0.05,0.03
9,before,19,0.02,0.01
10,wooden,5,0.12,0.07
11,wood,2,0.09,0.05
