,context,n_concepts,mean_tfidf,mean_diff,evidence
0,such,44,0.07,0.06,-
1,some,42,0.04,0.04,-
2,and,39,0.18,0.13,-
3,as,38,0.1,0.08,-
4,are,38,0.08,0.07,-
5,of,38,0.11,0.08,-
6,made,37,0.1,0.08,-
7,based,37,0.06,0.05,-
8,well,35,0.04,0.03,-
9,other,34,0.07,0.07,-
10,cooked,2,0.17,0.17,-
11,cooking,1,0.08,0.08,-
