,context,n_concepts,mean_tfidf,mean_diff,evidence
0,juice,39,0.19,0.18,yes
1,strawberry,37,0.08,0.07,yes
2,fruits,34,0.11,0.09,yes
3,apple,32,0.08,0.07,yes
4,green,30,0.05,0.04,no
5,include,30,0.02,0.02,no
6,fruit,29,0.16,0.12,no
7,lemon,29,0.1,0.09,yes
8,drink,29,0.04,0.04,no
10,red,28,0.05,0.04,no
