,context,n_concepts,mean_tfidf,mean_diff
0,that,43,0.04,0.03
1,about,42,0.02,0.01
2,where,41,0.01,0.01
3,only,41,0.02,0.01
4,for,41,0.03,0.02
5,down,40,0.01,0.01
6,had,40,0.01,0.01
7,year,40,0.02,0.02
8,first,39,0.02,0.01
9,he,39,0.02,0.02
10,green,1,0.06,0.03
