,context,n_concepts,mean_tfidf,mean_diff
0,be,60,0.03,0.02
1,up,59,0.04,0.03
2,they,57,0.03,0.02
3,day,57,0.04,0.04
4,from,56,0.04,0.02
5,15,55,0.02,0.02
6,had,54,0.03,0.03
7,10,54,0.02,0.02
8,the,53,0.13,0.08
9,20,52,0.02,0.02
10,flying,9,0.06,0.04
11,flew,5,0.06,0.05
12,flies,4,0.02,0.01
13,fly,4,0.02,0.01
14,flown,1,0.06,0.05
