,context,n_concepts,mean_tfidf,mean_diff
0,world,19,0.02,0.02
1,than,17,0.01,0.01
2,non,16,0.01,0.01
3,over,13,0.02,0.01
4,from,13,0.02,0.01
5,re,13,0.02,0.01
6,long,13,0.02,0.01
7,five,13,0.01,0.01
8,american,13,0.01,0.01
9,green,12,0.02,0.02
10,square,1,0.06,0.06
