,context,n_concepts,mean_tfidf,mean_diff
0,for,35,0.07,0.04
1,in,34,0.13,0.07
2,the,33,0.19,0.1
3,and,33,0.15,0.07
4,is,32,0.11,0.06
5,which,31,0.05,0.03
6,can,31,0.07,0.05
7,all,31,0.06,0.05
8,not,31,0.06,0.04
9,their,30,0.04,0.03
