,context,n_concepts,mean_tfidf,mean_diff
0,designed,21,0.04,0.03
1,are,20,0.03,0.02
2,type,19,0.06,0.04
3,fitted,19,0.06,0.04
4,an,18,0.05,0.03
5,with,18,0.07,0.04
6,have,18,0.04,0.03
7,or,17,0.08,0.04
8,back,17,0.05,0.04
9,top,17,0.05,0.03
10,roll,4,0.02,0.01
11,rolls,1,0.02,0.01
