,context,n_concepts,mean_tfidf,mean_diff
0,is,23,0.07,0.03
1,then,21,0.05,0.04
2,to,21,0.08,0.04
3,on,20,0.06,0.03
4,which,20,0.05,0.03
5,it,18,0.08,0.06
6,first,18,0.03,0.02
7,american,18,0.02,0.01
8,she,18,0.05,0.04
9,are,18,0.03,0.01
10,warm,2,0.05,0.03
