,context,n_concepts,mean_tfidf,mean_diff
0,was,55,0.07,0.05
1,with,54,0.06,0.05
2,up,53,0.05,0.04
3,company,52,0.04,0.04
4,into,52,0.04,0.03
5,from,51,0.04,0.03
6,were,51,0.03,0.02
7,full,51,0.04,0.03
8,time,51,0.05,0.04
9,his,51,0.06,0.05
10,wing,10,0.03,0.02
11,wings,7,0.02,0.01
