,context,n_concepts,mean_tfidf,mean_diff
0,with,40,0.04,0.02
1,meat,33,0.07,0.06
2,or,32,0.05,0.03
3,ingredients,32,0.06,0.04
4,beans,32,0.1,0.09
5,and,31,0.09,0.05
6,non,31,0.03,0.03
7,is,31,0.07,0.04
8,corn,31,0.07,0.06
9,egg,30,0.03,0.03
10,sweet,11,0.06,0.02
