,context,n_concepts,mean_tfidf,mean_diff
0,and,16,0.11,0.05
1,been,16,0.02,0.01
2,by,16,0.05,0.03
3,re,15,0.04,0.03
4,or,15,0.05,0.03
5,also,15,0.04,0.02
6,would,15,0.03,0.02
7,main,15,0.02,0.01
8,non,15,0.03,0.02
9,can,15,0.04,0.02
10,cold,3,0.07,0.04
