,context,n_concepts,mean_tfidf,mean_diff
0,10,46,0.02,0.02
1,one,45,0.04,0.03
2,had,44,0.02,0.01
3,with,44,0.04,0.03
4,to,44,0.05,0.04
5,where,43,0.02,0.01
6,in,43,0.05,0.03
7,they,43,0.03,0.02
8,year,42,0.04,0.03
9,high,42,0.03,0.03
10,egg,5,0.02,0.01
11,eggs,2,0.04,0.02
