,context,n_concepts,mean_tfidf,mean_diff
0,from,24,0.05,0.03
1,15,21,0.02,0.01
2,this,21,0.04,0.03
3,the,20,0.17,0.09
4,up,20,0.05,0.03
5,during,20,0.03,0.03
6,world,19,0.03,0.02
7,crew,19,0.07,0.06
8,its,19,0.03,0.01
9,part,19,0.02,0.01
10,wheel,2,0.06,0.02
11,wheels,2,0.05,0.02
