,context,n_concepts,mean_tfidf,mean_diff
0,flour,39,0.08,0.08
2,wheat,32,0.08,0.07
3,can,32,0.02,0.01
1,bread,32,0.08,0.07
4,butter,30,0.12,0.11
5,with,29,0.03,0.01
6,ingredients,29,0.05,0.03
7,than,28,0.01,0.01
11,foods,27,0.02,0.02
12,food,27,0.03,0.02
