,context,n_concepts,mean_tfidf,mean_diff
0,or,13,0.07,0.04
1,for,13,0.08,0.05
2,which,12,0.04,0.02
3,made,11,0.09,0.07
4,also,11,0.06,0.04
5,served,11,0.05,0.04
6,based,11,0.04,0.02
7,used,11,0.05,0.03
8,other,10,0.03,0.01
9,this,10,0.04,0.02
10,round,2,0.02,0.01
