,context,n_concepts,mean_tfidf,mean_diff,evidence
0,bird,46,0.05,0.04,-
1,birds,39,0.03,0.03,-
2,hawk,37,0.03,0.03,-
3,winged,37,0.01,0.01,-
4,eagle,36,0.02,0.02,-
5,owl,33,0.04,0.04,-
6,flight,33,0.02,0.02,-
7,include,33,0.01,0.01,-
8,headed,33,0.04,0.04,-
9,black,33,0.07,0.06,-
10,billed,32,0.04,0.04,-
11,falcon,32,0.02,0.01,-
12,raven,32,0.02,0.01,-
13,fly,32,0.02,0.01,-
14,tail,32,0.01,0.01,-
15,nest,31,0.02,0.02,-
16,jay,31,0.01,0.01,-
17,flies,30,0.02,0.02,-
18,crow,30,0.02,0.02,-
19,nests,30,0.03,0.03,-
20,fly,32,0.02,0.01,-
21,flies,30,0.02,0.02,-
22,flown,27,0.02,0.02,-
23,flew,27,0.02,0.02,-
24,flying,21,0.04,0.03,-
