,food,fish,communication,no-cat,all,mammal,relation,bird,object,measure,animal,mean
sardine,0.0885240709255123,0.08561781123403508,0.0,0.0,0.11414406720843896,0.0,0.08235787055966304,0.0,0.11414406720843896,0.0,0.11414406720843896,0.05444835948586612
trout,0.07807701586631746,0.08634951459808365,0.0,0.0,0.086959958421766,0.0,0.0,0.0,0.08696041040413505,0.0,0.08696041040413505,0.03866430088131247
halibut,0.05287308156766109,0.05457744029940587,0.0,0.0,0.049333699437592915,0.0,0.0,0.0,0.049333699437592915,0.0,0.049333699437592915,0.023222874561804153
bass,0.046577086870914594,0.054104124296143655,0.04424037629624694,0.0,0.04969952335686989,0.0,0.0,0.0,0.049699685683193724,0.0,0.049699685683193724,0.026729134744232955
flounder,0.07674412166752347,0.08891882707608477,0.0,0.0,0.0819383071427308,0.0,0.0,0.0,0.0819383071427308,0.0,0.0819383071427308,0.03740707910652733
chicken,0.05020813987461159,0.0,0.0,0.0,0.042171714442417164,0.0,0.0,0.05278664640186648,0.042171297393765975,0.0,0.042171297393765975,0.020864463227857014
turkey,0.002283262253499263,0.0,0.0,0.0,0.0020627428864446956,0.0,0.0,0.0021354604219867464,0.002062701215776615,0.0,0.002062701215776615,0.0009642607266803579
hen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duck,0.003971239222499548,0.0,0.0,0.0,0.003913030514463474,0.0,0.0,0.003949160747754052,0.003913027177080216,0.004372967458137557,0.003913027177080216,0.002184768390637733
pickerel,0.016183353924410497,0.018986685492626974,0.0,0.0,0.025782965374741198,0.0,0.0,0.0,0.025782965374741198,0.0,0.025782965374741198,0.010228994140114644
quail,0.005765178950379389,0.0,0.0,0.0,0.00587097158862771,0.0,0.0,0.005722734932819246,0.005871070354155202,0.0,0.005871070354155202,0.002645547834557886
salmon,0.09513921322239854,0.08491669852577302,0.0,0.0,0.08564089351039314,0.0,0.0,0.0,0.08563672798053495,0.0,0.08563672798053495,0.039724569201784965
plaice,0.014099109473834553,0.016238193242143917,0.0,0.0,0.01875427842573696,0.0,0.0,0.0,0.01875427842573696,0.0,0.01875427842573696,0.007872739817562667
hare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
