,animal,tool,no-cat,measure,relation,object,weapon,communication,vehicle,food,all,cutlery,mean
oak,0.0,0.0,0.004423139900778629,0.0,0.005091579952989219,0.004593201371769361,0.0,0.0,0.0,0.0,0.004593201371769361,0.0,0.0015584268831088809
fir,0.0,0.0,0.0026723170303885263,0.0,0.0029978065163897756,0.0024811336145548887,0.0,0.0,0.0,0.0,0.0024811336145548887,0.0,0.0008860325646573401
date,0.0,0.0,0.0014210522482270955,0.0017424978553760568,0.0,0.0014897795913896667,0.0,0.0,0.0,0.0014724621184181437,0.0014897795913896667,0.0,0.0006346309504000523
gun,0.0,0.0,0.0005232651915870344,0.0,0.0,0.0005891174746159072,0.0006859662929347317,0.0,0.0,0.0,0.0005891174746159072,0.0,0.0001989555361461317
barrel,0.0,0.0,0.0,0.001997570293700711,0.0,0.0021807145023863216,0.0,0.0,0.0,0.0,0.0021807145023863216,0.0,0.0005299166082061128
window,0.0,0.0,0.0,0.00341557390832357,0.0,0.0035232297969925216,0.0,0.0,0.0,0.0,0.0035232297969925216,0.0,0.0008718361251923845
rod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deal,0.0,0.0,0.0,0.0011236741987062078,0.0009436918421879191,0.0010427692003772387,0.0,0.0009133507757514973,0.0,0.0,0.0010427692003772387,0.0,0.0004221879347833418
pencil,0.0,0.0,0.0,0.0,0.011068508056838164,0.010447733806078278,0.0,0.0,0.0,0.0,0.010447733806078278,0.0,0.0026636646390828934
club,0.0,0.0,0.0,0.0,0.001114136952395409,0.0010536136712470954,0.0,0.0,0.0,0.0,0.0010536136712470954,0.0,0.0002684470245741333
weatherboard,0.0,0.0,0.0,0.0,0.0017193823901154397,0.0017384485810471861,0.0,0.0,0.0,0.0,0.0017384485810471861,0.0,0.0004330232960174844
spindle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bridge,0.0,0.0,0.0,0.0,0.0,0.00042644566127524297,0.0,0.0,0.0,0.0,0.00042644566127524297,0.0,7.107427687920716e-05
stool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stick,0.0,0.0,0.0,0.0,0.004388053513635009,0.004710976795302581,0.0,0.0,0.0,0.004382150256755288,0.004710976795302581,0.0,0.001516013113416288
wood,0.0,0.0,0.0,0.0,0.020355886062774445,0.021946885645161045,0.0,0.0,0.0,0.0,0.021946885645161045,0.0,0.005354138112758045
rock,0.0,0.0,0.0,0.0,0.00026146486416730525,0.00027570325138883843,0.0,0.00025867183257840886,0.0,0.0002995657443055713,0.00027570325138883843,0.0,0.00011425907865241353
spear,0.0,0.0,0.0,0.0,0.0,0.0013677134257520948,0.0014759088375212183,0.0,0.0,0.0,0.0013677134257520948,0.0,0.00035094464075211733
cello,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
