,animal,reptile,plant,mammal,no-cat,measure,relation,fish,object,bird,communication,vehicle,food,all,mean
goldeneye,0.043069576679013934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043069576679013934,0.03891648894681572,0.0,0.0,0.0,0.04335541131603692,0.012029360972920037
perch,0.000885569812829068,0.0,0.0,0.0,0.0,0.0011162937381267513,0.0,0.0,0.000885569812829068,0.0,0.0,0.0,0.0008594817220259543,0.0008890276018206069,0.00033113876340224634
hake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vervet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
puppy,0.001580539110367779,0.0,0.0,0.0020264652106724815,0.0,0.0,0.0,0.0,0.001580539110367779,0.0,0.0,0.0,0.0,0.0015918671988347601,0.0004842436164459143
seal,0.0009144998593243147,0.0,0.0,0.0011185273863590854,0.0,0.0,0.0011336399536673984,0.0,0.0009144998593243147,0.0,0.0,0.0,0.0,0.0009172684016464298,0.0003570311043086817
sturgeon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
herring,0.0022354580674811145,0.0,0.0,0.0,0.0,0.0,0.0,0.0033879582700652167,0.0022354580674811145,0.0,0.0,0.0,0.0023250861134736477,0.0022438049466552723,0.0008876975332254547
basset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cyprinid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rodent,0.0010379018025267266,0.0,0.0,0.0013301203355825723,0.0,0.0,0.0,0.0,0.0010379018025267266,0.0,0.0,0.0,0.0,0.0010445639700341364,0.0003178919936192973
fish,0.0036551174982252196,0.0,0.0,0.0,0.0,0.0,0.0,0.005432370743477725,0.0036551174982252196,0.0,0.0,0.0,0.003567555361577303,0.003677878287010521,0.0014277170991797135
goat,0.02373359064740776,0.0,0.0,0.029632805965840843,0.0,0.0,0.0,0.0,0.02373359064740776,0.0,0.0,0.0,0.0,0.023784858520875665,0.0072060604129665735
bulldog,0.0014014719765295194,0.0,0.0,0.001571010802425027,0.0,0.0,0.0,0.0,0.0014014719765295194,0.0,0.0,0.0,0.0,0.0014066581741750401,0.000412900923547079
bloodhound,0.004794183042304791,0.0,0.0,0.005332644402927765,0.0,0.0,0.0,0.0,0.004794183042304791,0.0,0.0,0.0,0.0,0.004804541490177656,0.0014089679984082147
croaker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snake,0.0006743032298633902,0.0011032740910879386,0.0,0.0,0.0,0.0,0.0,0.0,0.0006743032298633902,0.0,0.0,0.0,0.0,0.000676731553145924,0.0002234722931400459
runner,0.0027418819837496623,0.0,0.0,0.0,0.0037161463654839027,0.0,0.0,0.0035593392654008197,0.0027418819837496623,0.0,0.0,0.0,0.0,0.002746583617043588,0.0011075595153876882
bear,0.003070644035525884,0.0,0.0,0.003808090619161955,0.0,0.0,0.0,0.0,0.003070644035525884,0.0,0.0,0.0,0.0,0.0030829886474858883,0.0009308833812642579
burbot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sardine,0.013350087776685322,0.0,0.0,0.0,0.0,0.0,0.015030105854919913,0.020554456852475478,0.013350087776685322,0.0,0.0,0.0,0.013776181112423505,0.013422784128476273,0.006391693107261844
glutton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serpent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catfish,0.002496472449007641,0.0,0.0,0.0,0.0,0.0,0.0,0.004307670931679053,0.002496472449007641,0.0,0.0,0.0,0.002568868349235719,0.002509417464619835,0.0010270644031107063
otter,0.0035336076645943325,0.0,0.0,0.00419151031496612,0.0,0.0,0.004496129448002925,0.0,0.0035336076645943325,0.0,0.0,0.0,0.0,0.0035489352525987774,0.0013788421674826063
sunfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat,0.011714872666784162,0.0,0.0,0.013126276723306542,0.014086456212187718,0.0,0.0,0.0,0.011714872666784162,0.0,0.0,0.014271720934947132,0.0,0.011739025698551486,0.005475230350182943
haddock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouse,0.02273392358937547,0.0,0.0,0.027088620663687505,0.0,0.0,0.0,0.0,0.02273392358937547,0.0,0.0,0.0,0.0,0.022801114155514966,0.006811255856996672
halfbeak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wolf,0.003583630578930003,0.0,0.0,0.004275464392253222,0.005499764618129392,0.0,0.0,0.0,0.003583630578930003,0.0,0.0,0.0,0.0,0.003594866476901514,0.0014669540460817236
barbet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lynx,0.0014913294724826988,0.0,0.0,0.0018091767909985646,0.0,0.0,0.0,0.0,0.0014913294724826988,0.0,0.0,0.0,0.0,0.0014974918822459069,0.0004492376870149907
blenny,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trout,0.0005744198307651376,0.0,0.0,0.0,0.0,0.0,0.0,0.000820574333286666,0.0005744198307651376,0.0,0.0,0.0,0.0005786859594737072,0.000576169403859009,0.00022316209701068982
crab,0.0035450542813870683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035450542813870683,0.0,0.0,0.0,0.003597844332711483,0.003559729100466348,0.0010176915711394264
albacore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duckling,0.01038406103557573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01038406103557573,0.009308159285953197,0.0,0.0,0.011442352861184663,0.01042975027548946,0.00371059889241277
shad,0.002698318728100357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002698318728100357,0.0,0.0,0.0,0.0028448767188543472,0.0027359081524845476,0.0007841015948242578
painter,0.00048814931977014147,0.0,0.0,0.0005505210819187396,0.0,0.0,0.0,0.0,0.00048814931977014147,0.0,0.0,0.0,0.0,0.0004900760324848784,0.00014406398242456435
stickleback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bass,0.001866918549115821,0.0,0.0,0.0,0.0,0.0,0.0,0.0028048454222219044,0.001866918549115821,0.0,0.0021340548839444353,0.0,0.0018607071157067665,0.0018717547891601981,0.0008860856649474963
frog,0.0021419228288905023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021419228288905023,0.0,0.0,0.0,0.0,0.0021517314681353305,0.00045968408042259537
pug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sawfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shark,0.0004024860233541237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004024860233541237,0.0,0.0,0.0,0.0,0.0004038958697888743,8.6347708321223e-05
grindle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
armadillo,0.0031730188643268424,0.0,0.0,0.003794905023699198,0.0,0.0,0.0,0.0,0.0031730188643268424,0.0,0.0,0.0,0.0,0.0031840960331189897,0.0009517884846765623
anglerfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottlenose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrimp,0.0026961646917691867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026961646917691867,0.0,0.0,0.0,0.0032769683033913124,0.0027125606484780162,0.0008129898811005502
bullhead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
octopus,0.0012304787911981477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012304787911981477,0.0,0.0,0.0,0.001169229659369445,0.001234663395635348,0.00034748933124293486
toy,0.009926106942868598,0.0,0.0,0.011283960604948401,0.0,0.0,0.0,0.0,0.009926106942868598,0.0,0.0,0.0,0.0,0.009955733713507782,0.002935136300299527
cob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
albatross,0.0021062794367712637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021062794367712637,0.0019764352877359535,0.0,0.0,0.0,0.002116365378254661,0.0005932399671095102
mammal,0.0038204411520340355,0.0,0.0,0.004364149404617348,0.0,0.0,0.0,0.0,0.0038204411520340355,0.0,0.0,0.0,0.0,0.0038561810298657967,0.0011329437670393725
gnu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flamingo,0.020789093389620997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020789093389620997,0.018237585055704924,0.0,0.0,0.0,0.02084076523077279,0.005761181218979979
