,food,communication,cold,all,relation,object,measure,mean
lemonade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cream,0.0,0.0,0.0,0.00011387055951430937,0.0,0.00010215492620595432,0.0,3.0860783674323385e-05
pie,0.0,0.0,0.0,0.0002756005628569528,0.0,0.0,0.0,3.9371508979564685e-05
berry,0.001576260077837917,0.0,0.0,0.0007892734751066968,0.0,0.0008087940549270351,0.0,0.00045347537255309266
casserole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soup,0.0010461577039298105,0.0,0.0,0.0007626738640624484,0.0006790461385538772,0.0,0.0,0.00035541110093516233
juice,0.00023104883361771365,0.0,0.0,0.00021757469647562107,0.0001848266097178318,0.0,0.0,9.049287711588094e-05
tea,0.0036798966887707876,0.0,0.0,0.0028479774691380134,0.002470034894527,0.002667306198622768,0.0,0.0016664593215797957
sundae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
curd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water,0.0047119164708158716,0.0,0.0,0.00420164691543501,0.003713134857776579,0.0038726498309593145,0.0,0.0023570497249981105
iceberg,0.00043424447034533253,0.0,0.0,0.0004126874177011684,0.0,0.00037945375982672804,0.0,0.00017519794969617558
ice,0.004276640614753795,0.0,0.0,0.0036319438769242597,0.0,0.0034891884841241646,0.0,0.0016282532822574599
soda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drink,0.0011340072773806662,0.0,0.0,0.0011047060242002301,0.0009898128880278237,0.0,0.0011229003802447977,0.0006216323671219312
rock,0.005006381187629712,0.004746091358849091,0.0,0.0048251582761681235,0.003943328087743074,0.004408120664307593,0.0,0.003275582796385371
beer,0.0023545496320786265,0.0,0.0,0.0019572788804072495,0.0017736551292827573,0.0,0.0,0.0008693548059669476
milk,0.0013781049141804993,0.0,0.0,0.0011091282355475268,0.000986272638208808,0.0,0.0,0.0004962151125624049
coffee,0.0017646218697007013,0.0,0.0,0.0014614087081917236,0.0013372701081930047,0.0014141352404572032,0.0,0.0008539194180775189
tortilla,0.0013348336888964459,0.0,0.0,0.0011928802869582197,0.0,0.0,0.0,0.0003611019965506665
cake,0.0008953752661891978,0.0,0.0,0.000736561671387336,0.0,0.0006785269708381484,0.0,0.0003300662726306689
popsicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quesadilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nose,0.0,0.00471401825194629,0.0,0.004316684709693916,0.0,0.004206910722906087,0.004881092904363715,0.002588386655558573
mud,0.0,0.0043288378185343205,0.0,0.004317328117550987,0.003963758060527986,0.0,0.0,0.0018014177138018991
can,0.0,0.0012178595235491914,0.0,0.0013129377939451012,0.0,0.0011913901683405237,0.0013595698279839953,0.0007259653305455445
problem,0.0,0.0004398982144294734,0.0,0.0004515981624679098,0.0,0.0,0.0,0.00012735662527105473
idea,0.0,0.0012118471553091207,0.0,0.001288069895630179,0.0,0.0,0.0,0.0003571310072770428
smoke,0.0,0.001721652117731896,0.0,0.0014166093373703045,0.0014057152266458634,0.0,0.0,0.0006491395259640092
foot,0.0,0.00204070501340691,0.0,0.0018567725252628105,0.0,0.001927292869791089,0.002189412416385587,0.0011448832606923422
fire,0.0,0.00038259654174630035,0.0,0.00028098316953772495,0.00031767344695021174,0.0002738617596647448,0.0,0.00017930213112842596
vinyl,0.0,0.0,0.018148090853309894,0.013143479468144668,0.0,0.0,0.0,0.004470224331636366
people,0.0,0.0,0.002323178240533004,0.0016699566275162677,0.0,0.0,0.0,0.0005704478382927531
icicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sky,0.0,0.0,0.002682031198379463,0.0019972791643540176,0.0,0.0,0.0,0.0006684729089619258
slime,0.0,0.0,0.04545859599152475,0.038958236324412414,0.0,0.0,0.0,0.01205954747370531
snowfall,0.0,0.0,0.004590126252730411,0.0033862886723716764,0.0,0.0,0.0,0.0011394878464431554
river,0.0,0.0,0.0044410065662146446,0.0032246816823686465,0.0,0.0,0.0,0.0010950983212261844
flame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lightning,0.0,0.0,0.0006586753147723238,0.0006889331222160976,0.0,0.0,0.0,0.00019251549099834589
hatred,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,0.0,0.0,0.0,0.00557758145929836,0.0,0.005329793642077572,0.006067603750177013,0.0024249969787932778
toilet,0.0,0.0,0.0,0.012019110692721864,0.0,0.011736074032650359,0.0,0.0033935978179103175
rain,0.0,0.0,0.0,0.0038525882685669015,0.003370379696734865,0.0,0.0,0.0010318525664716807
eggshell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shelf,0.0,0.0,0.0,0.0025178247155732327,0.0,0.002537829244474536,0.0,0.0007222362800068242
snowdrift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
freezer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vapor,0.0,0.0,0.0,0.0015550235127472323,0.0014513387464834045,0.0,0.0,0.0004294803227472338
balloon,0.0,0.0,0.0,0.000560457451108314,0.0,0.0005279472359188672,0.0,0.00015548638386102587
toe,0.0,0.0,0.0,0.008118133456659814,0.0,0.007634120113309247,0.0,0.0022503219385670084
fridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snowbank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foam,0.0,0.0,0.0,0.013070358658307097,0.012327389406825633,0.0,0.0,0.00362824972359039
kettle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skin,0.0,0.0,0.0,0.008094712645109681,0.0068954604888844745,0.007606005348742038,0.0,0.003228025497533742
permafrost,0.0,0.0,0.0,0.010188927611995741,0.0,0.009549093697862034,0.0,0.002819717329979682
finger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shoe,0.0,0.0,0.0,0.015945559550107447,0.0,0.015445908651048588,0.0,0.004484495457308005
mug,0.0,0.0,0.0,0.0029275534547599127,0.0,0.0027742896634119552,0.003349425948949524,0.001293038438160199
puddle,0.0,0.0,0.0,0.004997366839058068,0.0,0.004930222511131022,0.0,0.001418227050027013
dogwood,0.0,0.0,0.0,0.004382431382864986,0.004051187995671077,0.004421552447471291,0.0,0.0018364531180010506
bottle,0.0,0.0,0.0,0.0006048601932906747,0.0,0.000565909831229062,0.0007029752191532938,0.00026767789195329006
snow,0.0,0.0,0.0,0.007591126804066024,0.0,0.007028791835654687,0.0,0.0020885598056743873
pavement,0.0,0.0,0.0,0.00784557625270514,0.0,0.007022768982706972,0.0,0.0021240493193445875
winter,0.0,0.0,0.0,0.0027456064690453363,0.0,0.0,0.003063431697440213,0.0008298625952122213
fireplace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
surface,0.0,0.0,0.0,0.008758079639494317,0.0,0.008079440713984396,0.0,0.002405360050496959
hair,0.0,0.0,0.0,0.008623632309735488,0.0,0.008070415297806012,0.009302897198711359,0.0037138492580361224
growler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toaster,0.0,0.0,0.0,0.008938690617463085,0.0,0.008348479706424012,0.0,0.0024695957605552995
basement,0.0,0.0,0.0,0.0014076589025776676,0.0,0.0014575908865592556,0.0,0.0004093213984481319
pillow,0.0,0.0,0.0,0.051364535700629384,0.0,0.0474341828236084,0.0,0.014114102646319683
atmosphere,0.0,0.0,0.0,0.0006148430433336972,0.0,0.00056258788663557,0.0006747360821800357,0.0002645952874499004
bathtub,0.0,0.0,0.0,0.004377899239196702,0.0,0.004129804299851958,0.0,0.0012153862198640943
pomade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sawdust,0.0,0.0,0.0,0.016212284826725744,0.016241298240922256,0.0,0.0,0.004636226152521143
lip,0.0,0.0,0.0,0.0007322959910332452,0.0,0.0007457404693440791,0.0,0.00021114806576818919
heat,0.0,0.0,0.0,0.0010087905841128669,0.0,0.0010124697743866418,0.001155229042109832,0.00045378420008704865
jungle,0.0,0.0,0.0,0.00336419108474504,0.0,0.0032587741611937544,0.0,0.0009461378922769706
outfit,0.0,0.0,0.0,0.005773207316996152,0.0,0.005734304528727648,0.0,0.0016439302636748288
summertime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steam,0.0,0.0,0.0,0.0012653314580623127,0.0012568005599195944,0.0,0.0,0.0003603045739974153
