,context,n_concepts,mean_tfidf,mean_diff,evidence
0,quarters,22,0.0,0.0,-
1,this,21,0.01,0.0,-
2,smile,21,0.0,0.0,-
3,year,21,0.01,0.0,-
4,40,21,0.01,0.0,-
5,bit,20,0.0,0.0,-
6,many,20,0.01,0.0,-
7,bubble,20,0.0,0.0,-
8,she,20,0.01,0.01,-
9,or,20,0.02,0.01,-
10,which,20,0.01,0.01,-
11,yellow,20,0.05,0.05,-
12,slightly,19,0.0,0.0,-
13,preferred,19,0.0,0.0,-
14,such,19,0.01,0.0,-
15,yes,19,0.0,0.0,-
16,larger,19,0.0,0.0,-
17,million,19,0.01,0.0,-
18,laid,19,0.0,0.0,-
19,august,19,0.0,0.0,-
20,yellow,20,0.05,0.05,-
