,context,n_concepts,mean_tfidf,mean_diff,evidence
0,burned,9,0.01,0.01,r
1,chemicals,9,0.01,0,u
2,smoke,9,0.02,0.02,r
3,cloud,9,0.03,0.03,u
4,62,9,0,0,u
5,declined,9,0,0,u
6,chemical,9,0.01,0.01,u
7,toxic,9,0.01,0.01,u
8,flame,9,0,0,i
9,burnt,9,0,0,r
10,generate,8,0.01,0.01,u
11,substances,8,0,0,u
12,hills,8,0,0,u
13,56,8,0,0,u
14,maintained,8,0,0,u
15,sites,8,0,0,u
16,observed,8,0,0,u
17,eliminated,8,0,0,u
18,supplying,8,0.01,0.01,u
19,capture,8,0,0,u
20,hot,7,0.05,0.04,p
