,context,n_concepts,mean_tfidf,mean_diff,evidence
0,burned,9,0.01,0.01,-
1,chemicals,9,0.01,0.0,-
2,smoke,9,0.02,0.02,-
3,cloud,9,0.03,0.03,-
4,62,9,0.0,0.0,-
5,declined,9,0.0,0.0,-
6,chemical,9,0.01,0.01,-
7,toxic,9,0.01,0.01,-
8,flame,9,0.0,0.0,-
9,burnt,9,0.0,0.0,-
10,generate,8,0.01,0.01,-
11,substances,8,0.0,0.0,-
12,hills,8,0.0,0.0,-
13,56,8,0.0,0.0,-
14,maintained,8,0.0,0.0,-
15,sites,8,0.0,0.0,-
16,observed,8,0.0,0.0,-
17,eliminated,8,0.0,0.0,-
18,supplying,8,0.01,0.01,-
19,capture,8,0.0,0.0,-
20,hot,7,0.05,0.04,-
