,context,n_concepts,mean_tfidf,mean_diff,evidence
0,bird,14,0.03,0.03,-
1,birds,12,0.03,0.03,-
2,duck,10,0.04,0.04,-
3,goose,10,0.01,0.01,-
4,wings,10,0.02,0.02,-
5,begins,10,0.01,0.01,-
6,eggs,9,0.07,0.06,-
7,week,8,0.01,0.01,-
8,along,8,0.01,0.01,-
9,neck,8,0.09,0.08,-
10,place,8,0.01,0.0,-
11,14,8,0.01,0.01,-
12,neither,8,0.0,0.0,-
13,menu,8,0.01,0.01,-
14,avian,8,0.01,0.01,-
15,rely,8,0.0,0.0,-
16,sides,8,0.0,0.0,-
17,ducks,8,0.04,0.04,-
18,paying,8,0.01,0.01,-
19,lunch,8,0.01,0.0,-
20,eggs,9,0.07,0.06,-
21,egg,8,0.07,0.07,-
