,round,animal,relation,bird,object,food,all,fruit,plant,measure,mean,median
button,0.0,0.0,0.0,0.0,0.0007925982185279867,0.0,0.0006896880250525781,0.0,0.0,0.0,0.00014822862435805647,0.0
berry,0.0,0.0,0.0,0.0,0.004814148341838516,0.004523758267928364,0.004177226502928114,0.006240284145377394,0.0,0.0,0.001975541725807239,0.0
gourd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
box,0.0,0.0,0.0,0.0,0.0024687921630246606,0.0,0.002192980270845418,0.0,0.0019026965109754928,0.002689402072298853,0.0009253871017144425,0.0
tray,0.0,0.0,0.0,0.0,0.00893476555535913,0.0,0.00824635745795773,0.0,0.0,0.0,0.001718112301331686,0.0
pumpkin,0.0,0.0,0.0,0.0,0.003793064882265199,0.004253539398767855,0.0038494462765833546,0.0,0.00331101434582772,0.0,0.0015207064903444128,0.0
barrel,0.0,0.0,0.0,0.0,0.002001957092438837,0.0,0.0017913945320603855,0.0,0.0,0.0024275751101894213,0.0006220926734688644,0.0
table,0.0,0.0,0.0,0.0,0.0028984325751755273,0.00242418196037173,0.002525493287496852,0.0,0.0,0.0,0.0007848107823044109,0.0
cheese,0.0,0.0,0.0,0.0,0.008122701039488473,0.009800969259984941,0.00835151851574173,0.0,0.007208744002114927,0.0,0.0033483932817330074,0.0
peanut,0.0,0.0,0.0,0.0,0.0014185831046527723,0.0,0.0014165636668697936,0.0014243129417854678,0.001406476499337598,0.0,0.0005665936212645632,0.0
apple,0.0,0.0,0.0,0.0,0.0016769182242436485,0.0014316922948118698,0.0014569681463003535,0.0017723625950204361,0.0014437044682274718,0.0,0.000778164572860378,0.000778164572860378
tart,0.0,0.0,0.0,0.0,0.009478668123284838,0.009460773216790879,0.009015035077435195,0.0,0.0,0.0,0.0027954476417510915,0.0
watermelon,0.0,0.0,0.0,0.0,0.00440269497869935,0.0050106989310089636,0.004254736451910256,0.004944152567799216,0.0037901412045752707,0.0,0.0022402424133993056,0.0022402424133993056
basketball,0.0,0.0,0.0,0.0,0.001606644258287982,0.0,0.0014211762141831373,0.0,0.0,0.0,0.0003027820472471119,0.0
baseball,0.0,0.0,0.0,0.0,0.0016919696043010534,0.0,0.0015401460416723644,0.0,0.0,0.0,0.00032321156459734176,0.0
melon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
globe,0.0,0.0,0.0,0.0,0.0006561252674226083,0.0,0.0005870663927738923,0.0,0.0,0.0,0.00012431916601965005,0.0
cantaloupe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cookie,0.0,0.0,0.0,0.0,0.005749567656895267,0.006383851620634646,0.005739125091627513,0.0,0.0,0.0,0.0017872544369157428,0.0
blueberry,0.0,0.0,0.0,0.0,0.006874716242484237,0.007503276932750086,0.00670009096652699,0.007570301515664811,0.005809601049091471,0.0,0.003445798670651759,0.003445798670651759
pineapple,0.0,0.0,0.0,0.0,0.001072373718083518,0.0012045350988377796,0.0010562667974849634,0.0011024423838141035,0.000876311503395772,0.0,0.0005311929501616136,0.0005311929501616136
candle,0.0,0.0,0.0,0.0,0.0031407657305701025,0.0,0.0027284773199373366,0.0,0.0,0.003825058797158304,0.0009694301847665742,0.0
bracelet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beet,0.0,0.0,0.0,0.0,0.0018672856733818956,0.0020613797610120363,0.0018078918147142104,0.0,0.0015210001599640845,0.0,0.0007257557409072226,0.0
coconut,0.0,0.0,0.0,0.0,0.004708620052870552,0.005080296037493233,0.004489802999416038,0.005458464635067546,0.00389873891289687,0.0,0.002363592263774424,0.002363592263774424
wheel,0.0,0.0,0.0,0.0,0.0032742184727247887,0.0,0.002734709622908322,0.0,0.0,0.0,0.0006008928095633111,0.0
shape,0.0,0.0,0.0,0.0,0.009821681004131324,0.0,0.009160066671651163,0.0,0.0,0.0,0.0018981747675782487,0.0
tomato,0.0,0.0,0.0,0.0,0.004061154856436778,0.004601879707037446,0.004151285013320426,0.0,0.003510221624573252,0.0,0.0016324541201367903,0.0
vegetable,0.0,0.0,0.0,0.0,0.0017893688832446954,0.002000002139522222,0.0017414898697042903,0.0,0.0014303562505717509,0.0,0.0006961217143042958,0.0
can,0.0,0.0,0.0,0.0,0.007817525592552207,0.0,0.007217543213138211,0.0,0.0,0.008016164171957952,0.002305123297764837,0.0
onion,0.0,0.0,0.0,0.0,0.004019538047986708,0.005055733231668755,0.004195371528650341,0.0,0.0035764703704261954,0.0,0.0016847113178731997,0.0
butter,0.0,0.0,0.0,0.0,0.004384630996110615,0.005512753009570102,0.0046796136814960705,0.0,0.0,0.0,0.0014576997687176787,0.0
sphere,0.0,0.0,0.0,0.0,0.0016709010006674334,0.0,0.0014603685614767447,0.0,0.0,0.0,0.0003131269562144178,0.0
disc,0.0,0.0,0.0,0.0,0.003203911389905367,0.0,0.0027384625539455345,0.0,0.0,0.0,0.0005942373943850901,0.0
bowl,0.0,0.0,0.0,0.0,0.0007477329071363648,0.0,0.0006741770526893821,0.0,0.0,0.0007233905609808613,0.0002145300520806608,0.0
cake,0.0,0.0,0.0,0.0,0.007091852960340838,0.007592911256741726,0.006907771517084517,0.0,0.0,0.0,0.002159253573416708,0.0
nut,0.0,0.0,0.0,0.0,0.006089720053011056,0.0,0.005498708555219663,0.007131399695301758,0.0,0.007222140222555959,0.0025941968526088438,0.0
plunger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spoon,0.0,0.0,0.0,0.0,0.0018608245238901572,0.0,0.0017009858632576198,0.0,0.0,0.0021684700009145202,0.0005730280388062297,0.0
hubcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
potato,0.0,0.0,0.0,0.0,0.0069379294917226025,0.0078264177481714,0.006980731794648228,0.0,0.005974880892317259,0.0,0.0027719959926859493,0.0
bean,0.0,0.0,0.0,0.0,0.002029664058184921,0.0022123878141272297,0.0019692022166305275,0.002112572622645659,0.0017321582898747717,0.0,0.0010055985001463108,0.0010055985001463108
bedroom,0.0,0.0,0.0,0.0,0.0011163353131953446,0.0,0.0009705045511117484,0.0,0.0,0.0,0.00020868398643070929,0.0
ball,0.0,0.0,0.0,0.0,0.02369429112763961,0.0,0.021236001245576862,0.0,0.0,0.0,0.004493029237321647,0.0
ashtray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
planet,0.0,0.0,0.0,0.0,0.0017909423934917399,0.0,0.0016174779900218863,0.0,0.0,0.0,0.0003408420383513626,0.0
almond,0.0,0.0,0.0,0.0,0.0077152983457700166,0.0,0.00732731682349243,0.0085017797822153,0.008310983668195191,0.0,0.003185537861967294,0.0
dresser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
casserole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shoe,0.0,0.0,0.0,0.0,0.0015795510973849803,0.0,0.0014771182778151896,0.0,0.0,0.0,0.00030566693752001703,0.0
bottle,0.0,0.0,0.0,0.0,0.001160566751855257,0.0,0.0011037690261371956,0.0,0.0,0.0011522004607079387,0.00034165362387003916,0.0
cube,0.0,0.0,0.0,0.0,0.0005392942191543369,0.0,0.0005459622006187152,0.0,0.0005123903721613349,0.0006204408241638798,0.00022180876160982668,0.0
chive,0.0,0.0,0.0,0.0,0.024240457532637122,0.0,0.024157911595328388,0.0,0.02800128782256722,0.0,0.007639965695053273,0.0
popcorn,0.0,0.0,0.0,0.0,0.0034804797949803514,0.003367330662647801,0.003477007014502856,0.0,0.00340183059179638,0.0,0.0013726648063927388,0.0
drumstick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fondant,0.0,0.0,0.0,0.0,0.0,0.023921873756936187,0.02220559171236157,0.0,0.0,0.0,0.004612746546929776,0.0
pizza,0.0,0.0,0.0,0.0,0.0,0.002945324540567019,0.0026527841482603762,0.0,0.0,0.0,0.0005598108688827395,0.0
pastry,0.0,0.0,0.0,0.0,0.0,0.04170894255830659,0.03501851364205767,0.0,0.0,0.0,0.007672745620036425,0.0
pie,0.0,0.0,0.0,0.0,0.0,0.011558222753013143,0.009835443171036197,0.0,0.0,0.0,0.002139366592404934,0.0
vinaigrette,0.0,0.0,0.0,0.0,0.0,0.0018827389554620698,0.0016687638307674923,0.0,0.0,0.0,0.00035515027862295624,0.0
pasta,0.0,0.0,0.0,0.0,0.0,0.012606324811546613,0.011060885268313227,0.0,0.0,0.0,0.0023667210079859843,0.0
pilaf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pancake,0.0,0.0,0.0,0.0,0.0,0.01510715047354766,0.01403227692464011,0.0,0.0,0.0,0.002913942739818777,0.0
snack,0.0,0.0,0.0,0.0,0.0,0.004854845338391256,0.004412594414775737,0.0,0.0,0.0,0.0009267439753166993,0.0
marzipan,0.0,0.0,0.0,0.0,0.0,0.0508325882522409,0.049528217139279684,0.0,0.0,0.0,0.010036080539152059,0.0
salad,0.0,0.0,0.0,0.0,0.0,0.007491845145227861,0.00658050021820788,0.0,0.0,0.0,0.001407234536343574,0.0
omelette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
curd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheeseburger,0.0,0.0,0.0,0.0,0.0,0.003931398589880455,0.003504373919352118,0.0,0.0,0.0,0.0007435772509232573,0.0
quesadilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
doughnut,0.0,0.0,0.0,0.0,0.0,0.0015668384983429904,0.0015363588489796197,0.0,0.0,0.0,0.000310319734732261,0.0
dough,0.0,0.0,0.0,0.0,0.0,0.3109086514683317,0.27181601387891563,0.0,0.0,0.28803640180497553,0.08707610671522228,0.0
dessert,0.0,0.0,0.0,0.0,0.0,0.005815784371551463,0.0052667425171040215,0.0,0.0,0.0,0.0011082526888655485,0.0
pudding,0.0,0.0,0.0,0.0,0.0,0.004066110232346885,0.0035492632837472345,0.0,0.0,0.0,0.000761537351609412,0.0
patty,0.0,0.0,0.0,0.0,0.0,0.0002767543572104325,0.00022714882278579334,0.0,0.0,0.0,5.039031799962258e-05,0.0
condiment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sauce,0.0,0.0,0.0,0.0,0.0,0.002541846910273825,0.002073627217738292,0.0,0.0,0.0,0.0004615474128012117,0.0
puree,0.0,0.0,0.0,0.0,0.0,0.001002003400983103,0.0008192710761220626,0.0,0.0,0.0,0.00018212744771051655,0.0
tortilla,0.0,0.0,0.0,0.0,0.0,0.05386758563050377,0.04746819583561042,0.0,0.0,0.0,0.010133578146611418,0.0
custard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mozzarella,0.0,0.0,0.0,0.0,0.0,0.001488320007345331,0.0013137355588246967,0.0,0.0,0.0,0.00028020555661700277,0.0
pepperoni,0.0,0.0,0.0,0.0,0.0,0.024639323927924842,0.020360807898726914,0.0,0.0,0.0,0.004500013182665176,0.0
lolly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
popsicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biscuit,0.0,0.0,0.0,0.0,0.0,0.018108659772090495,0.016003276083376736,0.0,0.0,0.0,0.0034111935855467234,0.0
candy,0.0,0.0,0.0,0.0,0.0,0.005584985951282488,0.0053022958627405425,0.0,0.0,0.0,0.001088728181402303,0.0
bread,0.0,0.0,0.0,0.0,0.0,0.018138745322933057,0.015571421513139012,0.0,0.0,0.015288621316977667,0.0048998788153049744,0.0
seasoning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mayonnaise,0.0,0.0,0.0,0.0,0.0,0.0036450507521199045,0.003320681784485946,0.0,0.0,0.0,0.0006965732536605851,0.0
coleslaw,0.0,0.0,0.0,0.0,0.0,0.008805498731610921,0.00843789847941763,0.0,0.0,0.0,0.001724339721102855,0.0
marshmallow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cornmeal,0.0,0.0,0.0,0.0,0.0,0.014307751982024209,0.013709088693807717,0.0,0.0,0.0,0.0028016840675831925,0.0
