,round,animal,relation,bird,object,food,all,fruit,plant,measure,mean,median
frisbee,0.005847834330982127,0.0,0.0,0.0,0.0,0.0,0.006108145839045606,0.0,0.0,0.0,0.0011955980170027733,0.0
cds,0.002188766949119541,0.0,0.0,0.0,0.0,0.0,0.0017845289091032107,0.0,0.0,0.0,0.00039732958582227516,0.0
enchiladas,0.015451218576475256,0.0,0.0,0.0,0.0,0.0,0.017553227254063233,0.0,0.0,0.0,0.003300444583053849,0.0
world,0.0,0.001644968494433429,0.0,0.0,0.0014758377740130388,0.0,0.00133553693796391,0.0,0.0,0.0,0.00044563432064103774,0.0
pen,0.0,0.0002907076616824477,0.0,0.0002907076616824477,0.0002450029460652424,0.0,0.00021793679402316716,0.0,0.0,0.0,0.00010443550634533049,0.0
chicken,0.0,0.003969687723523494,0.0,0.00389476587508166,0.004181248791367484,0.004412757587382205,0.00416632952037155,0.0,0.0,0.0,0.0020624789497726394,0.0020624789497726394
marble,0.0,0.0,0.0036222152542098747,0.0,0.003078121674916237,0.0,0.0026454004971660336,0.0,0.0,0.0,0.0009345737426292146,0.0
chocolate,0.0,0.0,0.004943893437065772,0.0,0.0,0.0052379189829331665,0.004693312056811628,0.0,0.0,0.0,0.0014875124476810566,0.0
pecan,0.0,0.0,0.012947720506411088,0.0,0.012881789649411545,0.0,0.013283587311180138,0.012997148781812656,0.011254882821192901,0.0,0.006336512907000833,0.006336512907000833
cherry,0.0,0.0,0.0013645348979249117,0.0,0.0012930534544566962,0.001191451439615969,0.0011634220546018047,0.001372893008155793,0.0011021632209244527,0.0,0.0007487518075679628,0.0011021632209244527
orange,0.0,0.0,0.0005514900215383672,0.0,0.0004942286406796663,0.000498643991755642,0.00046319187392900404,0.000526034323870096,0.00039533481603893077,0.0,0.00029289236678117065,0.00039533481603893077
circle,0.0,0.0,0.005869822846524706,0.0,0.0046454099843648965,0.0,0.004034457913839988,0.0,0.0,0.0,0.001454969074472959,0.0
soup,0.0,0.0,0.0010193241501267778,0.0,0.0,0.0009592744506585226,0.0009741092722163078,0.0,0.0,0.0,0.0002952707873001608,0.0
room,0.0,0.0,0.002184808816575586,0.0,0.001970507012777496,0.0,0.0018211283347354978,0.0,0.0,0.0,0.0005976444164088581,0.0
bucket,0.0,0.0,0.0,0.0,0.00569721958393117,0.0,0.005153976430788513,0.0,0.0,0.006239118223596171,0.0017090314238315855,0.0
egg,0.0,0.0,0.0,0.0,0.043586412769912694,0.04801197746535505,0.042438187487015736,0.0,0.0,0.0,0.01340365777222835,0.0
disk,0.0,0.0,0.0,0.0,0.00533664086742605,0.0,0.004654988363974512,0.0,0.0,0.0,0.0009991629231400562,0.0
pomade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,0.0,0.0,0.0,0.0,0.006252928199319717,0.0066395895615156434,0.006077865705092841,0.0,0.004941392242571334,0.006952344661716274,0.003086412037021581,0.003086412037021581
banjo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemon,0.0,0.0,0.0,0.0,0.0007541981370169258,0.0008926889904309248,0.0007552423750163203,0.000777736215192972,0.0006512459186671492,0.0,0.00038311116363242917,0.00038311116363242917
fruit,0.0,0.0,0.0,0.0,0.009936519771240212,0.0,0.009622346181094097,0.010061549956204525,0.0,0.0,0.0029620415908538835,0.0
