pair,prop-specific,non-specific,p,l,n,i,r,b,u
"('warm', 'mug')",0.011320039296775428,0.06501047686266599,0.006554860274485891,0.001789681252196352,0.0029754977700931873,0.05155752084382346,0.013452956018842532,,0.9236694838405586
"('warm', 'slipper')",0.009632959905660377,0.07875147405660377,0.005793042452830188,0.0038399174528301887,,0.07491155660377358,0.0038399174528301887,,0.9116155660377359
"('warm', 'cloak')",0.004223617567473808,0.06353639075834316,0.0012315270935960591,,0.0029920904738777493,0.04312079372788455,0.020415597030458615,,0.932239991674183
"('warm', 'quesadilla')",0.01365967365967366,0.12643356643356643,0.00682983682983683,,0.00682983682983683,0.10927738927738928,0.017156177156177156,,0.8599067599067599
"('warm', 'necktie')",0.005442267537429473,0.07483673197387711,0.0027211337687147365,0.0027211337687147365,,0.06395219689901817,0.010884535074858946,,0.9197210004886934
"('warm', 'glass')",0.005057982044867241,0.05358594308733607,0.0010115964089734482,0.0020231928179468965,0.0020231928179468965,0.04150376500775995,0.01208217807957612,,0.9413560748677967
"('warm', 'clothing')",0.005662146331674531,0.04751401121418361,0.0016177560947641515,0.0024266341421462275,0.0016177560947641515,0.03624216694617426,0.011271844268009345,,0.9468238424541419
"('warm', 'cake')",0.004886130140584384,0.07392990822619579,0.002097283604178776,0.0013831258644536654,0.0014057206719519436,0.060548758435253903,0.013381149790941876,,0.9211839616332198
"('warm', 'linen')",0.006561410431935304,0.07564612916286799,0.0027301005889029967,0.002167037525839934,0.001664272317192372,0.061326420208033895,0.014319708954834101,,0.9177924604051967
"('warm', 'soup')",0.014399141737872814,0.09303861617868676,0.005746837603430272,0.00432615206722127,0.00432615206722127,0.08020086575721641,0.01283775042147036,,0.8925622420834404
"('warm', 'pullover')",0.01327284946236559,0.12701612903225806,0.007980510752688172,0.00529233870967742,,0.10055443548387097,0.026461693548387098,,0.8597110215053764
"('warm', 'trouser')",,0.08060498510330007,,,,0.06654673330836983,0.014058251794930237,,0.9193950148966998
"('warm', 'waistcoat')",,0.1272100689241834,,,,0.10600839077015284,0.021201678154030568,,0.8727899310758166
"('warm', 'atmosphere')",0.00796760056285086,0.039656795360670176,0.00398380028142543,0.001991900140712715,0.001991900140712715,0.028132030610092118,0.01152476475057806,,0.9523756040764789
"('warm', 'corset')",0.008185675997617629,0.08731387730792138,0.005457117331745086,0.002728558665872543,,0.07639964264443122,0.010914234663490173,,0.904500446694461
"('warm', 'people')",0.001051156271899089,0.030169825926976975,0.000350385423966363,0.000700770847932726,,0.02496833982945979,0.005201486097517187,,0.968779017801124
"('warm', 'bodice')",,0.07574901074053136,,,,0.06166384021104202,0.014085170529489353,,0.9242509892594686
"('warm', 'blanket')",0.005776831863788386,0.054806606437041216,0.003301046779307649,0.0008252616948269122,0.0016505233896538245,0.04330180688876341,0.011504799548277808,,0.9394165616991704
"('warm', 'jacket')",0.009871369237994214,0.07392029207287382,0.004237322968339585,0.004084768936475208,0.0015492773331794239,0.06070505534504106,0.013215236727832763,,0.916208338689132
"('warm', 'robe')",0.0017843006871220038,0.06684557170450588,0.0017843006871220038,,,0.05888192267502612,0.00796364902947975,,0.9313701276083721
"('warm', 'uniform')",0.004587264850750698,0.03904318240262694,0.0010686803948331454,0.0021111506735505313,0.0014074337823670206,0.03375220066069274,0.005290981741934207,,0.9563695527466224
"('warm', 'calfskin')",,0.15031347962382446,,,,0.11489028213166144,0.03542319749216301,,0.8496865203761755
"('warm', 'toe')",0.0037500828198502615,0.06712383224011131,,,0.0037500828198502615,0.04552441529185715,0.02159941694825416,,0.9291260849400385
"('warm', 'nose')",0.006777558612754369,0.06665391237345566,,0.005017655332731396,0.001759903280022974,0.05178505265803685,0.014868859715418814,,0.9265685290137899
"('warm', 'scarf')",0.006099302541990289,0.06345301602218598,0.0030496512709951443,0.0015248256354975722,0.0015248256354975722,0.05292665174088099,0.010526364281304993,,0.9304476814358238
"('warm', 'gown')",0.0026349443259112175,0.054737146633090164,0.0008103727714748784,,0.001824571554436339,0.037505629871688234,0.01723151676140193,,0.9426279090409986
"('warm', 'head')",0.003183013340487446,0.05058526200843482,0.0013154907847036754,0.001081101640644242,0.0007864209151395292,0.04042762533886978,0.01015763666956504,,0.9462317246510777
"('warm', 'vest')",0.0014577259475218659,0.042967904566692555,,0.0014577259475218659,,0.03932677250563357,0.0036411320610589834,,0.9555743694857856
"('warm', 'taffeta')",,0.06677780865055108,,,,0.058395850699268316,0.008381957951282763,,0.933222191349449
"('warm', 'waist')",0.004483101898555962,0.06276342657978347,0.0014943672995186542,0.0029887345990373083,,0.055417968325621306,0.007345458254162168,,0.9327534715216605
"('warm', 'tea')",0.0038112719301628107,0.047849579407217034,0.0021407777445797463,0.0008327388424201937,0.0008377553431628702,0.03771330406582045,0.010136275341396581,,0.9483391486626201
"('warm', 'leotard')",0.0093717904827114,0.0187435809654228,,,0.0093717904827114,0.0187435809654228,,,0.9718846285518659
"('warm', 'coverall')",,0.05839727195225916,,,,0.04379795396419438,0.01459931798806479,,0.9416027280477408
"('warm', 'mitten')",0.0036496350364963502,0.043795620437956206,0.0036496350364963502,,,0.021897810218978103,0.021897810218978103,,0.9525547445255474
"('warm', 'coffee')",0.004911260034683866,0.04510043203492371,0.002334086563648994,0.0012704198163177077,0.0013067536547171636,0.03713208777104619,0.007968344263877528,,0.9499883079303924
"('warm', 'underwear')",0.004581497520342415,0.04927454819087704,0.0010265530873099383,0.0020531061746198766,0.0015018382584126,0.04051085557619026,0.008763692614686784,,0.9461439542887806
"('warm', 'fireplace')",0.011371689968429868,0.0637966303717544,0.005685844984214934,0.002842922492107467,0.002842922492107467,0.05033502995940983,0.013461600412344565,,0.9248316796598157
"('warm', 'undergarment')",0.010256679991584262,0.061540079949505576,0.010256679991584262,,,0.061540079949505576,,,0.9282032400589102
"('warm', 'flannel')",0.013812654563001387,0.09778937209723143,0.0038980034984015923,0.006016647566198203,0.0038980034984015923,0.07829935460522347,0.01949001749200796,,0.8883979733397671
"('warm', 'cheesecloth')",0.006646352234587529,0.10296325737502209,0.006646352234587529,,,0.0930489312842254,0.00991432609079668,,0.8903903903903904
"('warm', 'dress')",0.0034090337702724132,0.050012860629455286,0.0009887213246641733,0.001431591120944067,0.0009887213246641733,0.041763201967966394,0.008249658661488893,,0.9465781056002723
"('warm', 'wool')",0.0066054989634292465,0.07325840970040376,0.0037562600405834277,0.002849238922845819,,0.06004741177354526,0.013210997926858493,,0.9201360913361669
"('warm', 'costume')",0.0026309899868621344,0.03522109712282452,0.0013154949934310672,,0.0013154949934310672,0.03069118157076936,0.004529915552055162,,0.9621479128903134
"('warm', 'bathtub')",0.0037040152171943946,0.062493799683406445,0.0014697446116553013,0.0022342706055390933,,0.050735842790164035,0.01175795689324241,,0.9338021850993992
"('warm', 'heat')",0.012209818737152751,0.08075955698776482,0.005426586105401223,0.004069939579050917,0.0027132930527006115,0.06114236338843326,0.019617193599331558,,0.9070306242750824
"('warm', 'boot')",0.0024985910394221,0.037402246932168315,0.0014799228259841125,,0.0010186682134379873,0.030463887414793882,0.006938359517374438,,0.9600991620284096
"('warm', 'kettle')",0.00956400229354114,0.07349099991393303,0.0027098584223636153,0.002773115112126329,0.004081028759051193,0.0606093440326926,0.012881655881240427,,0.9169449977925259
"('warm', 'comforter')",0.012024482714304074,0.11021237630124663,0.00801632180953605,,0.004008160904768025,0.0901715717774065,0.020040804523840123,,0.8777631409844493
"('warm', 'coat')",0.008372798464729006,0.09144303092209119,0.004186399232364503,0.0009363295880149813,0.003250069644349522,0.07475160182003901,0.016691429102052187,,0.9001841706131799
"('warm', 'dragon')",0.0013044290413129697,0.040287424995648045,0.00025425883549453347,,0.0010501702058184365,0.03412708413724121,0.006160340858406832,,0.958408145963039
"('warm', 'tile')",0.008648846744084839,0.04602716507478412,0.0021622116860212097,0.0021622116860212097,0.004324423372042419,0.035523030761126,0.010504134313658122,,0.9453239881811311
"('warm', 'glove')",0.004093523286847348,0.038801388314601115,0.0024972120938741246,0.0015963111929732236,,0.03241614354270821,0.006385244771892894,,0.9571050883985516
"('warm', 'wig')",0.003317095836406967,0.06569536485960444,,0.003317095836406967,,0.05644741188302033,0.009247952976584102,,0.9309875393039886
"('warm', 'towel')",0.009491315136476428,0.07669561621174524,0.005148883374689826,0.0014474772539288668,0.0028949545078577337,0.06110421836228288,0.015591397849462365,,0.9138130686517782
"('warm', 'attire')",0.003162245259067105,0.05411611349019022,0.0006119951040391676,0.002550250155027937,,0.04646536302510641,0.007650750465083813,,0.9427216412507426
"('warm', 'smoke')",0.009035781510542955,0.07469734788901047,,0.005021415427980441,0.004014366082562514,0.0644715993296966,0.010225748559313876,,0.9162668706004465
"('warm', 'toilet')",0.003383723450368444,0.0521788307325531,0.0011710283918508887,0.0005208333333333333,0.001691861725184222,0.041768936931079324,0.010409893801473776,,0.9444374458170784
"('warm', 'casserole')",0.017179807442102523,0.14508613062711426,0.007240176945094979,0.001366120218579235,0.008573510278428313,0.12095290137913088,0.024133229247983345,,0.8377340619307833
"('warm', 'chiffon')",0.004728604728604729,0.08471528471528472,,0.004728604728604729,,0.07309357309357309,0.011621711621711623,,0.9105561105561106
"('warm', 'sunglass')",,0.09143679762236463,,,,0.08177765394260239,0.009659143679762236,,0.9085632023776353
"('warm', 'space')",0.0019499259566744414,0.03581571656621368,0.0004494206931119351,,0.0015005052635625063,0.03007126192516863,0.0057444546410450464,,0.962234357477112
"('warm', 'kimono')",,0.07006689663840901,,,,0.05685166822619164,0.013215228412217365,,0.929933103361591
"('warm', 'drink')",0.004190822169133417,0.05514729917281369,0.0010787229282002652,0.0020424374320738687,0.001069661808859283,0.044353794898576174,0.010793504274237526,,0.940661878658053
"('warm', 'leather')",0.006107777226308111,0.07636751943930575,0.0008347245409015025,0.0035374272436042055,0.0017356254418024034,0.06081306682308352,0.015554452616222233,,0.9175247033343861
"('warm', 'river')",0.0018260935659179872,0.04798198609052559,0.0006802721088435374,,0.00114582145707445,0.03741876638923726,0.010563219701288335,,0.9501919203435565
"('warm', 'stove')",0.013984679846222516,0.08904359428469952,0.006215413264987785,0.0046615599487408385,0.0031077066324938923,0.06812716879526573,0.020916425489433798,,0.8969717258690779
"('warm', 'headgear')",0.006206317793531903,0.048905283198476916,0.0011961722488038277,0.002505072772364037,0.002505072772364037,0.03768881986021694,0.011216463338259977,,0.9448883990079912
"('warm', 'flame')",0.006896005072923272,0.05511519763263581,0.0019639963362220814,0.002466004368350595,0.002466004368350595,0.04424716409497639,0.01086803353765941,,0.937988797294441
"('warm', 'shoe')",0.002376123986037068,0.03359142920013203,,0.0015840826573580453,0.0007920413286790226,0.02846660298662719,0.005124826213504836,,0.9640324468138308
"('warm', 'outfit')",0.003396461869008634,0.03769242582085773,0.0013585847476034539,0.0013585847476034539,0.0006792923738017269,0.03157879445664219,0.006113631364215542,,0.9589111123101337
"('warm', 'jumpsuit')",0.0030723703431441846,0.06931210947439848,,0.0030723703431441846,,0.0631673687881101,0.006144740686288369,,0.9276155201824573
"('warm', 'heating')",0.018633583541840422,0.06048790658882402,0.010647762023908814,0.0026619405059772035,0.005323881011954407,0.04717820405893801,0.013309702529886017,,0.9208785098693355
"('warm', 'outerwear')",0.0035971223021582736,0.08992805755395683,0.0035971223021582736,,,0.07194244604316546,0.017985611510791366,,0.9064748201438849
"('warm', 'shalwar')",,,,,,,,,1.0
"('warm', 'turban')",,0.056750954198473286,,,,0.04633826335877862,0.010412690839694656,,0.9432490458015267
"('warm', 'poncho')",0.006690160541477877,0.10534765340940874,0.0033450802707389385,0.0033450802707389385,,0.08697208703921239,0.018375566370196342,,0.8879621860491134
"('warm', 'nightgown')",0.013761757464806516,0.07339603981230142,0.0045872524882688386,0.009174504976537677,,0.06880878732403257,0.0045872524882688386,,0.9128422027228921
"('warm', 'bed')",0.0038203247007253063,0.05101689196250743,0.0019101623503626531,0.0011355865903437813,0.0007745757600188716,0.04058639625193719,0.010430495710570243,,0.9451627833367673
"('warm', 'vinyl')",0.006242448281054322,0.050684199508610334,0.002734227236502393,0.002734227236502393,0.0007739938080495357,0.0405212843706503,0.010162915137960036,,0.9430733522103354
"('warm', 'brogue')",,0.038470643939393936,,,,0.030776515151515152,0.007694128787878788,,0.9615293560606061
"('warm', 'loincloth')",,0.1480033364612658,,,,0.12634240433739966,0.021660932123866126,,0.8519966635387343
"('warm', 'stocking')",0.0006305170239596469,0.06028061493837269,0.0006305170239596469,,,0.05270743810872783,0.007573176829644859,,0.9390888680376677
"('warm', 'helmet')",0.002469228855908889,0.05065310952492218,0.0012346144279544444,0.0012346144279544444,,0.04282257882161404,0.007830530703308134,,0.946877661619169
"('warm', 'headdress')",0.0034273816208122776,0.061470615758936926,0.0034273816208122776,,,0.05301328841474827,0.008457327344188657,,0.9351020026202508
"('warm', 'footwear')",0.0017258034115540475,0.05272830081990387,0.0017258034115540475,,,0.04487088870040524,0.007857412119498634,,0.9455458957685421
"('warm', 'sleeve')",0.0068081789840454794,0.055227626994315056,0.0017020447460113699,0.0034040894920227397,0.0017020447460113699,0.04425316339629562,0.01097446359801944,,0.9379641940216394
"('warm', 'legging')",,0.0531015037593985,,,,0.03540100250626566,0.01770050125313283,,0.9468984962406015
"('warm', 'juice')",0.01651077097505669,0.1384637188208617,0.0037556689342403624,0.002976190476190476,0.009778911564625849,0.11139455782312925,0.02706916099773243,,0.8450255102040817
"('warm', 'sheepskin')",0.011190929306871336,0.10626590264271424,0.005595464653435668,0.005595464653435668,,0.07072083847446166,0.03554506416825257,,0.8825431680504144
"('warm', 'water')",0.006067668718418492,0.056815549670056954,0.0029412947284270276,0.0016557266257779505,0.0014706473642135138,0.04265932044846414,0.014156229221592818,,0.9371167816115246
"('warm', 'sandal')",,0.06738944508728681,,,,0.06738944508728681,,,0.9326105549127132
"('warm', 'deerskin')",0.01518288474810214,0.15113871635610765,,0.01518288474810214,,0.10559006211180125,0.045548654244306416,,0.8336783988957902
"('warm', 'lava')",0.010100250626566415,0.06113408521303258,,0.0050501253132832075,0.0050501253132832075,0.04884085213032581,0.012293233082706766,,0.928765664160401
"('warm', 'turtleneck')",0.00871938736826143,0.10027295473500644,0.004359693684130715,0.004359693684130715,,0.07411479263022216,0.02615816210478429,,0.8910076578967321
"('warm', 'garment')",0.0015140749955167945,0.030813809635146516,,0.0015140749955167945,,0.0225613064174534,0.008252503217693111,,0.9676721153693367
"('warm', 'denim')",0.002813015859944376,0.0397958457950747,0.0008665511265164644,0.0019464647334279115,,0.033956451594790965,0.005839394200283735,,0.9573911383449809
"('warm', 'basement')",0.007011480297596064,0.04025120117191387,0.0030049201275411702,0.0020032800850274465,0.0020032800850274465,0.03278393236018837,0.007467268811725507,,0.95273731853049
"('warm', 'suit')",0.0031854414930291737,0.03497960839519828,0.0010618138310097246,0.0010618138310097246,0.0010618138310097246,0.02872894467505692,0.006250663720141359,,0.9618349501117724
"('warm', 'sweater')",0.004576338680172725,0.059294851852312744,0.0027952687315670926,0.0017810699486056321,,0.04860843216067895,0.010686419691633794,,0.9361288094675145
"('warm', 'sock')",0.010039103190541134,0.06305176373779788,0.0027169479823308525,0.00521016790343539,0.0021119873047748938,0.053478020507809004,0.009573743229988867,,0.926909133071661
"('warm', 'frock')",0.0048923444976076555,0.05631578947368421,,,0.0048923444976076555,0.05631578947368421,,,0.9387918660287082
"('warm', 'winter')",0.006248771022472201,0.053993852329770387,0.003882641457632275,0.0004248088360237893,0.0019413207288161375,0.04180007642848928,0.012193775901281106,,0.9397573766477574
"('warm', 'cloth')",0.004988676496207023,0.06355415485485327,0.0015342159859366834,0.001995470598482809,0.00145898991178753,0.05112007665141029,0.012434078203442979,,0.9314571686489397
"('warm', 'dad')",0.0011942646994315923,0.03247084027275647,,,0.0011942646994315923,0.02834397653354766,0.004126863739208814,,0.9663348950278119
"('warm', 'undershirt')",0.0058997563522450395,0.09439610163592063,,0.0058997563522450395,,0.07669683257918553,0.01769926905673512,,0.8997041420118344
"('warm', 'sun')",0.010578355681972098,0.043165041311120145,0.005289177840986049,0.0026445889204930245,0.0026445889204930245,0.03601009074901801,0.007154950562102126,,0.9462566030069077
"('warm', 'cape')",,0.05247055061030862,,,,0.03783913437450029,0.014631416235808326,,0.9475294493896913
"('warm', 'parka')",0.02232905982905983,0.11005799755799756,0.00956959706959707,0.00956959706959707,0.00318986568986569,0.08931623931623932,0.020741758241758244,,0.8676129426129426
"('warm', 'jungle')",0.0034398466833541926,0.03814924906132666,,0.0022932311222361285,0.0011466155611180643,0.03074872236128494,0.007400526700041718,,0.9584109042553192
"('warm', 'vapor')",0.01966034640806677,0.0781740000964925,0.00737262990302504,0.00737262990302504,0.0049150866020166925,0.05624306460172722,0.021930935494765283,,0.9021656534954408
"('warm', 'hat')",,0.09834834834834835,,,,0.08689939939939939,0.011448948948948948,,0.9016516516516516
"('warm', 'shawl')",0.006098978235201146,0.08533920917821847,0.003049489117600573,0.003049489117600573,,0.0700917635902156,0.015247445588002864,,0.9085618125865804
"('black', 'bear')",0.004644968539979702,0.032122769819759873,0.004644968539979702,,,0.02507395512593401,0.007048814693825856,,0.9632322616402604
"('black', 'football')",0.0006459948320413437,0.017395362122450065,0.0006459948320413437,,,0.014818025414665578,0.002577336707784487,,0.9819586430455086
"('black', 'tyre')",,0.04427434170238824,,,,0.035701163502755665,0.008573178199632579,,0.9557256582976117
"('black', 'leopard')",0.005644131644925602,0.05413141259613861,0.002822065822462801,0.002822065822462801,,0.044494101464338943,0.009637311131799654,,0.9402244557589359
