pair,prop-specific,non-specific,p,l,n,i,r,b,u
"('square', 'refrigerator')",,0.0635569690544702,,,,0.06196804482810843,0.0015889242263617547,,0.9364430309455298
"('square', 'lounge')",,0.05073207443897099,,,,0.04878215654077723,0.00194991789819376,,0.949267925561029
"('square', 'typewriter')",,0.07034225876730621,,,,0.07034225876730621,,,0.9296577412326938
"('square', 'page')",,0.03645701673785926,,,,0.034599532864327244,0.0018574838735320178,,0.9635429832621406
"('square', 'window')",,0.04521507990233021,,,,0.04329041848477577,0.0019246614175544355,,0.9547849200976698
"('square', 'lavatory')",,0.06942215088282504,,,,0.06942215088282504,,,0.930577849117175
"('square', 'footrest')",,0.09615384615384616,,,,0.07692307692307693,0.019230769230769232,,0.9038461538461539
"('square', 'floor')",,0.042620621362037175,,,,0.04082609430726747,0.0017945270547697063,,0.9573793786379629
"('square', 'notebook')",,0.06521259872709148,,,,0.0625431331953071,0.0026694655317843724,,0.9347874012729085
"('square', 'cube')",,0.05329003230319197,,,,0.04965428294639681,0.0036357493567951674,,0.946709967696808
"('square', 'apartment')",,0.04321152307281942,,,,0.041976908127881726,0.0012346149449376977,,0.9567884769271806
"('square', 'hallway')",,0.05974519735987626,,,,0.057147580083359906,0.0025976172765163593,,0.9402548026401237
"('square', 'snack')",,0.03681570146101039,,,,0.035938508478554246,0.0008771929824561404,,0.9631842985389896
"('square', 'bookmark')",,0.07972294309880815,,,,0.07972294309880815,,,0.9202770569011918
"('square', 'dresser')",,0.076676436628475,,,,0.07180921929123368,0.004867217337241318,,0.923323563371525
"('square', 'dumbwaiter')",,0.08928571428571429,,,,0.08928571428571429,,,0.9107142857142857
"('square', 'bedroom')",,0.0633727557708749,,,,0.06168424052436592,0.0016885152465089769,,0.9366272442291251
"('square', 'sharpener')",,0.05172413793103448,,,,0.05172413793103448,,,0.9482758620689655
"('square', 'box')",,0.04612404422058232,,,,0.04432386210931939,0.001800182111262933,,0.9538759557794178
"('square', 'kitchen')",,0.04975616318568594,,,,0.0476384264397583,0.002117736745927645,,0.950243836814314
"('square', 'tart')",,0.04399589574673882,,,,0.04149248565005172,0.0025034100966870943,,0.9560041042532612
"('square', 'desk')",,0.05693685488767456,,,,0.05510018214936248,0.0018366727383120826,,0.9430631451123255
"('square', 'diskette')",,0.08813660599374885,,,,0.08813660599374885,,,0.9118633940062512
"('square', 'bathroom')",,0.05293507794992325,,,,0.050581977185996004,0.002353100763927242,,0.9470649220500768
"('square', 'suite')",,0.046610633043780735,,,,0.0450332735983337,0.0015773594454470258,,0.9533893669562193
"('square', 'workspace')",,0.06030150753768844,,,,0.06030150753768844,,,0.9396984924623115
"('square', 'playroom')",,0.07191308841896722,,,,0.07191308841896722,,,0.9280869115810328
"('square', 'recliner')",,0.07770625028534904,,,,0.07094918504314476,0.006757065242204264,,0.922293749714651
"('square', 'sunroom')",,0.08032258064516129,,,,0.08032258064516129,,,0.9196774193548387
"('square', 'photocopier')",,0.10059171597633136,,,,0.10059171597633136,,,0.8994082840236687
"('square', 'file')",,0.03729073490394939,,,,0.03729073490394939,,,0.9627092650960506
"('square', 'restroom')",,0.05188999953025063,,,,0.05031757530206121,0.001572424228189413,,0.9481100004697494
"('square', 'cupboard')",,0.05771002364118672,,,,0.05771002364118672,,,0.9422899763588133
"('square', 'clipboard')",,0.06961489935195275,,,,0.06961489935195275,,,0.9303851006480472
"('square', 'marble')",,0.05385340317592346,,,,0.0501241785408972,0.003729224635026257,,0.9461465968240765
"('square', 'couch')",,0.045750729512477335,,,,0.04332046091739392,0.0024302685950834007,,0.9542492704875226
"('square', 'locker')",,0.05796653674303641,,,,0.051050480083658145,0.0069160566593782676,,0.9420334632569636
"('square', 'fireplace')",,0.061840424816831344,,,,0.05990791154130537,0.0019325132755259795,,0.9381595751831686
"('square', 'armrest')",,0.09826589595375723,,,,0.09248554913294797,0.005780346820809248,,0.9017341040462428
"('square', 'desktop')",,0.07426716506000394,,,,0.0703358727875881,0.003931292272415828,,0.925732834939996
"('square', 'cubicle')",,0.07284409328555483,,,,0.07113023556364918,0.001713857721905657,,0.9271559067144453
"('square', 'phone')",,0.03488053221629036,,,,0.03488053221629036,,,0.9651194677837096
"('square', 'macintosh')",,0.04560260586319218,,,,0.04560260586319218,,,0.9543973941368078
"('square', 'hardware')",,0.039648550108467066,,,,0.038915412278555044,0.0007331378299120235,,0.9603514498915329
"('square', 'laptop')",,0.07418735826016165,,,,0.07332528929464441,0.0008620689655172414,,0.9258126417398383
"('square', 'shelf')",,0.0650557858641691,,,,0.060923025743385026,0.004132760120784073,,0.9349442141358308
"('square', 'card')",,0.03538448438988233,,,,0.03402457296889719,0.0013599114209851449,,0.9646155156101177
"('square', 'workroom')",,0.1016949152542373,,,,0.1016949152542373,,,0.8983050847457628
"('square', 'blackboard')",,0.056236733956555124,,,,0.05349320326965633,0.002743530686898794,,0.943763266043445
"('square', 'table')",,0.042660471003111156,,,,0.04063094796099115,0.0020295230421200137,,0.9573395289968888
"('square', 'doorbell')",,0.053463152985074626,,,,0.053463152985074626,,,0.9465368470149254
"('square', 'washroom')",,0.06060606060606061,,,,0.06060606060606061,,,0.9393939393939394
"('square', 'armoire')",,0.10204081632653061,,,,0.09693877551020408,0.00510204081632653,,0.8979591836734694
"('square', 'foyer')",,0.0875592661306947,,,,0.08502112966398681,0.0025381364667078953,,0.9124407338693052
"('square', 'stairwell')",,0.0564043082021541,,,,0.05405412869373101,0.0023501795084230875,,0.9435956917978459
"('square', 'toilet')",,0.06119128545160751,,,,0.058204713879757064,0.0029865715718504484,,0.9388087145483925
"('square', 'drawer')",,0.0638510576644451,,,,0.06044624746450304,0.003404810199942046,,0.9361489423355549
"('square', 'sideboard')",,0.10502725620835857,,,,0.10502725620835857,,,0.8949727437916415
"('square', 'cabinet')",,0.023443001605588577,,,,0.023443001605588577,,,0.9765569983944113
"('square', 'console')",,0.07615739354375037,,,,0.07269569383721627,0.0034616997065341076,,0.9238426064562496
"('square', 'screen')",,0.0480868055852451,,,,0.04623731306273568,0.001849492522509427,,0.9519131944147549
"('square', 'rack')",,0.08421607342527111,,,,0.07848413594352328,0.005731937481747825,,0.9157839265747288
"('square', 'floppy')",,0.1296551724137931,,,,0.1296551724137931,,,0.8703448275862069
"('square', 'countertop')",,0.07643346556076452,,,,0.07218716191849982,0.004246303642264695,,0.9235665344392354
"('square', 'bookshelf')",,0.08599716260677956,,,,0.08354010081801443,0.0024570617887651304,,0.9140028373932204
"('square', 'tray')",,0.06566326530612246,,,,0.0639795918367347,0.0016836734693877551,,0.9343367346938776
"('square', 'button')",,0.08377399138268704,,,,0.08377399138268704,,,0.916226008617313
"('square', 'balcony')",,0.04723943653960462,,,,0.04386640994502479,0.003373026594579836,,0.9527605634603953
"('square', 'folder')",,0.08827589277762934,,,,0.08827589277762934,,,0.9117241072223706
"('square', 'classroom')",,0.043031441201909215,,,,0.04152685235608802,0.0015045888458211872,,0.9569685587980907
"('square', 'mainframe')",,0.03922578184591914,,,,0.03922578184591914,,,0.9607742181540808
"('square', 'workstation')",,0.07238331591779867,,,,0.07238331591779867,,,0.9276166840822013
"('square', 'room')",,0.0469918525179642,,,,0.045509390031888225,0.0014824624860759778,,0.9530081474820359
"('square', 'luggage')",,0.04447814431115958,,,,0.042970737913486004,0.001507406397673573,,0.9555218556888405
"('square', 'pantry')",,0.04339046734151629,,,,0.04339046734151629,,,0.9566095326584837
"('square', 'bookcase')",,0.11581303760017242,,,,0.1095528734055685,0.006260164194603915,,0.8841869623998275
"('square', 'basement')",,0.054008097165991906,,,,0.05248698669751302,0.0015211104684788896,,0.945991902834008
"('square', 'cafeteria')",,0.045187847369033834,,,,0.042712220649423066,0.0024756267196107628,,0.9548121526309662
"('square', 'computer')",,0.04180093470393012,,,,0.04180093470393012,,,0.9581990652960699
"('square', 'closet')",,0.049868363427685455,,,,0.04727758117588626,0.002590782251799201,,0.9501316365723145
"('square', 'kitchenette')",,0.0999697519661222,,,,0.0999697519661222,,,0.9000302480338778
"('square', 'parlor')",,0.06800486618004867,,,,0.06276792955625073,0.005236936623797938,,0.9319951338199514
"('square', 'server')",,0.05436875803855696,,,,0.05436875803855696,,,0.945631241961443
"('square', 'dining')",,0.05095846019156137,,,,0.04864169138496518,0.002316768806596192,,0.9490415398084386
"('square', 'keypad')",,0.08791251255893037,,,,0.08791251255893037,,,0.9120874874410696
"('square', 'newspaper')",,0.03910226978408796,,,,0.03670065661172381,0.0024016131723641606,,0.9608977302159122
"('square', 'wallpaper')",,0.0616265298065535,,,,0.05910777733912357,0.0025187524674299246,,0.9383734701934465
"('warm', 'blouse')",,0.05855040937462424,,,,0.05028366546058745,0.008266743914036794,,0.9414495906253757
"('warm', 'topcoat')",,0.11696306429548564,,,,0.08187414500683995,0.03508891928864569,,0.8830369357045144
"('warm', 'tunic')",,0.08635847986386841,,,,0.075971355643789,0.01038712422007941,,0.9136415201361316
"('warm', 'candle')",0.012732251735359553,0.05405631545961453,0.005092900694143821,0.005092900694143821,0.0025464503470719103,0.03990562400794292,0.01415069145167161,,0.9332114328050259
"('warm', 'feather')",0.0011971179545287227,0.05773373407977159,0.0011971179545287227,,,0.049920364731225554,0.007813369348546033,,0.9410691479656997
"('warm', 'cassock')",,0.0583373845405931,,,,0.05000347246336551,0.008333912077227584,,0.9416626154594069
"('warm', 'tortilla')",0.018731435437039014,0.1053424223208624,0.008673196942896238,0.004276107198878617,0.00578213129526416,0.09227213563394854,0.01307028668691386,,0.8759261422420985
"('warm', 'overcoat')",0.006907335438426038,0.08405695895069226,0.006907335438426038,,,0.07163893611853292,0.012418022832159339,,0.9090357056108818
"('warm', 'jean')",,0.00844787127053302,,,,0.00844787127053302,,,0.991552128729467
"('warm', 'skirt')",0.003088016813513976,0.05200504094611675,0.0016959379114668029,0.00047551117451260106,0.0009165677275345726,0.04236603737471618,0.009639003571400573,,0.9449069422403693
"('warm', 'mask')",0.006475412289365778,0.04633204633204633,0.002458771063422226,0.0030124809194576638,0.001004160306485888,0.03639370267277244,0.009938343659273891,,0.9471925413785879
"('warm', 'bathrobe')",0.0033787254443138105,0.06419578344196239,0.0033787254443138105,,,0.052353122467382746,0.011842660974579658,,0.9324254911137237
