,all,relation,weapon,no-cat,animal,food,cutlery,object,communication,vehicle,measure,tool,mean,median
oar,0.13163146176901047,0.0,0.0,0.0,0.0,0.0,0.0,0.13163146176901047,0.0,0.0,0.0,0.0,0.021938576961501744,0.0
bridge,0.018772126007687646,0.03521330938893923,0.0,0.0,0.0,0.0,0.0,0.018772126007687646,0.0,0.0,0.0,0.0,0.006063130117026211,0.0
spade,0.007454337071866816,0.014003546365437103,0.0,0.0,0.0,0.0,0.0,0.007454337071866816,0.0,0.0,0.0,0.0110611861250082,0.003331117219514911,0.0
joist,0.017991545125267662,0.0,0.0,0.0,0.0,0.0,0.0,0.017991545125267662,0.0,0.0,0.0,0.0,0.002998590854211277,0.0
paddle,0.10063341934661374,0.0,0.0,0.0,0.0,0.0,0.0,0.10063341934661374,0.0,0.0,0.0,0.0,0.016772236557768955,0.0
bookcase,0.07337646421420874,0.0,0.0,0.0,0.0,0.0,0.0,0.07337646421420874,0.0,0.0,0.0,0.0,0.012229410702368123,0.0
ladder,0.018470781735266766,0.0,0.0,0.0,0.0,0.0,0.0,0.018470781735266766,0.0,0.0,0.0,0.0,0.003078463622544461,0.0
violin,0.0013930085966335909,0.0,0.0,0.0,0.0,0.0,0.0,0.0013930085966335909,0.0,0.0,0.0,0.0,0.00023216809943893182,0.0
stool,0.11284287155859127,0.18094807909648963,0.0,0.0,0.0,0.0,0.0,0.11284287155859127,0.0,0.0,0.0,0.0,0.03388615185113935,0.0
girder,0.005652144992014505,0.0,0.0,0.0,0.0,0.0,0.0,0.005652144992014505,0.0,0.0,0.0,0.0,0.0009420241653357508,0.0
rudder,0.0018186075663276743,0.0,0.0,0.0,0.0,0.0,0.0,0.0018186075663276743,0.0,0.0,0.0,0.0,0.0003031012610546124,0.0
stick,0.033440520768791504,0.053413528375153854,0.0,0.0,0.0,0.03857555541199176,0.0,0.033440520768791504,0.0,0.0,0.0,0.0,0.013239177110394051,0.0
wood,0.007511528563578473,0.013694339572705144,0.0,0.0,0.0,0.0,0.0,0.007511528563578473,0.0,0.0,0.0,0.0,0.002393116391655174,0.0
kayak,0.001724177448091143,0.0,0.0,0.0,0.0,0.0,0.0,0.001724177448091143,0.0,0.0023704845824363196,0.0,0.0,0.0004849032898848838,0.0
arrow,0.006259508243123002,0.0,0.007543324360003482,0.0,0.0,0.0,0.0,0.006259508243123002,0.00902284916478986,0.0,0.0,0.0,0.002423765834253279,0.0
ladle,0.005645999413223589,0.0,0.0,0.0,0.0,0.0,0.0,0.005645999413223589,0.0,0.0,0.0,0.0,0.0009409999022039314,0.0
corkscrew,0.008441972030196821,0.0,0.0,0.0,0.0,0.0,0.0,0.008441972030196821,0.0,0.0,0.0,0.009290712432160272,0.002181221374379493,0.0
bow,0.007618287152952397,0.0,0.00885948572368557,0.0,0.0,0.0,0.0,0.007618287152952397,0.010683027616943983,0.0,0.0,0.0,0.0028982573038778617,0.0
lath,0.10598254281865781,0.0,0.0,0.0,0.0,0.0,0.0,0.10598254281865781,0.0,0.0,0.0,0.0,0.017663757136442967,0.0
hardboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plunger,0.07122474236024337,0.0,0.0,0.0,0.0,0.0,0.0,0.07122474236024337,0.0,0.0,0.0,0.08700628950886667,0.019121314519112784,0.0
boat,0.05997350909445411,0.0,0.0,0.0,0.0,0.0,0.0,0.05997350909445411,0.0,0.06856350230022674,0.0,0.0,0.015709210040761246,0.0
fence,0.044041701893622234,0.0,0.0,0.0,0.0,0.0,0.0,0.044041701893622234,0.0,0.0,0.0,0.0,0.007340283648937039,0.0
plough,0.00011027935948483843,0.0,0.0,0.0,0.0,0.0,0.0,0.00011027935948483843,0.0,0.0,0.0,0.00020464669347273662,3.543378437020112e-05,0.0
beam,0.026969604963507594,0.0,0.0,0.0,0.0,0.0,0.0,0.026969604963507594,0.03990315204808979,0.0,0.0,0.0,0.007820196831258749,0.0
flute,0.03427556186557716,0.0,0.0,0.0,0.0,0.0,0.0,0.03427556186557716,0.0,0.0,0.0,0.0,0.00571259364426286,0.0
brush,0.005261284306023157,0.0,0.0,0.0,0.0,0.0,0.0,0.005261284306023157,0.0,0.0,0.0,0.0,0.0008768807176705262,0.0
pin,0.002996999395040413,0.0,0.0,0.0,0.0,0.0,0.0,0.002996999395040413,0.0044074507405533645,0.0,0.0,0.0,0.0008667874608861825,0.0
rope,0.01226201708027594,0.0,0.0,0.0,0.0,0.0,0.0,0.01226201708027594,0.0,0.0,0.0,0.0,0.0020436695133793236,0.0
anchor,0.0015032513551936156,0.0,0.0,0.0,0.0,0.0,0.0,0.0015032513551936156,0.0,0.0,0.0,0.0,0.00025054189253226924,0.0
wire,0.0024065917433254277,0.0,0.0,0.0,0.0,0.0,0.0,0.0024065917433254277,0.002873453772188133,0.0,0.0,0.0,0.000640553104903249,0.0
knife,0.0052518284458726435,0.0,0.006405432530753422,0.0,0.0,0.0,0.007589769782736209,0.0052518284458726435,0.0,0.0,0.0,0.005101960968392265,0.002466735014468932,0.0
cushion,0.0007844177556668048,0.0,0.0,0.0,0.0,0.0,0.0,0.0007844177556668048,0.0,0.0,0.0,0.0,0.00013073629261113414,0.0
saxophone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cymbal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blade,0.005018485133969278,0.0,0.005246294003767996,0.0,0.0,0.006598869759073351,0.0,0.005018485133969278,0.0,0.0,0.0,0.0049603514728689445,0.002236873791970737,0.0
fuselage,0.0047431229864655505,0.0,0.0,0.0,0.0,0.0,0.0,0.0047431229864655505,0.0,0.0,0.0,0.0,0.0007905204977442584,0.0
trumpet,0.0045957621783768166,0.0,0.0,0.0,0.0,0.0,0.0,0.0045957621783768166,0.0,0.0,0.0,0.0,0.0007659603630628028,0.0
rail,0.003949900993427061,0.0,0.0,0.0041766542130084235,0.005499440956178715,0.0,0.0,0.003949900993427061,0.0,0.0,0.0,0.0,0.0014646580963367717,0.0
date,0.000967953157736599,0.0,0.0,0.0010896912329785063,0.0,0.0013637830218086733,0.0,0.000967953157736599,0.0,0.0,0.001350375075646826,0.0,0.00047831297049226695,0.0
sword,0.008451811757890929,0.0,0.010338120466663447,0.0,0.0,0.0,0.0,0.008451811757890929,0.0,0.0,0.0,0.0,0.002270145331870442,0.0
pedal,0.001473750590283321,0.0,0.0,0.0,0.0,0.0,0.0,0.001473750590283321,0.0018185275448448044,0.0,0.0,0.0,0.00039716906045095387,0.0
wheelbarrow,0.029573195332373875,0.0,0.0,0.0,0.0,0.0,0.0,0.029573195332373875,0.0,0.036675156214834546,0.0,0.0,0.00798512890663186,0.0
windshield,0.0004496846690023761,0.0,0.0,0.0,0.0,0.0,0.0,0.0004496846690023761,0.0,0.0,0.0,0.0,7.494744483372935e-05,0.0
pulley,0.00855656535717261,0.0,0.0,0.0,0.0,0.0,0.0,0.00855656535717261,0.0,0.0,0.0,0.0,0.001426094226195435,0.0
cannon,0.0020975652474889087,0.0,0.002650258735618212,0.0,0.0,0.0,0.0,0.0020975652474889087,0.0,0.0,0.0,0.0,0.0005704491025496692,0.0
laptop,0.0008062889095108215,0.0,0.0,0.0,0.0,0.0,0.0,0.0008062889095108215,0.0,0.0,0.0,0.0,0.00013438148491847025,0.0
washtub,0.03297660351895941,0.0,0.0,0.0,0.0,0.0,0.0,0.03297660351895941,0.0,0.0,0.0,0.0,0.005496100586493235,0.0
strap,0.0028329740359142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0028329740359142857,0.0,0.0,0.0,0.0,0.0004721623393190476,0.0
trowel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wheel,0.003371144935641865,0.0,0.0,0.0,0.0,0.0,0.0,0.003371144935641865,0.0,0.00525163743685507,0.0,0.0,0.0009994939423449,0.0
screw,0.0026426960176856975,0.0,0.0,0.0,0.0,0.0,0.0,0.0026426960176856975,0.0,0.0,0.0,0.0,0.0004404493362809496,0.0
eyelet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
holster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rock,0.0013067818485198914,0.0014063031980826918,0.0,0.0,0.0,0.0018980638259981587,0.0,0.0013067818485198914,0.001518026260455181,0.0,0.0,0.0,0.0006196630817979846,0.0
deal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gun,0.0012148308374087305,0.0,0.001447400584864202,0.0013031308183146574,0.0,0.0,0.0,0.0012148308374087305,0.0,0.0,0.0,0.0,0.0004316827564996934,0.0
saw,0.0031702230519541326,0.0,0.0,0.0,0.0,0.0,0.0,0.0031702230519541326,0.0036360724795884685,0.0,0.0,0.0025847363501982383,0.0010467712444745811,0.0
chimney,0.0030699270958747886,0.0,0.0,0.0,0.0,0.0,0.0,0.0030699270958747886,0.0,0.0,0.0,0.0,0.0005116545159791314,0.0
bagpipe,0.015887672647679197,0.0,0.0,0.0,0.0,0.0,0.0,0.015887672647679197,0.0,0.0,0.0,0.0,0.002647945441279866,0.0
pen,0.0014373236419124272,0.0,0.0,0.001382147325050375,0.0022070690631226025,0.0,0.0,0.0014373236419124272,0.0,0.0,0.0,0.0,0.0005386553059998194,0.0
