,context,n_concepts,mean_tfidf,mean_diff,evidence
0,from,41,0.02,0.01,-
1,the,39,0.05,0.02,-
2,by,38,0.02,0.01,-
3,gives,37,0.0,0.0,-
4,for,36,0.02,0.01,-
5,just,36,0.01,0.0,-
6,third,36,0.01,0.0,-
7,all,36,0.01,0.01,-
8,at,36,0.01,0.01,-
9,of,36,0.03,0.01,-
10,to,35,0.03,0.01,-
11,exactly,35,0.0,0.0,-
12,still,35,0.01,0.0,-
13,due,34,0.01,0.0,-
14,rolled,34,0.01,0.0,-
15,rest,34,0.01,0.0,-
16,direct,34,0.0,0.0,-
17,determined,34,0.0,0.0,-
18,general,34,0.0,0.0,-
19,again,34,0.01,0.0,-
20,rolled,34,0.01,0.0,-
21,roll,30,0.01,0.01,-
22,rolls,28,0.01,0.01,-
23,rolling,22,0.01,0.01,-
