context,n_concepts, mean_tfidf,min_tfidf,max_tfidf
rescue,18,0.03,0.01,0.19
this,18,0.03,0.02,0.07
or,18,0.06,0.03,0.14
he,18,0.04,0.02,0.1
released,18,0.05,0.01,0.25
from,18,0.05,0.03,0.11
being,18,0.02,0.01,0.08
found,18,0.05,0.02,0.11
range,18,0.05,0.01,0.29
five,18,0.03,0.01,0.06
endemic,17,0.1,0.02,0.24
was,17,0.07,0.04,0.13
on,17,0.09,0.04,0.18
north,17,0.04,0.01,0.18
now,17,0.03,0.01,0.08
south,17,0.04,0.01,0.11
uss,17,0.14,0.03,0.56
two,17,0.1,0.03,0.48
non,17,0.06,0.02,0.29
single,17,0.05,0.02,0.21
american,17,0.05,0.02,0.16
all,17,0.05,0.03,0.13
length,17,0.03,0.01,0.12
after,17,0.03,0.01,0.1
down,17,0.03,0.01,0.06
japanese,17,0.04,0.01,0.18
production,17,0.06,0.01,0.26
only,17,0.04,0.01,0.13
located,17,0.03,0.01,0.19
landing,17,0.03,0.01,0.16
design,16,0.04,0.01,0.18
re,16,0.04,0.02,0.08
known,16,0.06,0.02,0.16
island,16,0.07,0.02,0.32
state,16,0.05,0.01,0.5
war,16,0.03,0.01,0.08
year,16,0.06,0.02,0.15
for,16,0.05,0.03,0.1
version,16,0.02,0.01,0.06
home,16,0.04,0.01,0.26
full,16,0.03,0.01,0.09
not,16,0.03,0.01,0.11
were,16,0.03,0.02,0.12
last,16,0.02,0.01,0.07
would,16,0.03,0.01,0.13
most,16,0.04,0.01,0.13
but,16,0.03,0.02,0.05
group,16,0.04,0.02,0.14
including,16,0.04,0.01,0.11
launch,16,0.02,0.0,0.09
inside,16,0.02,0.01,0.05
cross,16,0.02,0.01,0.08
endangered,16,0.07,0.02,0.35
can,16,0.03,0.01,0.16
into,16,0.04,0.01,0.24
struck,16,0.02,0.01,0.07
series,16,0.05,0.01,0.13
side,16,0.04,0.01,0.24
designed,15,0.06,0.01,0.33
rock,15,0.05,0.01,0.18
best,15,0.03,0.01,0.06
city,15,0.03,0.01,0.12
old,15,0.07,0.02,0.13
out,15,0.04,0.02,0.11
when,15,0.05,0.02,0.24
called,15,0.05,0.02,0.12
way,15,0.04,0.01,0.15
where,15,0.02,0.01,0.08
control,15,0.02,0.01,0.08
listed,15,0.02,0.01,0.07
became,15,0.03,0.01,0.11
could,15,0.02,0.01,0.07
so,15,0.03,0.01,0.11
fleet,15,0.02,0.01,0.07
largest,15,0.04,0.01,0.21
killed,15,0.03,0.01,0.08
some,15,0.03,0.01,0.11
may,15,0.02,0.01,0.06
aviation,15,0.05,0.01,0.27
hole,15,0.02,0.01,0.06
west,14,0.04,0.02,0.09
co,14,0.1,0.03,0.31
great,14,0.06,0.01,0.21
at,14,0.05,0.03,0.11
before,14,0.02,0.01,0.05
off,14,0.05,0.02,0.11
end,14,0.02,0.01,0.06
size,14,0.02,0.01,0.05
later,14,0.04,0.01,0.13
between,14,0.04,0.01,0.14
century,14,0.03,0.01,0.09
another,14,0.02,0.01,0.05
then,14,0.03,0.02,0.12
sister,14,0.02,0.01,0.05
point,14,0.03,0.01,0.13
him,14,0.02,0.01,0.06
command,14,0.06,0.01,0.39
carrying,14,0.02,0.01,0.07
engine,14,0.12,0.01,0.47
made,14,0.04,0.01,0.11
service,14,0.03,0.01,0.08
attacked,14,0.02,0.01,0.07
12,14,0.02,0.01,0.06
ride,14,0.04,0.01,0.14
well,14,0.04,0.01,0.12
lake,14,0.13,0.01,0.55
crashed,14,0.07,0.01,0.37
along,14,0.03,0.01,0.08
operate,14,0.04,0.01,0.11
king,13,0.04,0.01,0.14
built,13,0.06,0.01,0.13
hms,13,0.13,0.03,0.45
fire,13,0.03,0.01,0.1
german,13,0.03,0.01,0.12
have,13,0.03,0.01,0.09
through,13,0.03,0.01,0.13
part,13,0.03,0.01,0.1
several,13,0.03,0.01,0.09
her,13,0.03,0.02,0.06
no,13,0.05,0.01,0.17
more,13,0.03,0.01,0.1
transport,13,0.03,0.01,0.1
team,13,0.02,0.01,0.05
speed,13,0.02,0.01,0.07
season,13,0.02,0.01,0.06
game,13,0.04,0.01,0.14
show,13,0.03,0.01,0.11
half,13,0.06,0.01,0.26
east,13,0.03,0.01,0.09
surface,13,0.02,0.01,0.04
route,13,0.02,0.01,0.07
squadron,13,0.06,0.02,0.25
states,13,0.02,0.01,0.06
commander,13,0.03,0.01,0.16
film,13,0.04,0.02,0.19
use,13,0.03,0.01,0.06
same,13,0.03,0.01,0.13
london,12,0.04,0.01,0.16
hunting,12,0.11,0.01,0.53
house,12,0.05,0.02,0.14
royal,12,0.04,0.01,0.11
under,12,0.03,0.01,0.08
tower,12,0.02,0.01,0.05
naval,12,0.04,0.01,0.23
company,12,0.06,0.02,0.13
three,12,0.05,0.02,0.1
story,12,0.04,0.01,0.17
sold,12,0.03,0.01,0.09
back,12,0.03,0.01,0.05
their,12,0.04,0.01,0.11
bridge,12,0.02,0.01,0.11
anti,12,0.04,0.02,0.1
launched,12,0.04,0.01,0.16
british,12,0.06,0.01,0.18
body,12,0.1,0.01,0.78
10,12,0.02,0.01,0.06
street,12,0.05,0.01,0.16
semi,12,0.04,0.01,0.23
however,12,0.03,0.01,0.07
club,12,0.05,0.01,0.28
wild,12,0.09,0.03,0.47
water,12,0.07,0.01,0.43
carrier,12,0.05,0.01,0.19
other,12,0.03,0.02,0.07
there,12,0.03,0.01,0.06
park,11,0.03,0.01,0.07
who,11,0.06,0.01,0.27
named,11,0.04,0.02,0.09
they,11,0.03,0.02,0.05
left,11,0.04,0.01,0.13
fitted,11,0.03,0.01,0.05
tall,11,0.02,0.01,0.07
around,11,0.03,0.01,0.07
damaged,11,0.02,0.01,0.06
height,11,0.02,0.01,0.08
third,11,0.04,0.01,0.14
15,11,0.02,0.01,0.03
second,11,0.03,0.01,0.09
six,11,0.02,0.01,0.04
produced,11,0.08,0.02,0.34
that,11,0.06,0.03,0.14
operating,11,0.01,0.01,0.03
front,11,0.03,0.01,0.07
river,11,0.09,0.02,0.62
base,11,0.04,0.01,0.08
time,10,0.05,0.02,0.1
attack,10,0.03,0.01,0.09
using,10,0.03,0.01,0.05
be,10,0.04,0.02,0.11
free,10,0.03,0.01,0.05
will,10,0.03,0.01,0.1
open,10,0.03,0.01,0.09
14,10,0.02,0.01,0.04
escort,10,0.03,0.01,0.1
squirrel,10,0.04,0.01,0.2
ships,10,0.02,0.01,0.04
creek,10,0.06,0.01,0.19
coast,10,0.02,0.01,0.05
eight,10,0.03,0.01,0.14
head,10,0.02,0.01,0.05
about,10,0.03,0.01,0.1
deer,10,0.14,0.03,0.4
arrived,10,0.02,0.01,0.02
navy,10,0.09,0.02,0.28
line,10,0.06,0.01,0.23
tree,10,0.09,0.02,0.41
crash,10,0.12,0.01,0.66
16,10,0.02,0.01,0.1
run,10,0.03,0.01,0.13
his,9,0.06,0.03,0.19
bill,9,0.05,0.01,0.11
had,9,0.04,0.02,0.06
ii,9,0.04,0.01,0.11
bell,9,0.03,0.01,0.1
sea,9,0.05,0.03,0.08
top,9,0.04,0.01,0.12
crossing,9,0.06,0.01,0.24
mounted,9,0.02,0.01,0.06
crew,9,0.05,0.02,0.13
york,9,0.03,0.01,0.07
up,9,0.04,0.02,0.08
foot,9,0.02,0.01,0.06
board,9,0.02,0.01,0.04
band,9,0.1,0.02,0.37
pet,9,0.06,0.01,0.27
mascot,9,0.07,0.03,0.18
station,9,0.03,0.01,0.05
dog,9,0.06,0.02,0.15
mountain,9,0.08,0.02,0.34
hit,9,0.03,0.01,0.07
each,9,0.03,0.01,0.06
patrol,9,0.03,0.01,0.08
rocket,9,0.05,0.01,0.28
completed,8,0.03,0.01,0.07
ship,8,0.05,0.02,0.11
20,8,0.02,0.01,0.04
man,8,0.07,0.02,0.25
hunt,8,0.05,0.01,0.13
destroyer,8,0.03,0.01,0.05
woods,8,0.02,0.01,0.05
road,8,0.03,0.02,0.07
driven,8,0.02,0.01,0.04
running,8,0.03,0.01,0.18
model,8,0.02,0.01,0.06
passengers,8,0.03,0.01,0.07
type,8,0.04,0.02,0.06
gun,8,0.05,0.02,0.13
turtle,8,0.08,0.02,0.43
owner,8,0.04,0.01,0.13
terminal,8,0.03,0.01,0.18
towed,8,0.03,0.01,0.08
cruise,8,0.05,0.01,0.11
port,8,0.03,0.01,0.08
until,8,0.01,0.01,0.02
public,8,0.04,0.01,0.15
cable,8,0.02,0.01,0.05
converted,8,0.02,0.01,0.06
hunter,8,0.02,0.01,0.06
powered,8,0.11,0.03,0.42
configuration,8,0.04,0.01,0.17
owned,8,0.04,0.01,0.13
30,8,0.02,0.01,0.04
mouse,7,0.04,0.01,0.12
self,7,0.03,0.01,0.07
dutch,7,0.03,0.01,0.05
wooden,7,0.01,0.01,0.02
bird,7,0.32,0.03,0.8
manufacturer,7,0.06,0.01,0.17
operated,7,0.03,0.02,0.07
dragon,7,0.02,0.01,0.09
vehicle,7,0.04,0.01,0.11
fired,7,0.02,0.01,0.04
drive,7,0.02,0.01,0.05
penguin,7,0.13,0.01,0.42
four,7,0.08,0.03,0.26
she,7,0.03,0.02,0.11
boat,7,0.06,0.03,0.2
marine,7,0.06,0.02,0.24
aboard,7,0.07,0.02,0.15
hull,7,0.02,0.01,0.06
cat,7,0.03,0.02,0.08
submarine,7,0.05,0.02,0.11
passenger,7,0.07,0.01,0.17
yard,6,0.04,0.02,0.11
france,6,0.03,0.01,0.06
ss,6,0.03,0.01,0.1
stock,6,0.04,0.01,0.15
across,6,0.04,0.01,0.1
cargo,6,0.04,0.02,0.07
shares,6,0.03,0.0,0.07
bear,6,0.05,0.02,0.14
elk,6,0.02,0.01,0.09
touring,6,0.05,0.01,0.13
bay,6,0.08,0.03,0.29
vessel,6,0.04,0.01,0.08
sailed,6,0.07,0.01,0.13
flag,6,0.02,0.01,0.06
captured,6,0.03,0.02,0.05
sailing,6,0.08,0.03,0.17
big,6,0.08,0.02,0.25
sunk,6,0.04,0.02,0.05
price,6,0.02,0.01,0.08
legs,6,0.03,0.01,0.06
jan,6,0.01,0.0,0.02
class,6,0.1,0.02,0.29
boats,6,0.04,0.01,0.06
fast,6,0.02,0.01,0.06
channel,6,0.06,0.02,0.19
deck,6,0.03,0.01,0.1
building,5,0.08,0.01,0.26
giant,5,0.07,0.03,0.14
merchant,5,0.05,0.01,0.12
market,5,0.01,0.01,0.02
leaves,5,0.03,0.01,0.07
bus,5,0.01,0.01,0.01
sports,5,0.09,0.01,0.32
fishing,5,0.06,0.03,0.08
harbor,5,0.04,0.01,0.08
tow,5,0.02,0.01,0.03
won,5,0.05,0.01,0.15
rear,5,0.05,0.01,0.11
captain,5,0.04,0.02,0.05
force,5,0.06,0.03,0.11
unit,5,0.03,0.02,0.05
nuclear,5,0.02,0.01,0.05
missile,5,0.04,0.03,0.06
loaded,5,0.01,0.01,0.03
atlantic,5,0.13,0.02,0.43
accident,5,0.03,0.01,0.05
tank,5,0.02,0.01,0.03
meat,5,0.09,0.02,0.27
rabbit,5,0.11,0.02,0.29
general,4,0.05,0.01,0.11
day,4,0.04,0.02,0.08
electric,4,0.04,0.02,0.07
rolling,4,0.06,0.01,0.18
bills,4,0.05,0.01,0.07
ton,4,0.08,0.02,0.19
beach,4,0.07,0.01,0.12
fish,4,0.16,0.06,0.44
de,4,0.03,0.01,0.07
sinking,4,0.03,0.02,0.05
sail,4,0.07,0.02,0.12
screw,4,0.07,0.01,0.21
mule,4,0.13,0.01,0.44
tortoise,4,0.02,0.01,0.02
varies,4,0.04,0.01,0.07
keyboard,4,0.02,0.0,0.04
roe,4,0.03,0.01,0.04
buffalo,4,0.01,0.01,0.02
torpedo,4,0.08,0.03,0.2
equipped,4,0.04,0.03,0.06
training,4,0.04,0.02,0.05
beam,4,0.02,0.01,0.03
maximum,4,0.02,0.01,0.03
motor,4,0.04,0.02,0.08
tail,4,0.07,0.02,0.16
camping,4,0.01,0.01,0.02
torpedoed,3,0.01,0.01,0.01
parking,3,0.01,0.01,0.01
seal,3,0.05,0.02,0.1
dock,3,0.03,0.03,0.04
sank,3,0.05,0.03,0.07
shark,3,0.05,0.03,0.07
spider,3,0.13,0.01,0.34
tractor,3,0.02,0.01,0.03
license,3,0.02,0.01,0.03
trunk,3,0.01,0.01,0.02
fighter,3,0.33,0.24,0.41
24,3,0.05,0.03,0.07
bomb,3,0.05,0.04,0.06
operations,3,0.03,0.02,0.05
shell,3,0.02,0.02,0.03
van,3,0.24,0.02,0.67
boar,3,0.1,0.02,0.15
food,3,0.04,0.02,0.05
den,3,0.01,0.01,0.02
ferry,2,0.01,0.01,0.01
clock,2,0.01,0.01,0.01
tallest,2,0.01,0.01,0.01
lemur,2,0.13,0.01,0.25
horse,2,0.04,0.03,0.05
books,2,0.4,0.09,0.72
submerged,2,0.01,0.01,0.01
headed,2,0.33,0.14,0.53
leopard,2,0.05,0.03,0.06
500,2,0.03,0.02,0.03
racing,2,0.04,0.01,0.07
mm,2,0.02,0.01,0.04
exchanges,2,0.01,0.0,0.01
der,2,0.02,0.01,0.03
heavy,2,0.09,0.03,0.16
assigned,2,0.05,0.04,0.05
animals,2,0.09,0.01,0.16
multi,2,0.22,0.19,0.25
helicopter,2,0.33,0.15,0.52
diesel,2,0.02,0.02,0.03
services,2,0.02,0.01,0.03
eagle,2,0.13,0.11,0.14
car,2,0.06,0.05,0.08
lion,2,0.03,0.03,0.04
fur,2,0.1,0.02,0.18
wood,2,0.08,0.04,0.12
extinct,2,0.06,0.03,0.09
mail,2,0.03,0.02,0.03
dyke,2,0.0,0.0,0.0
steam,2,0.03,0.02,0.03
championship,2,0.03,0.03,0.03
knockout,2,0.01,0.01,0.01
mickey,2,0.06,0.04,0.08
chassis,2,0.05,0.03,0.08
transported,2,0.03,0.02,0.05
onto,2,0.03,0.02,0.04
troop,2,0.04,0.02,0.06
tiger,2,0.03,0.02,0.03
round,2,0.13,0.04,0.23
fat,2,0.03,0.02,0.04
jade,2,0.03,0.01,0.05
train,2,0.01,0.01,0.02
john,1,0.14,0.14,0.14
pier,1,0.01,0.01,0.01
gray,1,0.09,0.09,0.09
exchange,1,0.04,0.04,0.04
draught,1,0.01,0.01,0.01
truck,1,0.06,0.06,0.06
horn,1,0.02,0.02,0.02
taxi,1,0.02,0.02,0.02
driving,1,0.05,0.05,0.05
florence,1,1.0,1.0,1.0
raf,1,0.43,0.43,0.43
suicide,1,0.31,0.31,0.31
bomber,1,0.3,0.3,0.3
dive,1,0.3,0.3,0.3
squadrons,1,0.2,0.2,0.2
medium,1,0.11,0.11,0.11
17,1,0.08,0.08,0.08
25,1,0.06,0.06,0.06
drove,1,0.01,0.01,0.01
balloon,1,0.75,0.75,0.75
hot,1,0.46,0.46,0.46
observation,1,0.25,0.25,0.25
race,1,0.02,0.02,0.02
propulsion,1,0.55,0.55,0.55
jet,1,0.23,0.23,0.23
engines,1,0.22,0.22,0.22
fuel,1,0.17,0.17,0.17
private,1,0.05,0.05,0.05
set,1,0.02,0.02,0.02
cost,1,0.01,0.01,0.01
trailer,1,0.17,0.17,0.17
hawk,1,0.6,0.6,0.6
kitty,1,0.58,0.58,0.58
salmon,1,1.0,1.0,1.0
cab,1,0.04,0.04,0.04
smooth,1,0.04,0.04,0.04
pigeon,1,0.9,0.9,0.9
sky,1,0.58,0.58,0.58
news,1,0.31,0.31,0.31
night,1,0.17,0.17,0.17
tv,1,0.14,0.14,0.14
available,1,0.05,0.05,0.05
11,1,0.02,0.02,0.02
attains,1,0.02,0.02,0.02
pilot,1,0.23,0.23,0.23
rescued,1,0.07,0.07,0.07
rental,1,0.0,0.0,0.0
sheryl,1,0.83,0.83,0.83
jim,1,0.36,0.36,0.36
crow,1,0.32,0.32,0.32
flies,1,0.27,0.27,0.27
door,1,0.6,0.6,0.6
sedan,1,0.28,0.28,0.28
wheel,1,0.07,0.07,0.07
pickup,1,0.03,0.03,0.03
owl,1,0.88,0.88,0.88
barn,1,0.36,0.36,0.36
monkeys,1,0.03,0.03,0.03
gull,1,0.92,0.92,0.92
pacific,1,0.07,0.07,0.07
lycaenidae,1,0.61,0.61,0.61
nymphalidae,1,0.61,0.61,0.61
hesperiidae,1,0.32,0.32,0.32
madama,1,0.26,0.26,0.26
metre,1,0.23,0.23,0.23
meter,1,0.09,0.09,0.09
200,1,0.09,0.09,0.09
100,1,0.08,0.08,0.08
50,1,0.02,0.02,0.02
men,1,0.02,0.02,0.02
bow,1,0.67,0.67,0.67
arrow,1,0.61,0.61,0.61
shot,1,0.11,0.11,0.11
order,1,0.09,0.09,0.09
adults,1,0.51,0.51,0.51
bombardment,1,0.29,0.29,0.29
right,1,0.17,0.17,0.17
added,1,0.06,0.06,0.06
storey,1,0.05,0.05,0.05
june,1,0.05,0.05,0.05
august,1,0.04,0.04,0.04
attached,1,0.04,0.04,0.04
july,1,0.04,0.04,0.04
recorded,1,0.04,0.04,0.04
main,1,0.03,0.03,0.03
april,1,0.03,0.03,0.03
ramp,1,0.01,0.01,0.01
daffy,1,0.61,0.61,0.61
donald,1,0.56,0.56,0.56
duck,1,0.47,0.47,0.47
pond,1,0.15,0.15,0.15
disney,1,0.05,0.05,0.05
hood,1,0.88,0.88,0.88
batman,1,0.34,0.34,0.34
robin,1,0.16,0.16,0.16
final,1,0.09,0.09,0.09
double,1,0.02,0.02,0.02
monkey,1,0.07,0.07,0.07
woody,1,0.93,0.93,0.93
plane,1,0.48,0.48,0.48
crashes,1,0.17,0.17,0.17
get,1,0.02,0.02,0.02
sharks,1,0.02,0.02,0.02
