,food,communication,plant,no-cat,all,mammal,relation,vegetable,bird,object,fruit,measure,animal,weapon,green,mean
lettuce,0.013859053430069384,0.0,0.015444170909136693,0.0,0.011443005719601761,0.0,0.0,0.017186040763730166,0.0,0.011989505139039814,0.0,0.01331179783591418,0.0,0.0,0.0,0.0055489049198328005
herb,0.0020689529914173963,0.0,0.0022667548054410066,0.0,0.0021874838882983763,0.0,0.0,0.0,0.0,0.002169993719141426,0.0,0.0,0.0,0.0,0.0,0.0005795456936198804
guava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spinach,0.02247924981710754,0.0,0.025094845679483415,0.0,0.01937793306655381,0.0,0.0,0.026872613443867262,0.0,0.019613777972794084,0.0,0.0,0.0,0.0,0.0,0.007562561331987075
cabbage,0.010484638402974826,0.0,0.012207078762107868,0.0,0.009587659545182044,0.0,0.0,0.012232090943796911,0.0,0.009593253762040847,0.0,0.010356117900373447,0.0,0.0,0.0,0.004297389287765063
strawberry,0.0011598323690206976,0.0,0.001122408547053472,0.0,0.0013271944896955387,0.0,0.0,0.0,0.0,0.0011986637659096894,0.0013029626814097298,0.0,0.0,0.0,0.0,0.0004074041235392752
cucumber,0.007242572849097928,0.0,0.008185522714408162,0.0,0.006068500182303679,0.0,0.0,0.008664150014015569,0.0,0.005963424442746048,0.0,0.0,0.0,0.0,0.0,0.002408278013504759
banana,0.003579730401439739,0.0,0.004071621850585998,0.0,0.003685073376112259,0.0,0.0,0.0,0.0,0.003673441393345114,0.003988386957069845,0.0,0.0,0.0,0.0,0.0012665502652368635
oregano,0.0036385098689294404,0.0,0.004238321542724038,0.0,0.002827303242703067,0.0,0.0,0.0,0.0,0.002865210657080387,0.0,0.0,0.0,0.0,0.0,0.0009046230207624622
berry,0.001013316272031445,0.0,0.0,0.0,0.0012183107875704219,0.0,0.0,0.0,0.0,0.001269499334767639,0.0013258611156784753,0.0,0.0,0.0,0.0,0.00032179916733653205
broccoli,0.009181940473728296,0.0,0.01144217841418151,0.0,0.0076566734871564715,0.0,0.0,0.011590066701834831,0.0,0.00807551180686967,0.0,0.0,0.0,0.0,0.0,0.0031964247255847184
radish,0.0035246273369881473,0.0,0.004425130317340983,0.0,0.0028406978435241755,0.0,0.0,0.004993660803785532,0.0,0.003018414410740675,0.0,0.0,0.0,0.0,0.0,0.0012535020474919677
rhubarb,0.019346802919968348,0.0,0.022362541542826384,0.0,0.017033259058388775,0.0,0.0,0.021653535426333942,0.0,0.01646227765202474,0.0,0.0,0.0,0.0,0.0,0.006457227773302812
cilantro,0.003280994150458011,0.0,0.003662023592723105,0.0,0.0026292623545247453,0.0,0.0,0.0,0.0,0.002656460725006385,0.0,0.0,0.0,0.0,0.0,0.0008152493881808165
blackberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olive,0.003838228434683291,0.0,0.004263916418641145,0.0,0.0035452876149284834,0.0,0.003389992535913818,0.0,0.0,0.003513951516071198,0.004107177559859287,0.0,0.0,0.0,0.0,0.0015105702720064815
chutney,0.0040097172837555714,0.0,0.0,0.0,0.003040136164496488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046999022988347065
apple,0.0009851644221248329,0.0,0.0010492647205461027,0.0,0.0010300514940996535,0.0,0.0,0.0,0.0,0.001002522689347225,0.0011036093680750498,0.0,0.0,0.0,0.0,0.0003447075129461909
grass,0.006791393311444882,0.0,0.008601583925239631,0.0,0.007019717052099983,0.0,0.0,0.0,0.0,0.007177996641575767,0.0,0.0,0.0,0.0,0.0,0.0019727127286906843
pepper,0.005368990055554377,0.0,0.005765979213669072,0.0,0.0048025865662925295,0.0,0.0,0.0058698033116704445,0.0,0.004783884351364893,0.0,0.0,0.0,0.0,0.0,0.0017727495665700876
watermelon,0.006675694382246915,0.0,0.00771093793213494,0.0,0.005731951354385058,0.0,0.0,0.0,0.0,0.005735870360408655,0.007103488635689675,0.0,0.0,0.0,0.0,0.002197196177657683
salad,0.0036262062408585,0.0,0.0,0.0,0.003166597208820417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045285356331192783
crab,0.0031061602033400446,0.0,0.0,0.0,0.0028144696535695093,0.0,0.0,0.0,0.0,0.0027955940932840907,0.0,0.0,0.002619392939612367,0.0,0.0,0.0007557077926537341
water,0.07809518754769781,0.0,0.0,0.0,0.08215992588486233,0.0,0.07518879455275936,0.0,0.0,0.08020194428623685,0.0,0.0,0.0,0.0,0.0,0.021043056818103756
melon,0.024517828690056538,0.0,0.029873950861416136,0.0,0.022462570285068765,0.0,0.0,0.0,0.0,0.023636279426766587,0.030365515844021283,0.0,0.0,0.0,0.0,0.008723743007155288
plantain,0.009793172679456497,0.0,0.01178435066861958,0.0,0.009021324147833115,0.0,0.0,0.010681873400510081,0.0,0.008997112531605199,0.0,0.0,0.0,0.0,0.0,0.003351855561868298
pear,0.001540833694346161,0.0,0.0018171573934517068,0.0,0.001680799164209868,0.0,0.0,0.0,0.0,0.001654116063961657,0.001996903984988934,0.0,0.0,0.0,0.0,0.0005793206867305552
avocado,0.0018007060481984257,0.0,0.002028788364489658,0.0,0.0015465959065534673,0.0,0.0,0.0,0.0,0.0015528928601934264,0.0018503532691154664,0.0,0.0,0.0,0.0,0.0005852890965700295
nectarine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mango,0.006675494734425201,0.0,0.007808784829019363,0.0,0.005815316618382635,0.0,0.0,0.0,0.0,0.005841090358633698,0.007359132414051236,0.0,0.0,0.0,0.0,0.0022333212636341426
celery,0.008024952598325667,0.0,0.008977464672077322,0.0,0.006487200763432028,0.0,0.0,0.009771202417310162,0.0,0.006481600229017317,0.0,0.0,0.0,0.0,0.0,0.002649494712010833
pineapple,0.005940537887349325,0.0,0.006776392007017731,0.0,0.005261165456256176,0.0,0.0,0.0,0.0,0.0052501711628813565,0.006416867905165094,0.0,0.0,0.0,0.0,0.0019763422945779786
coconut,0.019735350535232607,0.0,0.022994057094605867,0.0,0.018645570094815017,0.0,0.0,0.0,0.0,0.01857005338951245,0.022830953499397122,0.0,0.0,0.0,0.0,0.006851732307570871
asparagus,0.011580654563498152,0.0,0.012751379849467568,0.0,0.010520655131744265,0.0,0.0,0.012879622993002148,0.0,0.0104405055234936,0.0,0.0,0.0,0.0,0.0,0.0038781878707470486
grape,0.0044944552143958375,0.0,0.005028057620459734,0.0,0.004173331243863208,0.0,0.0,0.0,0.0,0.004141663263114757,0.004833872265326218,0.0,0.0,0.00429066158754251,0.0,0.0017974694129801508
vegetable,0.013525529974088485,0.0,0.015399430841762955,0.0,0.012113222550492493,0.0,0.0,0.015146780908821642,0.0,0.012220318331650947,0.0,0.0,0.0,0.0,0.0,0.004560352173787768
sauce,0.00918904466687925,0.0,0.0,0.0,0.007188528734038594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010918382267278562
grapefruit,0.0036347913322143668,0.0,0.0041073320455704086,0.0,0.003218706236303579,0.0,0.0,0.0,0.0,0.003224127746472607,0.0038427949438103533,0.0,0.0,0.0,0.0,0.0012018501536247542
lime,0.007381468511902242,0.0,0.008416797514418812,0.0,0.006204112598267652,0.0,0.005263180825159419,0.0,0.0,0.006252049193409573,0.007924906942855994,0.0,0.0,0.0,0.0,0.002762834372400913
