,food,communication,plant,no-cat,all,mammal,relation,vegetable,bird,object,fruit,measure,animal,weapon,green,mean
lettuce,0.002202722070248866,0.0,0.0020382481682747746,0.0,0.0,0.0,0.0,0.0023827815288535222,0.0,0.002494935866577011,0.0,0.0,0.0,0.0,0.0,0.0006079125089302783
herb,0.0015784033526958226,0.0,0.0014359464496373471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000200956653488878
guava,0.06906766116906785,0.0,0.06516603162296455,0.0,0.0,0.0,0.0,0.0,0.0,0.07765227858470435,0.057543265221421676,0.0,0.0,0.0,0.0,0.017961949106543897
spinach,0.008574705037909533,0.0,0.007948555898316625,0.0,0.0,0.0,0.0,0.008941894342231726,0.0,0.009795590575439763,0.0,0.0,0.0,0.0,0.0,0.002350716390259843
cabbage,0.008570063738091927,0.0,0.00828530822069185,0.0,0.0,0.0,0.0,0.00872194912961231,0.0,0.010266644440628381,0.0,0.011272134744362368,0.0,0.0,0.0,0.0031410733515591224
strawberry,0.0006320254417923328,0.0,0.0005078747581959639,0.0,0.0,0.0,0.0,0.0,0.0,0.0008552019988013876,0.0005584125777470271,0.0,0.0,0.0,0.0,0.00017023431843578077
cucumber,0.014734281947866829,0.0,0.013827664997221703,0.0,0.0,0.0,0.0,0.015376033626681686,0.0,0.01588414412215388,0.0,0.0,0.0,0.0,0.0,0.0039881416462616065
banana,0.005120577736799593,0.0,0.004836179452377947,0.0,0.0,0.0,0.0,0.0,0.0,0.006879767364679909,0.004486935326703577,0.0,0.0,0.0,0.0,0.0014215639920374015
oregano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berry,0.0003681231194049128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037881746162242154,0.0,0.0,0.0,0.0,4.979603873515562e-05
broccoli,0.0058374153851837455,0.0,0.00604033698694216,0.0,0.0,0.0,0.0,0.006427680984812984,0.0,0.006721840080728744,0.0,0.0,0.0,0.0,0.0,0.0016684848958445086
radish,0.004481561147742778,0.0,0.004672061098915465,0.0,0.0,0.0,0.0,0.00553882206528057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009794962874625874
rhubarb,0.009839778451387329,0.0,0.00944416574632321,0.0,0.0,0.0,0.0,0.009606986499346859,0.0,0.01096220775974412,0.0,0.0,0.0,0.0,0.0,0.0026568758971201017
cilantro,0.0013905939082180848,0.0,0.0012887905171836097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017862562836011298
blackberry,0.0013984507895228439,0.0,0.0012504457238311842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012380724218935943,0.0,0.0,0.0,0.0,0.0002591312623498415
olive,0.0015616975104085283,0.0,0.0014405923694852532,0.0,0.0,0.0,0.002167999301403295,0.0,0.0,0.001871948336242648,0.0013142968191549717,0.0,0.0,0.0,0.0,0.0005571022891129797
chutney,0.0050983526694391365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003398901779626091
apple,0.002505271721637314,0.0,0.002215631419539099,0.0,0.0,0.0,0.0,0.0,0.0,0.003337892312589571,0.0022072187361500996,0.0,0.0,0.0,0.0,0.0006844009459944056
grass,0.0006059825794209647,0.0,0.000637303077177349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.288571043988759e-05
pepper,0.0008359184118762057,0.0,0.0007454365643527949,0.0,0.0,0.0,0.0,0.0007972179957263405,0.0,0.0009751781407827083,0.0,0.0,0.0,0.0,0.0,0.00022358340751586994
watermelon,0.03112318238592593,0.0,0.029851151357413324,0.0,0.0,0.0,0.0,0.0,0.0,0.03501215743711047,0.026046124997528806,0.0,0.0,0.0,0.0,0.008135507745198568
salad,0.015983824659020998,0.0,0.0,0.0,0.019918909134539572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023935155862373713
crab,0.00526597398061334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006205274043336781,0.0,0.0,0.0,0.0,0.0,0.0007647498682633414
