,context,n_concepts,mean_tfidf,mean_diff,evidence
0,fish,63,0.07,0.06,-
1,atlantic,59,0.02,0.02,-
2,water,54,0.01,0.01,-
3,pacific,54,0.02,0.02,-
4,populations,53,0.01,0.01,-
5,abundant,52,0.01,0.01,-
6,coast,52,0.01,0.01,-
7,discovered,50,0.0,0.0,-
8,fishing,50,0.03,0.02,-
9,shallow,50,0.01,0.01,-
10,lake,49,0.03,0.02,-
11,salmon,49,0.06,0.05,-
12,specimen,49,0.0,0.0,-
13,only,49,0.01,0.0,-
14,reaches,48,0.0,0.0,-
15,waters,48,0.01,0.01,-
16,which,48,0.01,0.0,-
17,herring,48,0.05,0.05,-
18,predator,48,0.01,0.01,-
19,freshwater,47,0.05,0.05,-
20,swim,44,0.01,0.01,-
21,swimming,8,0.02,0.02,-
22,swims,2,0.02,0.02,-
