,context,n_concepts,mean_tfidf,mean_diff,evidence
0,fruits,19,0.06,0.05,-
1,fruit,19,0.07,0.06,-
2,mango,18,0.13,0.12,-
3,plum,18,0.03,0.03,-
4,grape,18,0.05,0.04,-
5,peach,17,0.03,0.03,-
6,flavor,17,0.02,0.02,-
7,raspberry,17,0.04,0.03,-
8,cherries,17,0.01,0.01,-
9,flavors,17,0.04,0.03,-
10,tropical,17,0.01,0.01,-
11,berry,17,0.03,0.03,-
12,watermelon,17,0.06,0.06,-
13,citrus,17,0.07,0.07,-
14,lemon,17,0.06,0.05,-
15,strawberry,17,0.05,0.05,-
16,pineapple,17,0.08,0.08,-
17,guava,17,0.07,0.07,-
18,apricot,17,0.02,0.02,-
19,berries,16,0.02,0.02,-
20,green,14,0.03,0.02,-
