,animal,mammal,no-cat,measure,relation,fish,object,bird,communication,vehicle,food,all,female,mean
wren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brant,0.0014901099436538795,0.0,0.0,0.0,0.0,0.0,0.0014981682140057192,0.002123366529759863,0.0,0.0,0.0,0.0015069884778971916,0.0,0.000509125628101281
stork,0.0036388391452654386,0.0,0.0,0.0,0.0,0.0,0.003540886420730338,0.005194053025326988,0.0,0.0,0.0,0.0035594074610027894,0.0,0.0012256296963327347
eider,0.005024564132527188,0.0,0.0,0.0,0.0,0.0,0.007850923618803548,0.006490984036438806,0.0,0.0,0.0,0.007809907449700711,0.0,0.0020904907105746347
beetle,0.03224723510475166,0.0,0.05070395763403848,0.0,0.0,0.0,0.03258102968598879,0.0,0.0,0.0,0.0,0.03274665005353648,0.0,0.011406067113716572
oriole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat,0.005846913620361498,0.00710646604333697,0.0,0.0,0.0,0.0,0.005603874124962767,0.0,0.0,0.0,0.0,0.005627295895320758,0.0,0.0018603499756909227
sawfly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accentor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
babbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nightingale,0.0010702361449439204,0.0,0.0,0.0,0.0,0.0,0.0010141654497896162,0.0011389521983216399,0.0,0.0,0.0,0.001017092947360129,0.0,0.00032618821080117734
falcon,0.0011320774092638975,0.0,0.0,0.0,0.0,0.0,0.0010838372562756262,0.0015098205890261213,0.0,0.0,0.0,0.0010890718625823673,0.0,0.0003703697782421548
tit,0.0017714091028487363,0.0,0.0,0.0,0.0,0.0,0.0016006289341893287,0.0024177336296052026,0.0,0.0,0.0,0.0016079231647991414,0.0,0.000569053448572493
tortrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pintail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grasshopper,0.0049445949596728005,0.0,0.0,0.0,0.007320588581507415,0.0,0.005049660598105238,0.0,0.0,0.0,0.006848503475238931,0.005070395458803827,0.0,0.002248749467179093
trogon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cock,0.004756959756372523,0.0,0.0,0.0,0.0,0.0,0.004867250995242972,0.0059470167909613176,0.0,0.0,0.0,0.004896338216836014,0.0,0.0015744281353394483
canary,0.0006495370942172363,0.0,0.0,0.0,0.0,0.0,0.0006002440621801758,0.0007102689590503578,0.0,0.0,0.0,0.0006019698402156816,0.0,0.00019707845812795782
insect,0.005421649438946459,0.0,0.0,0.0,0.0,0.0,0.004665057043788909,0.0,0.0,0.0,0.0,0.004692314401237466,0.0,0.0011368477603056026
merganser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparrow,0.011625796946352162,0.0,0.0,0.0,0.0,0.0,0.01252734742123355,0.016471134273391457,0.0,0.0,0.0,0.012593846553592714,0.0,0.004093701938043837
hawk,0.007597143950955701,0.0,0.0,0.0,0.0,0.0,0.007674843387976819,0.009763520246411644,0.0,0.0,0.0,0.007742348378135455,0.0,0.002521373535652278
marabou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drone,0.007053041829613117,0.0,0.0,0.0,0.0,0.0,0.007753306557563424,0.0,0.007429935452296047,0.007763148536493674,0.0,0.007841371788378595,0.0,0.002910831089564989
